 	si	tu	attends	encore	un	peu	il	va	venir	</S>
a23	0.246823	0.137712	0.0794851	0.0335266	0.0334972	0.0413632	0.0604597	0.0768423	0.125519	0.164773
a87	0.348208	0.167492	0.0986319	0.053743	0.0448881	0.0456579	0.0422717	0.0487043	0.0689034	0.0815001
a23	0.26191	0.150329	0.104662	0.0579866	0.042808	0.0467754	0.0481346	0.06323	0.100168	0.123997
a87	0.181012	0.105748	0.0924259	0.0471621	0.0288559	0.0264044	0.0358446	0.0686829	0.163773	0.250092
a23	0.142241	0.115796	0.109063	0.0753764	0.0558626	0.0466648	0.0475663	0.0751705	0.133487	0.198772
a30	0.0741735	0.0607474	0.0631273	0.0417647	0.0319988	0.0307779	0.0446216	0.0926707	0.217212	0.342906
a53	0.180223	0.168513	0.1759	0.0741416	0.0461257	0.0322989	0.0372738	0.0548515	0.0965938	0.134079
a20	0.285886	0.268787	0.20612	0.0603131	0.0394131	0.0322881	0.0296437	0.0264598	0.024969	0.0261208
a73	0.243114	0.250753	0.212061	0.0844756	0.0621782	0.047743	0.0344814	0.0250483	0.02076	0.0193861
a94	0.208939	0.222795	0.202374	0.110212	0.0811895	0.0603589	0.0419066	0.029621	0.0226361	0.0199675
a90	0.179422	0.199092	0.212341	0.126112	0.0947186	0.0694913	0.0460675	0.0303599	0.0226042	0.0197914
a57	0.161058	0.178583	0.192622	0.131931	0.0993185	0.0740196	0.0548153	0.0420945	0.0337092	0.0318494
a82	0.129675	0.16557	0.200545	0.159143	0.124299	0.0864539	0.0506872	0.0320645	0.0250003	0.0265625
a53	0.0888558	0.110756	0.13862	0.120581	0.102324	0.0856358	0.0742862	0.0674249	0.0840016	0.127514
a93	0.118247	0.134643	0.162575	0.117338	0.0915195	0.0725448	0.069686	0.0675589	0.0752194	0.090669
a98	0.0985896	0.109326	0.13883	0.145363	0.12322	0.0965982	0.0775508	0.0714017	0.0706293	0.0684911
a13	0.0664944	0.0719515	0.106155	0.163165	0.154908	0.123901	0.0951159	0.0804846	0.069889	0.0679361
a62	0.0570385	0.0597373	0.082937	0.135711	0.147356	0.140572	0.118914	0.0874187	0.0748603	0.0954555
a56	0.0423465	0.0409777	0.0629942	0.10812	0.129144	0.141307	0.143428	0.127198	0.101985	0.102499
a13	0.0852943	0.0863892	0.101227	0.10752	0.111823	0.113352	0.112541	0.0911395	0.0823097	0.108404
a38	0.085782	0.0802893	0.0832157	0.0758437	0.0730892	0.0763251	0.0987873	0.104088	0.129802	0.192778
a0	0.0652692	0.062953	0.061738	0.0507313	0.047262	0.0519343	0.0863298	0.119668	0.178387	0.275728
a47	0.0462174	0.0441928	0.0476452	0.04209	0.0407113	0.0459327	0.079214	0.125582	0.203506	0.324909
