 	la	maman	a	blâmé	son	enfant	</S>
a87	0.450243	0.269299	0.135924	0.0619929	0.0298462	0.0270996	0.0255959
a23	0.544716	0.201111	0.074137	0.047828	0.0498108	0.0467913	0.0356059
a99	0.452609	0.22378	0.122295	0.0657881	0.0404339	0.0428283	0.0522652
a30	0.341913	0.164234	0.0940373	0.077218	0.0766968	0.109309	0.136592
a53	0.305277	0.183975	0.101284	0.0960677	0.0844821	0.110098	0.118816
a20	0.285146	0.259614	0.191897	0.128712	0.0670717	0.0400321	0.0275264
a47	0.18506	0.192216	0.211767	0.234237	0.102675	0.0458406	0.0282046
a37	0.148073	0.168084	0.177352	0.234385	0.147087	0.0751312	0.0498877
a98	0.109823	0.125163	0.140182	0.211957	0.204674	0.120625	0.0875755
a47	0.0918219	0.0981825	0.111795	0.197206	0.225371	0.158604	0.11702
a36	0.0590777	0.0623035	0.0641581	0.14555	0.231665	0.232972	0.204273
a26	0.0266706	0.0260305	0.0233016	0.0835952	0.204557	0.319722	0.316123
a57	0.00795411	0.00617972	0.00528484	0.0247079	0.100708	0.338008	0.517157
a87	0.00634599	0.00389874	0.00419631	0.0143778	0.0397822	0.186145	0.745254
a23	0.0604423	0.0288803	0.0456826	0.116851	0.178911	0.246473	0.322759
a87	0.0425679	0.0227786	0.0343127	0.11511	0.203098	0.27175	0.310383
</S>	0.0202633	0.00955446	0.0188589	0.106316	0.205355	0.336747	0.302906
