 	mes	chaussures	sont	perdues	</S>
a66	0.499048	0.287941	0.122452	0.0595939	0.0309646
a87	0.740788	0.161663	0.0542942	0.0254795	0.0177759
a23	0.635788	0.207309	0.0705492	0.0432032	0.0431511
a87	0.671262	0.169507	0.050725	0.0379087	0.0705975
a23	0.69095	0.1983	0.0519474	0.0277537	0.0310489
a54	0.551213	0.176055	0.0843082	0.0744587	0.113964
a47	0.421286	0.3927	0.113669	0.0451878	0.027157
a36	0.276651	0.349794	0.175144	0.132637	0.0657741
a98	0.191737	0.350566	0.209752	0.162626	0.0853196
a15	0.14875	0.325136	0.271945	0.17293	0.0812398
a47	0.103051	0.236763	0.30446	0.246763	0.108962
a6	0.103708	0.192156	0.204658	0.295065	0.204412
a37	0.132218	0.244385	0.232926	0.22053	0.169941
a61	0.125177	0.210659	0.236203	0.196086	0.231876
a47	0.0440468	0.0754992	0.189138	0.304239	0.387077
a12	0.0200354	0.0287676	0.0965611	0.306857	0.547779
a96	0.00565936	0.01135	0.0627709	0.328893	0.591327
a94	0.0021024	0.00394071	0.0242793	0.204992	0.764685
a27	0.00111583	0.00182066	0.00974531	0.108297	0.879021
a57	0.0089231	0.0169949	0.0606168	0.221382	0.692083
a87	0.137006	0.102876	0.137759	0.205321	0.417039
a23	0.535172	0.185228	0.0849633	0.078771	0.115865
a99	0.0595946	0.0197234	0.0415965	0.19796	0.681126
a97	0.0105418	0.00604015	0.022855	0.19836	0.762203
</S>	0.00515476	0.00492484	0.02147	0.191614	0.776836
