 	elle	aime	le	riz	elle	ne	mange	rien	d'	autre	</S>
a23	0.252815	0.208608	0.14211	0.118863	0.0792058	0.0646735	0.044106	0.0316166	0.0216753	0.0181746	0.0181516
a10	0.246043	0.217372	0.187292	0.101561	0.0487485	0.0504802	0.0339937	0.0284642	0.0248579	0.027298	0.0338899
a87	0.144471	0.145422	0.151368	0.114235	0.0634894	0.064166	0.0488845	0.0556991	0.0592989	0.068154	0.0848115
a23	0.112701	0.115068	0.117837	0.0954666	0.0511109	0.0502031	0.0490697	0.0701845	0.0879271	0.107683	0.142748
a20	0.139992	0.136273	0.110162	0.063946	0.0379999	0.0504764	0.0505592	0.0722848	0.0888965	0.104539	0.144872
a44	0.419775	0.271788	0.136973	0.0626342	0.0244612	0.0197069	0.0123949	0.0120283	0.0114343	0.0125326	0.0162706
a20	0.340206	0.248128	0.161796	0.0993922	0.040688	0.0305307	0.0196034	0.017407	0.0145658	0.0135464	0.0141366
a73	0.212541	0.204871	0.156412	0.118046	0.0637942	0.0541124	0.0399179	0.0394263	0.0385855	0.0363305	0.0359628
a44	0.172218	0.178712	0.157378	0.126729	0.0792054	0.0674402	0.0495387	0.0448938	0.0447574	0.040825	0.0383019
a26	0.141515	0.148943	0.144231	0.127433	0.0871146	0.0770749	0.0573848	0.0518595	0.0555014	0.0546318	0.0543104
a84	0.135198	0.145559	0.157567	0.161486	0.0962357	0.0735486	0.0480435	0.038769	0.0420637	0.0477961	0.0537336
a38	0.0904667	0.0911897	0.118888	0.157967	0.110973	0.0834495	0.0551367	0.0461715	0.0569419	0.0804776	0.108338
a11	0.0602156	0.0621022	0.0898928	0.124775	0.104003	0.0922064	0.0646769	0.0570531	0.0758955	0.114313	0.154867
a98	0.10185	0.117388	0.158699	0.1791	0.118116	0.0971381	0.0645781	0.0405769	0.0356264	0.039938	0.0469879
a38	0.0797443	0.106317	0.155072	0.168096	0.116411	0.100923	0.075063	0.0505489	0.0439875	0.0475372	0.0563003
a73	0.0636932	0.0818771	0.136642	0.172132	0.12945	0.110893	0.0833959	0.0549136	0.0480691	0.0532755	0.0656586
a69	0.048408	0.0666684	0.118219	0.157021	0.128372	0.120248	0.0997979	0.0665013	0.057702	0.062239	0.0748241
a15	0.0399745	0.0425566	0.0677463	0.113986	0.127123	0.129462	0.11084	0.0808958	0.0770795	0.0901195	0.120217
a69	0.0317612	0.0373718	0.0579137	0.0982891	0.118978	0.119528	0.110434	0.0889054	0.0892433	0.105689	0.141888
a32	0.0418226	0.0433302	0.0615214	0.103827	0.130501	0.133405	0.104713	0.0751534	0.0729604	0.0922169	0.14055
a69	0.0318102	0.0260124	0.0378426	0.0679792	0.111314	0.12628	0.111619	0.0898466	0.0950672	0.120254	0.181975
a4	0.0479716	0.042867	0.0474243	0.063439	0.0772709	0.0907369	0.0902005	0.0854848	0.103199	0.140729	0.210676
a57	0.0373951	0.0323531	0.0379166	0.0553004	0.0743136	0.0905627	0.0952264	0.0928636	0.112856	0.149266	0.221947
a53	0.0320516	0.0273594	0.0358712	0.0620404	0.104114	0.128874	0.119949	0.0951396	0.0958396	0.11947	0.179292
a15	0.0387878	0.0307954	0.0330788	0.0443872	0.0607139	0.0813857	0.0842162	0.0884051	0.119059	0.163714	0.255457
a44	0.0260028	0.0230047	0.0274725	0.0406492	0.0594716	0.0749789	0.0823437	0.0963058	0.134277	0.181498	0.253996
a94	0.0224866	0.0188084	0.02183	0.0332546	0.057052	0.0811653	0.0881081	0.0919218	0.1224	0.171466	0.291508
