 	les	deux	amis	se	réjouissent	de	se	retrouver	après	leur	longue	séparation	</S>
a66	0.134783	0.135611	0.160033	0.145033	0.12221	0.0757691	0.070094	0.089027	0.0264189	0.0192071	0.0132013	0.00558065	0.00303257
a87	0.135676	0.1011	0.119822	0.0999976	0.121062	0.0938965	0.0753554	0.0553271	0.0407495	0.0321122	0.0523252	0.042033	0.0305448
a97	0.120532	0.0919658	0.0925233	0.0763073	0.1175	0.0750127	0.0943346	0.0931911	0.0539927	0.0424284	0.0461535	0.0556459	0.0404121
a99	0.151749	0.125207	0.13021	0.10088	0.155568	0.0850389	0.0754704	0.0586666	0.0298391	0.0220759	0.0211332	0.022619	0.0215432
a9	0.186361	0.151847	0.158371	0.113398	0.136908	0.0595519	0.0454794	0.0413089	0.0220635	0.0183848	0.0192585	0.0233684	0.0236998
a97	0.207223	0.162452	0.16149	0.11928	0.119825	0.0509427	0.0388091	0.0353948	0.019585	0.0179967	0.0188352	0.0236272	0.024539
a99	0.18282	0.147295	0.144603	0.111323	0.11951	0.06262	0.049449	0.0456632	0.0263369	0.0234453	0.0245567	0.0307221	0.0316552
a97	0.219662	0.160569	0.151975	0.115773	0.104056	0.0512377	0.0384397	0.0380857	0.0227793	0.0200454	0.0212469	0.0282883	0.0278421
a99	0.198944	0.15188	0.139955	0.104095	0.104288	0.0548959	0.043919	0.045019	0.0294292	0.0262217	0.0286286	0.0370729	0.0356526
a40	0.233417	0.161118	0.139283	0.103812	0.0887794	0.0476663	0.0373894	0.0401458	0.026833	0.0237401	0.0262996	0.0367274	0.0347894
a54	0.326362	0.23032	0.142087	0.0765125	0.0425959	0.0214365	0.0189066	0.0258924	0.0170415	0.0173342	0.0198103	0.0252069	0.0364941
a92	0.181777	0.145638	0.115798	0.0863252	0.084011	0.0546146	0.0494059	0.0733187	0.0443648	0.0389545	0.0421649	0.0447683	0.0388588
a37	0.197273	0.158327	0.129464	0.113918	0.115371	0.0605032	0.0487801	0.0665409	0.0321276	0.0243174	0.0204629	0.0165592	0.0163565
a44	0.18894	0.146389	0.130088	0.121081	0.125293	0.0734975	0.0550397	0.0718653	0.0296849	0.0219106	0.015399	0.0107305	0.01008
a90	0.110182	0.106108	0.107104	0.114336	0.143337	0.102689	0.0787654	0.100522	0.0444399	0.0332374	0.023498	0.0179992	0.0177836
a15	0.0720426	0.0932476	0.105435	0.127549	0.164641	0.112723	0.0839154	0.0999645	0.0455647	0.0324327	0.0202451	0.0187767	0.0234618
a47	0.0379518	0.0657529	0.0976199	0.112354	0.139629	0.111681	0.0895065	0.108115	0.068495	0.0538647	0.0377918	0.0367212	0.0405161
a15	0.0194919	0.0356421	0.0583117	0.0777833	0.121895	0.130249	0.112004	0.133962	0.0825907	0.0636148	0.0452646	0.0527955	0.0663951
a7	0.0154035	0.0261495	0.0491443	0.0614865	0.0971209	0.121053	0.11637	0.148863	0.0941477	0.075356	0.0530589	0.0617478	0.0800987
