 	il	est	parti	en	brousse	avec	ses	amis	</S>
a10	0.376982	0.145459	0.0710665	0.0400868	0.038715	0.0539521	0.0682494	0.0891213	0.116368
a87	0.13442	0.0830534	0.0530652	0.0567401	0.0952373	0.109472	0.135227	0.15187	0.180914
a23	0.203547	0.114664	0.0754908	0.0692214	0.0953814	0.0867893	0.0980211	0.109816	0.14707
a79	0.289102	0.192251	0.0999365	0.0766076	0.0723852	0.0639418	0.062064	0.0596152	0.0840966
a20	0.393828	0.236869	0.148631	0.0893355	0.0542701	0.0274528	0.0147304	0.0128581	0.0220251
a30	0.340202	0.301876	0.196434	0.0926221	0.0379206	0.0161544	0.00761606	0.00364639	0.00352831
a35	0.252387	0.248282	0.216831	0.14375	0.081618	0.0330654	0.0135694	0.00555235	0.00494423
a94	0.232096	0.241723	0.212988	0.150262	0.0921195	0.0408475	0.0180519	0.00660411	0.00530935
a35	0.195301	0.209231	0.201314	0.163804	0.121281	0.0613465	0.0282851	0.010772	0.00866559
a71	0.166767	0.175955	0.186699	0.170316	0.144201	0.082069	0.0430718	0.0173634	0.0135576
a38	0.109761	0.138739	0.164074	0.165318	0.163126	0.12857	0.0767137	0.0304054	0.0232921
a98	0.089058	0.110952	0.140401	0.161518	0.185805	0.153574	0.093604	0.0373853	0.0277031
a73	0.104333	0.113712	0.131259	0.148183	0.178116	0.144033	0.0954476	0.0474163	0.0375001
a44	0.0604276	0.0608251	0.079582	0.112158	0.194519	0.199608	0.146704	0.0786557	0.0675208
a57	0.0348898	0.0390963	0.0474864	0.0646922	0.135991	0.21382	0.217518	0.12734	0.119165
a40	0.0185847	0.0215296	0.0259068	0.0404682	0.10516	0.201153	0.241415	0.179628	0.166155
a20	0.028292	0.0301016	0.0383488	0.0514156	0.101346	0.170945	0.222962	0.191016	0.165573
a58	0.0215658	0.0248261	0.0309588	0.0445434	0.0826939	0.138613	0.22142	0.230189	0.205191
a20	0.00844475	0.00924551	0.0104115	0.0155071	0.0340869	0.082194	0.2023	0.320327	0.317483
a14	0.0135732	0.0130728	0.0181981	0.0326496	0.0639744	0.0941213	0.146192	0.261717	0.356502
a98	0.0111237	0.0119312	0.01848	0.0299818	0.0505124	0.0874168	0.173388	0.292181	0.324985
a14	0.0105688	0.0129383	0.0238233	0.0413649	0.061829	0.0928518	0.156617	0.283996	0.31601
a44	0.00948931	0.0122603	0.0213136	0.0337614	0.0520813	0.0865397	0.151144	0.292815	0.340596
a38	0.00676692	0.00785138	0.0119432	0.0180742	0.0296946	0.0563304	0.114769	0.285832	0.468739
a24	0.00767752	0.00835494	0.0116131	0.0172456	0.0293641	0.0576082	0.113767	0.274955	0.479414
a41	0.00311603	0.00380906	0.00496796	0.00704403	0.0103175	0.0243186	0.0639465	0.240858	0.641622
a14	0.00518052	0.00558421	0.00652105	0.00762164	0.0104944	0.0259475	0.0686515	0.262373	0.607626
a76	0.0045646	0.00484152	0.00564863	0.0071187	0.0107575	0.026541	0.0688548	0.2694	0.602273
a73	0.00582713	0.00541759	0.00582893	0.00738721	0.0117966	0.0295611	0.0778393	0.28036	0.575982
a57	0.00230874	0.00202297	0.00189455	0.00228913	0.00425858	0.0116746	0.0431844	0.225911	0.706456
a87	0.00291279	0.00245597	0.00214701	0.00272965	0.00552057	0.0134642	0.0476789	0.237862	0.685229
a23	0.00545617	0.00455952	0.00439774	0.00514003	0.00984357	0.0258807	0.0907486	0.305749	0.548225
a87	0.0181744	0.0189688	0.020935	0.024622	0.0342017	0.0540293	0.103843	0.270996	0.454229
</S>	0.0155679	0.0160223	0.0172009	0.02024	0.0309054	0.0545889	0.121241	0.274058	0.450176
