 	il	n'	aime	pas	être	battu	au	jeu	</S>
a53	0.250443	0.146409	0.0962173	0.0830857	0.0950106	0.0655022	0.0565391	0.0826394	0.124154
a90	0.276896	0.141738	0.0961517	0.056101	0.0448831	0.0391421	0.0406403	0.0905925	0.213855
a25	0.389759	0.191558	0.100183	0.050226	0.0388759	0.0373682	0.0451861	0.0673831	0.0794598
a37	0.369318	0.237097	0.124683	0.0627802	0.0457409	0.0324814	0.0329259	0.0475515	0.0474221
a62	0.349769	0.289921	0.176427	0.0734563	0.0335497	0.0151995	0.0155052	0.0211846	0.0249872
a88	0.35215	0.310855	0.197327	0.0718786	0.0295337	0.0111316	0.00857609	0.00873795	0.00980981
a71	0.270944	0.284459	0.228879	0.110492	0.0483835	0.0171692	0.0123124	0.0127307	0.0146305
a90	0.128801	0.187869	0.232233	0.187531	0.112569	0.0514548	0.0324332	0.030714	0.0363953
a56	0.137346	0.177141	0.189135	0.133718	0.0801443	0.0518538	0.0621551	0.0795906	0.0889153
a43	0.125574	0.153734	0.17334	0.163375	0.122685	0.0658763	0.0578463	0.0659843	0.0715842
a75	0.070141	0.0870115	0.124319	0.184155	0.181618	0.101611	0.074214	0.0834209	0.0935088
a79	0.0337174	0.0345298	0.039262	0.0598408	0.0827583	0.101298	0.165312	0.237607	0.245675
a98	0.0250352	0.0265422	0.0334538	0.0581022	0.0841803	0.103116	0.159404	0.251991	0.258175
a6	0.00851411	0.00886604	0.0113921	0.0238426	0.0437029	0.0801668	0.16593	0.317371	0.340215
a37	0.0122798	0.0113538	0.0135819	0.0248854	0.0387554	0.080193	0.170632	0.323579	0.32474
a21	0.0113922	0.0103855	0.011885	0.0168489	0.0255755	0.0596103	0.167554	0.339219	0.35753
a75	0.0158521	0.0145589	0.015546	0.0244314	0.0368957	0.0730402	0.171005	0.317606	0.331065
a98	0.00900535	0.00717987	0.00673107	0.00900783	0.0136176	0.0421853	0.153704	0.323575	0.434994
a25	0.00858959	0.00695914	0.00673776	0.00880302	0.0136067	0.0421195	0.175312	0.340861	0.397012
a15	0.00303629	0.00299954	0.00412306	0.00696099	0.01175	0.0387633	0.160545	0.346398	0.425423
a69	0.0023335	0.00231384	0.00304306	0.00518087	0.00899415	0.0318339	0.127446	0.288204	0.530651
a84	0.00225003	0.00231632	0.00348711	0.00616062	0.0112648	0.0374958	0.147482	0.287804	0.501739
a54	0.00289115	0.00222243	0.00292658	0.00489728	0.0077655	0.0251657	0.112514	0.244643	0.596974
a47	0.00350046	0.00328415	0.00491887	0.00859584	0.0143664	0.0387787	0.15382	0.265294	0.507442
a36	0.00351589	0.00298176	0.00430776	0.00766277	0.0146438	0.0400946	0.139126	0.254322	0.533346
a2	0.00343486	0.0022103	0.00241556	0.00401157	0.0073246	0.0258676	0.11754	0.254	0.583196
a57	0.0285314	0.0139919	0.0106412	0.0126304	0.0189588	0.0566254	0.172321	0.233759	0.452541
a10	0.0880935	0.0558396	0.0447836	0.0510115	0.0708579	0.117907	0.168928	0.182902	0.219676
a87	0.0970648	0.0664946	0.0518848	0.0531465	0.0728252	0.120036	0.179347	0.186692	0.172509
a23	0.101332	0.0639117	0.0542634	0.0625848	0.0762659	0.112846	0.152266	0.188856	0.187674
a87	0.0131934	0.00879386	0.0101255	0.0179207	0.0331437	0.0702158	0.157067	0.323463	0.366076
</S>	0.00740174	0.00572017	0.00800376	0.0144792	0.0237895	0.0471663	0.110042	0.297778	0.48562
