 	l'	anse	du	sac	s'	est	coupée	</S>
a66	0.449907	0.232189	0.0755298	0.0746223	0.0768521	0.0480113	0.02442	0.0184685
a87	0.326963	0.169418	0.183104	0.157647	0.0709748	0.0367647	0.0258767	0.0292517
a23	0.365988	0.412393	0.124726	0.0414496	0.017571	0.0123626	0.0109756	0.0145342
a12	0.18901	0.488491	0.198047	0.0598434	0.0163544	0.0129053	0.0150328	0.0203162
a62	0.398015	0.363625	0.11187	0.061128	0.0275442	0.0152939	0.0111686	0.0113557
a12	0.308754	0.417675	0.164475	0.0656231	0.0256233	0.00960512	0.00399766	0.00424646
a61	0.238508	0.316564	0.250741	0.121462	0.0454203	0.0139498	0.00641286	0.00694282
a47	0.182384	0.234693	0.277257	0.181626	0.0781843	0.0224188	0.0108913	0.0125453
a21	0.164891	0.204083	0.232012	0.198245	0.10318	0.039485	0.0229655	0.0351385
a5	0.11641	0.129268	0.269423	0.248537	0.141857	0.0456071	0.0227505	0.026147
a36	0.0493869	0.0761742	0.216444	0.289896	0.191025	0.0744641	0.0434408	0.0591688
a21	0.0264885	0.0311592	0.0960759	0.184791	0.25688	0.163211	0.105517	0.135877
a61	0.0176946	0.0364957	0.0949039	0.175398	0.260069	0.174844	0.103192	0.137404
a21	0.00935872	0.0193726	0.0512293	0.105082	0.236845	0.248174	0.163372	0.166567
a47	0.00680737	0.0133715	0.0324169	0.0779479	0.232191	0.286354	0.183211	0.1677
a62	0.00498096	0.0113576	0.0274298	0.0492703	0.120118	0.24245	0.253438	0.290956
a88	0.00318238	0.00417315	0.00798078	0.0161576	0.0474475	0.127647	0.254889	0.538523
a21	0.00280793	0.00264909	0.00374128	0.00844229	0.027325	0.0749061	0.215205	0.664924
a47	0.00107951	0.00160822	0.00488292	0.0160353	0.0502986	0.148198	0.301035	0.476862
a12	0.00106053	0.00160064	0.00360533	0.0100644	0.0309184	0.094331	0.27892	0.579499
a37	0.000779681	0.00125822	0.00331533	0.00851024	0.0266963	0.0765596	0.256808	0.626073
a27	0.00067683	0.000505706	0.00109449	0.00357143	0.01893	0.0705437	0.269565	0.635113
a25	0.031354	0.0187028	0.0167374	0.0239433	0.0614334	0.124724	0.24057	0.482535
a87	0.047289	0.0240808	0.0315347	0.0495213	0.0952044	0.169039	0.266982	0.316349
a23	0.383424	0.179508	0.132569	0.0728589	0.0558239	0.0538691	0.0552645	0.0666827
a99	0.0445837	0.02939	0.0285607	0.0218532	0.0424796	0.119533	0.260807	0.452793
a97	0.0178471	0.0155456	0.015938	0.0140494	0.0396877	0.127972	0.263108	0.505853
</S>	0.00445331	0.00383764	0.00847052	0.0151623	0.0531561	0.144991	0.268738	0.501191
