 	n'	encourage	pas	l'	enfant	à	manger	comme	ça	</S>
a66	0.172805	0.128987	0.156616	0.172859	0.154401	0.0979263	0.0606347	0.0249192	0.0163702	0.0144814
a87	0.175029	0.125909	0.122225	0.131133	0.108881	0.0861816	0.0735279	0.0587829	0.0563245	0.0620056
a57	0.225725	0.198582	0.128953	0.0925375	0.0582488	0.0448653	0.0471078	0.0562813	0.0666959	0.081003
a87	0.243648	0.193271	0.121549	0.0780309	0.0561705	0.0455918	0.0522565	0.0590247	0.0661766	0.0842811
a23	0.239741	0.188624	0.119155	0.0803158	0.0588981	0.0493034	0.0569979	0.0616495	0.0642609	0.0810555
a79	0.251928	0.163473	0.101386	0.0803561	0.0580259	0.0568787	0.0756833	0.0735763	0.0684614	0.0702312
a15	0.211467	0.150302	0.118527	0.100774	0.0767259	0.0732126	0.0906987	0.0690215	0.0579797	0.0512913
a7	0.159496	0.155284	0.134785	0.092791	0.0756582	0.0811594	0.100233	0.0799114	0.069035	0.0516473
a75	0.144593	0.146326	0.126931	0.0833513	0.0674852	0.0715844	0.0920983	0.0951414	0.0922583	0.0802302
a85	0.212145	0.18615	0.155911	0.108216	0.0859775	0.0663699	0.0551244	0.0464827	0.043028	0.0405953
a15	0.189257	0.173285	0.147951	0.114019	0.0929009	0.0750192	0.0577591	0.0472407	0.0478251	0.0547433
a20	0.0956933	0.135067	0.151528	0.134364	0.130153	0.0998966	0.0754831	0.0636319	0.0546178	0.0595657
a98	0.0746227	0.126	0.156527	0.143923	0.139038	0.097353	0.0724704	0.0648505	0.0602166	0.0649985
a85	0.0448391	0.0926132	0.12045	0.118789	0.124198	0.102301	0.0854907	0.091053	0.0983138	0.121952
a6	0.0243406	0.065444	0.1028	0.124387	0.134514	0.0999307	0.0799423	0.0971338	0.118458	0.15305
a43	0.0213836	0.0547135	0.0863487	0.11678	0.132027	0.105577	0.085476	0.0998614	0.126878	0.170954
a96	0.0202243	0.0343406	0.0460635	0.0709274	0.0827377	0.0786701	0.0746922	0.11974	0.193842	0.278762
a98	0.0208186	0.0276843	0.0346648	0.0572608	0.0849243	0.105201	0.102585	0.131758	0.187653	0.247451
a92	0.00666088	0.0121511	0.0168108	0.0297072	0.051778	0.0763892	0.0865838	0.143119	0.223619	0.353181
a47	0.00629552	0.0106052	0.0158521	0.0294502	0.0542953	0.0867029	0.109944	0.167771	0.223297	0.295786
a61	0.00208794	0.00380993	0.00513962	0.00917008	0.0164586	0.0318425	0.052435	0.141542	0.273836	0.463678
a75	0.00187083	0.00303743	0.00337494	0.00646036	0.0113621	0.0261248	0.0461648	0.131655	0.260773	0.509177
a85	0.00193834	0.0034065	0.00399858	0.00764573	0.0133145	0.0286519	0.0469068	0.122824	0.253725	0.517589
a47	0.0027564	0.00452487	0.00601079	0.0117511	0.0187278	0.0342252	0.0513064	0.120891	0.256291	0.493515
a15	0.00273045	0.00373538	0.00442054	0.00923599	0.0145895	0.0273723	0.0411268	0.110922	0.266699	0.519167
a44	0.014703	0.0203512	0.0199506	0.0310861	0.0405863	0.0590981	0.0750701	0.131624	0.216206	0.391325
a57	0.0419238	0.0498752	0.0435484	0.0621103	0.0590115	0.0703312	0.0772304	0.126595	0.189109	0.280265
a3	0.102029	0.111737	0.0977386	0.0936216	0.073277	0.0659921	0.0589359	0.0892209	0.120967	0.18648
a97	0.132611	0.183071	0.132597	0.107429	0.0768247	0.0623597	0.057071	0.0645638	0.0728618	0.11061
a87	0.14496	0.183911	0.138082	0.114022	0.0887587	0.0744388	0.067327	0.0633996	0.0557437	0.0693562
a23	0.106318	0.12726	0.0938219	0.0903978	0.0800907	0.0782161	0.0843282	0.104761	0.105652	0.129155
a87	0.0401128	0.0408097	0.0341813	0.0419257	0.0415093	0.0507115	0.0724895	0.137171	0.211885	0.329203
a23	0.0191972	0.0235337	0.0241423	0.0271587	0.0255297	0.0315468	0.049675	0.133596	0.243921	0.4217
</S>	0.0301777	0.0367097	0.0396165	0.0432399	0.0366701	0.0413748	0.0585274	0.133048	0.229038	0.351598
