 	cette	manière	d'	aiguiser	les	couteaux	est	nouvelle	</S>
a66	0.277817	0.202836	0.159816	0.145408	0.0871614	0.0532019	0.0387641	0.0190362	0.0159592
a87	0.435164	0.258906	0.14353	0.0738043	0.0362643	0.015367	0.012972	0.00935662	0.0146365
a23	0.399291	0.29098	0.160147	0.0661305	0.0267772	0.013319	0.0124532	0.0136997	0.0172021
a18	0.359745	0.21831	0.105529	0.0611408	0.0459495	0.0307875	0.0334958	0.0593382	0.0857039
a13	0.31201	0.22779	0.165369	0.0875783	0.0350212	0.0219945	0.0275941	0.0484116	0.0742311
a18	0.374945	0.223799	0.15353	0.0793811	0.0420713	0.0265744	0.0258927	0.0343452	0.0394619
a36	0.339345	0.253166	0.19118	0.0876554	0.0427927	0.0211335	0.0173632	0.0236783	0.0236864
a37	0.290356	0.248382	0.206836	0.0908132	0.0485246	0.0263835	0.0233471	0.0334102	0.0319472
a62	0.184165	0.227129	0.253597	0.13027	0.0735722	0.0363279	0.0286398	0.0331385	0.033161
a12	0.144667	0.206949	0.264856	0.159909	0.104039	0.0493271	0.0272718	0.0214009	0.0215792
a21	0.107923	0.146612	0.229843	0.178354	0.137297	0.0779202	0.0436819	0.0366976	0.0416708
a6	0.081596	0.103154	0.180154	0.17586	0.159065	0.110272	0.0651881	0.0567296	0.0679821
a36	0.0388678	0.0534932	0.132677	0.153697	0.1855	0.152139	0.103924	0.0859955	0.0937068
a54	0.0300946	0.0376503	0.0782356	0.112657	0.17623	0.183723	0.12698	0.114764	0.139667
a47	0.0352955	0.0420266	0.0824943	0.103896	0.140233	0.131601	0.1184	0.160708	0.185346
a6	0.0237832	0.0241041	0.0446756	0.0709444	0.116488	0.125608	0.114493	0.205838	0.274066
a5	0.0253314	0.0239411	0.0440256	0.0868343	0.159113	0.185519	0.13985	0.160241	0.175145
a23	0.0111222	0.0108459	0.017274	0.0479995	0.144342	0.230605	0.20101	0.171349	0.165452
a61	0.00587482	0.00545076	0.00848258	0.0233712	0.07916	0.191619	0.250443	0.227355	0.208244
a12	0.00249574	0.00225224	0.00370599	0.0110607	0.0455748	0.134462	0.239353	0.307033	0.254062
a62	0.00288108	0.00252905	0.00377047	0.00883514	0.0360636	0.107577	0.222228	0.318411	0.297704
a18	0.00585491	0.00453238	0.00628734	0.0106096	0.0242213	0.0677056	0.161462	0.341034	0.378293
a71	0.0147508	0.0108045	0.0095136	0.0116821	0.0189212	0.0463523	0.113162	0.296922	0.477892
a62	0.043578	0.0322044	0.0275649	0.032781	0.0473538	0.0749197	0.118697	0.242244	0.380657
a5	0.00990458	0.00597522	0.00630766	0.00937483	0.0190317	0.0510949	0.130824	0.315273	0.452214
a23	0.00228942	0.00139113	0.00214968	0.00424827	0.0115286	0.030032	0.106136	0.326519	0.515707
a27	0.000207127	0.000137361	0.000263992	0.000671729	0.00307486	0.0138892	0.0665212	0.311959	0.603276
a54	0.0110892	0.00793924	0.00874151	0.0122229	0.0256451	0.0597136	0.133478	0.270142	0.471028
a6	0.00131011	0.000984296	0.00192776	0.00392751	0.0137315	0.04181	0.129117	0.311597	0.495595
a36	0.000340179	0.000255859	0.000522052	0.00114137	0.00486529	0.0185558	0.0816546	0.318744	0.573921
a27	0.00193112	0.00162203	0.00239536	0.00344224	0.00988892	0.0331416	0.109443	0.28498	0.553156
a25	0.0176246	0.0129967	0.0142478	0.0174148	0.0374638	0.0837156	0.155132	0.260357	0.401048
a87	0.0790902	0.0469602	0.036974	0.0350518	0.0585614	0.101539	0.161904	0.226078	0.253842
</S>	0.251687	0.16186	0.0962504	0.0697074	0.0657526	0.068641	0.0833131	0.101308	0.10148
