 	la	lignée	de	ma	mère	ne	compte	que	des	femmes	</S>
a84	0.226429	0.0830595	0.067325	0.100737	0.133652	0.13774	0.114714	0.0532503	0.0321217	0.0259122	0.0250597
a10	0.178855	0.178309	0.17164	0.146641	0.0953454	0.0632083	0.0486927	0.0311946	0.0247777	0.0254623	0.0358726
a87	0.383195	0.223385	0.0795711	0.0548238	0.046119	0.0423469	0.0433263	0.0310369	0.0279903	0.0295392	0.0386666
a10	0.412932	0.276277	0.0769767	0.0414418	0.0265378	0.0251049	0.0310793	0.0238898	0.0225696	0.0266758	0.0365154
a87	0.440494	0.331907	0.0869778	0.0466016	0.0212587	0.0135634	0.0106142	0.00947357	0.00999584	0.0119709	0.0171435
a23	0.429929	0.268495	0.0793748	0.0534275	0.0351416	0.0293109	0.0255567	0.0188448	0.0174882	0.0190391	0.0233928
a50	0.376389	0.320581	0.108893	0.0653474	0.0273369	0.015461	0.0131156	0.015464	0.0173967	0.0183449	0.0216695
a88	0.40182	0.299979	0.107177	0.0681135	0.0269564	0.0147104	0.0126135	0.0170238	0.0181779	0.0160395	0.0173884
a50	0.359626	0.386627	0.126468	0.0561723	0.0211968	0.0106617	0.00787211	0.00774152	0.00784354	0.00745139	0.00833958
a62	0.315677	0.387953	0.140331	0.0586803	0.0280884	0.0154902	0.0116433	0.0105007	0.010536	0.0101822	0.0109185
a75	0.301548	0.290552	0.168786	0.0871484	0.0502088	0.0272113	0.0188898	0.0149198	0.0135851	0.0131487	0.0140025
a98	0.220528	0.307201	0.210344	0.113728	0.0548197	0.0284897	0.0171826	0.0127212	0.0121357	0.0109286	0.011922
a25	0.160397	0.201637	0.189091	0.144549	0.0929951	0.0493404	0.0302278	0.0288978	0.0326641	0.0329843	0.0372165
a15	0.0724812	0.0928633	0.162048	0.16998	0.143192	0.0945993	0.0601719	0.0456057	0.0493143	0.0519721	0.0577728
a79	0.0592031	0.0885206	0.113965	0.132076	0.140299	0.110961	0.0754351	0.0587211	0.066263	0.0721373	0.0824189
a73	0.0259807	0.043784	0.0882581	0.112123	0.133987	0.118298	0.0899564	0.0712426	0.0868733	0.104943	0.124554
a0	0.0139287	0.0235659	0.0604994	0.0869258	0.117372	0.115377	0.0964621	0.0857899	0.10741	0.132068	0.160601
a24	0.0106064	0.00987961	0.0216436	0.0610664	0.125641	0.144403	0.10951	0.0667637	0.0952814	0.145991	0.209214
a43	0.015107	0.0110435	0.0232935	0.0482412	0.100074	0.12794	0.118579	0.08624	0.112324	0.148614	0.208544
a75	0.0111519	0.00775956	0.018687	0.044	0.0956728	0.118001	0.117951	0.0994287	0.127479	0.151287	0.208582
a85	0.00744109	0.00587917	0.00994318	0.0219446	0.0505421	0.08634	0.0970694	0.116614	0.149196	0.198453	0.256577
a5	0.00772904	0.00503159	0.011979	0.0250687	0.0525465	0.0809026	0.091662	0.115501	0.147239	0.198992	0.263348
a56	0.00451105	0.00307795	0.00623407	0.0132957	0.0282014	0.0488456	0.0754735	0.142512	0.201277	0.225758	0.250813
a98	0.00186561	0.00141943	0.00302388	0.00677396	0.0162922	0.0303895	0.0533201	0.123975	0.22012	0.259182	0.283639
a85	0.000686792	0.000610177	0.00130934	0.00270317	0.00676135	0.0125939	0.0228056	0.0744606	0.185805	0.298665	0.3936
a5	0.000241992	0.000197687	0.000486271	0.000946902	0.00236851	0.00478393	0.00972799	0.0433585	0.151996	0.322186	0.463706
a37	0.000394368	0.000256506	0.000568549	0.00114975	0.00265005	0.00482843	0.0120822	0.0502471	0.145532	0.316129	0.466162
a96	0.000557694	0.000389883	0.000837157	0.00136515	0.0024364	0.00360538	0.010286	0.0420381	0.121643	0.29035	0.526492
a70	0.000743737	0.000653939	0.00123063	0.00164824	0.00266487	0.00359498	0.0120439	0.047429	0.123297	0.272457	0.534237
a57	0.000535293	0.000504287	0.0010696	0.00164818	0.00264792	0.00342939	0.0110205	0.0525467	0.14241	0.282107	0.502081
a3	0.00736951	0.00465951	0.0071771	0.00682048	0.0112906	0.0194201	0.0551743	0.0815431	0.13886	0.263651	0.404034
a10	0.164794	0.0835089	0.0629938	0.044565	0.0458674	0.056908	0.0775191	0.0699399	0.0801623	0.126318	0.187424
a87	0.227991	0.155012	0.0969339	0.0677527	0.0538017	0.058914	0.0693781	0.0598155	0.0589357	0.069555	0.0819113
a23	0.18974	0.146273	0.0933026	0.0694641	0.0614972	0.0666266	0.0858764	0.0734737	0.0678596	0.0703446	0.0755423
a87	0.0468038	0.0390422	0.0276483	0.0175931	0.017937	0.0226469	0.0369758	0.0794924	0.151216	0.233857	0.326787
a23	0.0126139	0.0106083	0.00773229	0.00503429	0.00606421	0.00808815	0.0159484	0.0551023	0.148782	0.278758	0.451268
a97	0.015996	0.0178612	0.018161	0.012549	0.0162496	0.0228153	0.0421792	0.0902128	0.165852	0.253754	0.34437
</S>	0.022821	0.0235028	0.0202513	0.0173753	0.0238274	0.0320871	0.0483828	0.0868905	0.156625	0.242263	0.325974
