 	il	se	renferme	sur	soi-même	quand	on	lui	parle	il	ne	répond	pas	</S>
a87	0.109736	0.100205	0.0870462	0.0887714	0.1308	0.0900863	0.0929187	0.086186	0.0898624	0.0546597	0.0330156	0.0158772	0.0116479	0.00918768
a30	0.115873	0.0731817	0.0401279	0.0408969	0.0338134	0.0500982	0.075526	0.0857365	0.116427	0.100666	0.0983174	0.066173	0.054644	0.0485189
a53	0.185586	0.131319	0.0704793	0.0590613	0.070016	0.0534626	0.0552146	0.0633877	0.0862775	0.0522048	0.0421306	0.0362366	0.0400271	0.054597
a90	0.124153	0.120526	0.0508787	0.0343712	0.0491572	0.0390152	0.0577219	0.0780248	0.0925118	0.0670778	0.0673449	0.0673054	0.0620316	0.0898804
a92	0.368347	0.255967	0.0641486	0.0438846	0.0789962	0.0290997	0.0248402	0.0220908	0.0235505	0.0156231	0.0130234	0.0126647	0.0197715	0.0279928
a61	0.21725	0.171064	0.0926754	0.0768242	0.119653	0.0624658	0.0526662	0.0454455	0.0408558	0.0253362	0.0210429	0.017439	0.0247436	0.0325385
a21	0.172535	0.186144	0.145618	0.10056	0.168703	0.0549235	0.0371014	0.0290493	0.0241652	0.0169481	0.0150568	0.0131073	0.0166828	0.0194053
a85	0.126971	0.142522	0.163479	0.123951	0.192066	0.0744791	0.0488042	0.0360261	0.026632	0.0156608	0.0124333	0.0109263	0.0123517	0.0136989
a5	0.0930805	0.128117	0.141089	0.115139	0.153737	0.0826797	0.0697309	0.0573851	0.048157	0.0306342	0.0212913	0.0165954	0.0188309	0.0235329
a18	0.0875391	0.115212	0.189635	0.133827	0.218941	0.0775168	0.0487233	0.0355921	0.027372	0.0168923	0.0123806	0.0107458	0.0119415	0.0136819
a38	0.0556108	0.0797538	0.180192	0.149908	0.21445	0.0792455	0.0460111	0.0337024	0.0272677	0.020114	0.0179809	0.0237876	0.0295261	0.0424503
a90	0.0200979	0.0347343	0.129741	0.142576	0.178943	0.0972078	0.0648933	0.0549452	0.0445416	0.0340885	0.0313644	0.0421398	0.0522076	0.0725198
a93	0.0256028	0.0419358	0.150332	0.143094	0.212282	0.0969937	0.0709033	0.0538441	0.0390434	0.0258376	0.0194452	0.0249408	0.0345492	0.0611961
a13	0.0249179	0.0369504	0.135464	0.158603	0.222412	0.0965124	0.0692014	0.0498449	0.0351416	0.0225958	0.0174809	0.0258696	0.0359239	0.0690823
a99	0.00415763	0.00853259	0.0848731	0.149662	0.1665	0.142648	0.096556	0.0804295	0.0593935	0.0363596	0.027183	0.0331238	0.0411026	0.0694792
a87	0.00345297	0.0063668	0.0634268	0.143939	0.151414	0.140728	0.110055	0.0982368	0.0671602	0.0398298	0.0285358	0.0347343	0.0399344	0.0721855
a23	0.00285563	0.0051763	0.0627833	0.127422	0.118643	0.158784	0.118953	0.126264	0.0913497	0.049711	0.0320143	0.0263565	0.0311475	0.0485392
a87	0.00781159	0.0106756	0.0533832	0.0910391	0.101647	0.113221	0.105061	0.117141	0.0940281	0.0541874	0.0400831	0.0366841	0.0612329	0.113805
a10	0.00607841	0.0104126	0.0380943	0.0620593	0.0655238	0.0970923	0.105156	0.122792	0.110593	0.0710157	0.0582959	0.0491185	0.0766181	0.12715
a30	0.00911174	0.0139291	0.0367143	0.0560575	0.0623941	0.0845556	0.101094	0.125432	0.133651	0.0866333	0.0680972	0.0467226	0.0715996	0.104008
a53	0.0092652	0.0133758	0.0296733	0.0498233	0.0478047	0.0777473	0.0943004	0.115436	0.122646	0.0953007	0.0898051	0.0577301	0.0802061	0.116886
a20	0.0157353	0.0293911	0.0714217	0.0772834	0.0841335	0.0686395	0.058383	0.0452322	0.0373338	0.0291574	0.0358263	0.061931	0.139515	0.246017
a44	0.013591	0.0268073	0.0836573	0.0809083	0.0995363	0.0676815	0.0642091	0.0602302	0.0528517	0.0440142	0.045579	0.0694018	0.108015	0.183517
a54	0.0199691	0.0252538	0.0578134	0.0668736	0.0843231	0.0564444	0.0492856	0.0411479	0.0320856	0.0280883	0.0322081	0.0614596	0.140962	0.304086
a47	0.010657	0.0174847	0.0663066	0.0860014	0.118537	0.0650892	0.0530619	0.0404923	0.0313607	0.0278262	0.0375707	0.0752496	0.141539	0.228825
a5	0.00756412	0.0137321	0.0667001	0.0963556	0.121541	0.0900594	0.0799057	0.0658482	0.0507439	0.0455346	0.0451047	0.0582632	0.0985274	0.16012
a27	0.0143815	0.0216574	0.0636478	0.113193	0.141005	0.103977	0.0869483	0.0703737	0.0513728	0.0385953	0.0347451	0.0440919	0.0789918	0.137019
a11	0.00371223	0.00614358	0.0294489	0.0639129	0.0664102	0.0801369	0.0775702	0.0684341	0.049234	0.0416676	0.043232	0.0709559	0.125764	0.273378
a21	0.00270451	0.00429656	0.0240126	0.0600839	0.0570767	0.0797584	0.0852414	0.0882161	0.072562	0.0605063	0.0655132	0.0835672	0.118637	0.197824
a85	0.00415957	0.00660845	0.0274218	0.0686318	0.0740798	0.0884695	0.091669	0.083432	0.0626363	0.0521418	0.0606472	0.085691	0.117491	0.176921
a98	0.00355806	0.00532352	0.0276564	0.0657095	0.0752493	0.0950533	0.0815865	0.0626749	0.0384093	0.0312284	0.0382081	0.078416	0.131326	0.2656
a25	0.00379699	0.00523138	0.0259178	0.0638009	0.0647164	0.0911725	0.0802938	0.0677143	0.0377943	0.0337046	0.0423629	0.10204	0.137225	0.244229
a15	0.00368091	0.00555652	0.0204262	0.0462883	0.0432063	0.0678362	0.0677292	0.0692655	0.0418158	0.037679	0.0441005	0.119642	0.165131	0.267642
a47	0.00359579	0.00475531	0.0168887	0.036269	0.0359805	0.0598567	0.0677946	0.0791501	0.0559306	0.0475775	0.0595706	0.12672	0.162553	0.243358
a37	0.00482483	0.00619273	0.0201243	0.0411612	0.0421615	0.0639259	0.0661048	0.0701924	0.0446998	0.0378738	0.0455237	0.118532	0.158895	0.279788
a98	0.00227023	0.00295785	0.0137642	0.0325783	0.0286112	0.0555422	0.0616276	0.0663344	0.0421545	0.0367764	0.0514324	0.135185	0.166926	0.303839
a69	0.00341321	0.00422759	0.0153567	0.0329881	0.0301753	0.0581514	0.0589862	0.0588365	0.0360773	0.0341462	0.0482561	0.118687	0.16192	0.338778
a57	0.00133491	0.00173968	0.00865952	0.0200978	0.0178148	0.0379744	0.0407121	0.0446284	0.030909	0.0329896	0.0549681	0.156811	0.201547	0.349814
a40	0.000827908	0.000829217	0.00300316	0.00810335	0.00710549	0.0167787	0.0190739	0.0228576	0.0145024	0.015095	0.0293149	0.147613	0.210315	0.50458
a75	0.000757052	0.000905961	0.00400753	0.00919687	0.00834761	0.0192185	0.0239208	0.0272889	0.0201692	0.0234224	0.0507821	0.16766	0.2217	0.422623
a6	0.000713218	0.000899065	0.0038518	0.00868913	0.00698854	0.0172177	0.0210044	0.0238127	0.0155441	0.0174997	0.0356517	0.138469	0.225272	0.484387
a43	0.000577751	0.000715752	0.00288743	0.00629588	0.00512936	0.0125285	0.0154872	0.0185114	0.0128284	0.0150797	0.0312002	0.130434	0.218552	0.529773
a11	0.000272965	0.000312839	0.00144611	0.00360543	0.00273356	0.00690549	0.00873375	0.0106499	0.0070646	0.00764772	0.0172321	0.11387	0.202474	0.617052
a75	0.000303926	0.000338994	0.0011163	0.00240439	0.00173194	0.00459507	0.00501057	0.00632403	0.00441945	0.00546878	0.0123019	0.104133	0.188768	0.663083
a92	0.000318581	0.00034973	0.00154079	0.0037326	0.00301888	0.0072048	0.00877552	0.0108299	0.00709261	0.00799482	0.0201562	0.126127	0.195148	0.60771
a85	0.000390857	0.000487284	0.00245756	0.00535866	0.00435018	0.0104415	0.0124787	0.0150775	0.0103448	0.0119447	0.0266018	0.125531	0.201206	0.573329
a6	0.00179991	0.00256713	0.00776279	0.0105998	0.00882769	0.0196078	0.0220631	0.0231132	0.015359	0.0166129	0.0245317	0.114694	0.212301	0.52016
a26	0.000581013	0.000810384	0.00446315	0.0108992	0.00953568	0.0209941	0.0222297	0.0248289	0.0173318	0.0191038	0.0342924	0.130932	0.194543	0.509454
a40	0.000261552	0.00028639	0.000733192	0.0015533	0.00116617	0.00321361	0.0039113	0.00543161	0.00435108	0.00600015	0.0143736	0.142479	0.237351	0.578888
a54	0.000394567	0.000543028	0.00224523	0.00443673	0.00308685	0.00723997	0.00965903	0.0121734	0.00864937	0.0110616	0.0290835	0.164554	0.217079	0.529794
a47	0.000333071	0.000499597	0.00254301	0.00516103	0.00388242	0.0106325	0.0130912	0.0163846	0.0109458	0.0126796	0.0281936	0.147756	0.201788	0.54611
a36	0.000666696	0.000955811	0.00339183	0.00609439	0.00519334	0.0120914	0.0139909	0.0168082	0.0123672	0.0148915	0.0284359	0.157461	0.241362	0.486289
a2	0.000396952	0.000481876	0.00142942	0.00261092	0.00213265	0.00469239	0.00545078	0.00686807	0.0054225	0.00701464	0.0162014	0.146208	0.229599	0.571491
a57	0.00365224	0.00392391	0.00446957	0.00688329	0.00508518	0.0139313	0.0179391	0.0250291	0.020882	0.0303424	0.0568693	0.198657	0.250152	0.362184
a87	0.0327741	0.0200873	0.0061873	0.00811656	0.006094	0.0125356	0.0231262	0.036815	0.0417449	0.0745939	0.131636	0.191124	0.216571	0.198594
a23	0.0389891	0.0265218	0.00834289	0.0139112	0.0108605	0.0211427	0.0333251	0.0447669	0.05141	0.0929257	0.130864	0.173971	0.195616	0.157353
a87	0.0109445	0.00592323	0.00343622	0.00719955	0.00596098	0.0121928	0.0208103	0.0260751	0.0285678	0.0534842	0.103946	0.233773	0.253344	0.234343
a97	0.00516142	0.00419994	0.0041446	0.00686861	0.00544975	0.00938254	0.0149736	0.0195885	0.0207193	0.0358209	0.0692327	0.211852	0.274446	0.31816
a99	0.0157638	0.0145611	0.010691	0.0155293	0.0123064	0.0178518	0.0238392	0.0284201	0.0289938	0.0414083	0.0639541	0.178479	0.234843	0.313359
a3	0.0230575	0.0188618	0.0163529	0.0253284	0.0199081	0.0282274	0.0406072	0.0429223	0.0410041	0.0495979	0.0707721	0.163676	0.194866	0.264818
a97	0.0502001	0.0423854	0.0222068	0.0277394	0.0228349	0.0321718	0.0445381	0.0511309	0.0529201	0.0569311	0.0694085	0.12837	0.164755	0.234408
a3	0.0543744	0.0401689	0.0212199	0.0291467	0.0217995	0.0302553	0.0423542	0.0507305	0.0538965	0.0605809	0.0727807	0.121863	0.160974	0.239855
</S>	0.0673066	0.0593273	0.0375108	0.0482115	0.0374862	0.0493587	0.0618739	0.069383	0.0699887	0.0680258	0.0705761	0.100046	0.111654	0.149251
