 	cet	arbre	est	apparenté	au	safoutier	</S>
a87	0.320149	0.228037	0.139887	0.13634	0.104143	0.0388849	0.0325591
a23	0.306584	0.220643	0.148636	0.147473	0.0999391	0.0407076	0.0360181
a83	0.180643	0.152272	0.157768	0.182303	0.111531	0.07985	0.135634
a11	0.415828	0.224102	0.118992	0.116974	0.0593651	0.0324853	0.0322527
a90	0.45904	0.244575	0.11743	0.103151	0.039436	0.0198737	0.016495
a98	0.404178	0.245759	0.127939	0.118786	0.047288	0.0294897	0.0265602
a85	0.257979	0.230934	0.175407	0.213199	0.0655954	0.0304186	0.0264667
a18	0.248572	0.26043	0.201409	0.199293	0.0436705	0.023486	0.0231395
a31	0.170053	0.193065	0.215612	0.281687	0.0722755	0.0336739	0.0336331
a88	0.172476	0.186713	0.210374	0.256894	0.0846752	0.0440368	0.0448316
a71	0.140568	0.162195	0.202596	0.239243	0.109854	0.0698009	0.0757432
a24	0.0632585	0.0822359	0.128374	0.215892	0.180333	0.157038	0.172869
a83	0.0888773	0.105382	0.156875	0.200535	0.170945	0.140685	0.136701
a9	0.102739	0.0947793	0.120746	0.162913	0.197618	0.176265	0.14494
a38	0.0342689	0.0392622	0.0668367	0.115872	0.210654	0.283942	0.249164
a11	0.0367764	0.0296831	0.0368451	0.061144	0.171911	0.334364	0.329277
a75	0.0197414	0.0132264	0.0163186	0.0316911	0.143239	0.360628	0.415156
a90	0.0193711	0.0112478	0.0127235	0.0203805	0.0880154	0.35761	0.490652
a13	0.00953275	0.00604849	0.00824917	0.0147448	0.0797654	0.379214	0.502446
a90	0.00310315	0.00247458	0.00388105	0.00692494	0.0535426	0.298679	0.631394
a25	0.00192963	0.00119597	0.00168308	0.00294393	0.0288171	0.303393	0.660037
a92	0.000792407	0.00058876	0.00112572	0.00235185	0.0236534	0.262936	0.708552
a11	0.00263035	0.00182253	0.00276973	0.0038932	0.0265167	0.255018	0.70735
a75	0.000319459	0.000191032	0.000395007	0.000645856	0.0120622	0.218865	0.767521
a47	0.000926186	0.000608983	0.00109786	0.00183915	0.0195595	0.223721	0.752247
a36	0.00188692	0.00137926	0.00237646	0.00398094	0.0288406	0.250333	0.711202
a2	0.00133848	0.00102744	0.0020048	0.00355789	0.0386592	0.285132	0.66828
a57	0.0394747	0.0210536	0.0197164	0.0205696	0.0721408	0.25488	0.572165
a87	0.187942	0.152417	0.123931	0.0827322	0.125816	0.13831	0.188852
a23	0.150722	0.122566	0.107422	0.0935763	0.173087	0.164357	0.18827
a87	0.0401588	0.0372675	0.0407129	0.0437554	0.152456	0.297487	0.388162
a23	0.0193113	0.0184238	0.0246764	0.0253027	0.0830616	0.279882	0.549343
a87	0.0269295	0.024309	0.0292572	0.0296792	0.108953	0.305231	0.475642
</S>	0.0302281	0.0216045	0.0247921	0.0213026	0.0629876	0.245131	0.593954
