 	ofounga	a	tué	un	gros	éléphant	</S>
a15	0.593648	0.145614	0.11689	0.0801806	0.0349656	0.0163303	0.012372
a66	0.533341	0.160868	0.108577	0.0663695	0.0467327	0.0434073	0.0407052
a87	0.687178	0.137074	0.0447936	0.0239393	0.0199206	0.0354594	0.0516345
a23	0.612234	0.228628	0.0707686	0.031554	0.018634	0.0172686	0.0209123
a30	0.416802	0.205902	0.0893374	0.0653465	0.0640974	0.0753649	0.0831503
a53	0.590494	0.167833	0.0786892	0.0536569	0.0455188	0.033731	0.0300776
a56	0.670504	0.164472	0.0569285	0.0396806	0.0351204	0.0195025	0.0137923
a43	0.54672	0.229488	0.0748542	0.0564922	0.0490825	0.026415	0.0169481
a93	0.481914	0.237475	0.0787835	0.065165	0.0607212	0.0408524	0.0350883
a98	0.348204	0.287325	0.132461	0.0987732	0.0629928	0.0373332	0.0329104
a15	0.18741	0.194832	0.128431	0.14978	0.143648	0.103219	0.0926798
a7	0.140377	0.167121	0.141105	0.144087	0.135506	0.128283	0.143522
a90	0.131588	0.15302	0.148145	0.140451	0.124607	0.14513	0.15706
a44	0.121995	0.178499	0.133374	0.120453	0.130905	0.153516	0.161257
a96	0.0637102	0.141349	0.158142	0.14847	0.131968	0.167722	0.188639
a18	0.0375174	0.0965612	0.137494	0.146201	0.140575	0.201475	0.240177
a75	0.0297402	0.0607422	0.122598	0.136005	0.138479	0.22224	0.290195
a79	0.00681432	0.0109707	0.0391317	0.0737909	0.129949	0.326318	0.413025
a98	0.00356371	0.00740008	0.0282451	0.0590845	0.12596	0.333535	0.442212
a5	0.00336063	0.00664025	0.0270071	0.0476224	0.10169	0.316198	0.497482
a36	0.00212445	0.00367357	0.0117156	0.0282072	0.0854398	0.301687	0.567152
a56	0.000569995	0.00114086	0.0044262	0.0145353	0.0485596	0.280856	0.649912
a94	0.000352684	0.000750821	0.00473688	0.0189365	0.0634123	0.299402	0.612409
a71	0.000232864	0.000510649	0.00305871	0.0111634	0.0443192	0.278663	0.662053
a9	0.0115259	0.0100659	0.041574	0.0681078	0.102706	0.238368	0.527652
a82	0.0738938	0.0669389	0.123636	0.125293	0.133683	0.190134	0.286421
a97	0.235153	0.151208	0.169676	0.113689	0.096876	0.109738	0.12366
a87	0.201114	0.160615	0.180698	0.126245	0.108527	0.117407	0.105393
a23	0.128656	0.121377	0.166656	0.126141	0.125053	0.168618	0.1635
a99	0.0253008	0.0198348	0.0365717	0.0547907	0.102593	0.288403	0.472505
a3	0.0135547	0.0125593	0.0244835	0.0367546	0.083009	0.279189	0.55045
</S>	0.00990056	0.0102532	0.0132709	0.0202024	0.0593185	0.278076	0.608979
