 	il	répare	la	bretelle	du	fusil	</S>
a85	0.146201	0.115913	0.0862362	0.112748	0.141579	0.204178	0.193144
a87	0.223865	0.173302	0.127046	0.112673	0.105523	0.120976	0.136616
a23	0.352815	0.226321	0.131725	0.0984182	0.0716818	0.0590365	0.0600026
a79	0.27259	0.137394	0.0919217	0.140544	0.111373	0.119732	0.126446
a20	0.413489	0.20734	0.0975315	0.0895883	0.0626953	0.0664131	0.0629426
a30	0.419197	0.303281	0.131762	0.0643981	0.0398103	0.0244812	0.0170708
a35	0.38159	0.26422	0.16337	0.0859112	0.0546938	0.0298527	0.0203614
a30	0.364414	0.276918	0.15688	0.0824955	0.0588578	0.0346089	0.0258256
a35	0.331	0.283027	0.166509	0.0827297	0.0611158	0.0407347	0.0348841
a76	0.26333	0.260955	0.173432	0.110306	0.0882318	0.0549152	0.0488302
a56	0.267585	0.230181	0.17023	0.119407	0.0985764	0.0641644	0.0498567
a35	0.201274	0.19104	0.166526	0.158439	0.138112	0.0824806	0.0621279
a26	0.139477	0.161229	0.155776	0.169513	0.167815	0.113677	0.0925125
a75	0.0836814	0.112316	0.121772	0.170094	0.197914	0.156005	0.158218
a14	0.0793731	0.0980838	0.114867	0.176578	0.203472	0.170703	0.156924
a35	0.0640456	0.0863462	0.106406	0.158976	0.191946	0.195343	0.196938
a26	0.043882	0.0581051	0.0652965	0.116455	0.194128	0.243855	0.278278
a35	0.0211968	0.032913	0.0386875	0.0776579	0.147948	0.27	0.411597
a76	0.0200594	0.0279517	0.0329945	0.0718864	0.151137	0.297953	0.398018
a90	0.020879	0.0272094	0.0353897	0.0821015	0.164452	0.299131	0.370837
a58	0.0236705	0.0321417	0.0346025	0.0660994	0.125326	0.278353	0.439807
a82	0.00356391	0.00467131	0.00703385	0.0250669	0.0673467	0.25689	0.635427
a38	0.00288404	0.00289013	0.00454742	0.017849	0.0535427	0.240861	0.677426
a14	0.00405777	0.00373221	0.00559354	0.0262031	0.063323	0.24308	0.65401
a30	0.00409023	0.00401326	0.00587952	0.0260381	0.0634847	0.238517	0.657977
a2	0.0041699	0.00417813	0.00774122	0.0335127	0.0773063	0.242949	0.630143
a57	0.00651403	0.00554132	0.0108038	0.0410733	0.0808138	0.241251	0.614003
a87	0.0120168	0.00781116	0.0138481	0.0566188	0.10491	0.26574	0.539055
</S>	0.00878765	0.00540588	0.0104069	0.0528117	0.117086	0.292779	0.512723
