 	ce	piégeur	de	hérissons	me	les	vend	si	chers	</S>
a66	0.09838	0.134294	0.113086	0.172774	0.148416	0.135541	0.123003	0.0451142	0.0176951	0.011696
a87	0.344676	0.33615	0.121398	0.0748992	0.0261186	0.0264967	0.0239489	0.0135512	0.0188747	0.0138863
a23	0.393562	0.278332	0.0859628	0.0651136	0.0379536	0.030994	0.0284663	0.0265299	0.0304324	0.0226538
a30	0.2477	0.274402	0.125803	0.106632	0.0785411	0.0422515	0.0336676	0.0273742	0.0327717	0.0308568
a70	0.230386	0.298463	0.145744	0.112903	0.0722824	0.0371685	0.0300575	0.0250326	0.0264362	0.0215271
a61	0.196407	0.364284	0.180713	0.124642	0.0546543	0.0237719	0.0178108	0.0124294	0.016469	0.00881777
a62	0.274475	0.345446	0.16634	0.083858	0.0481281	0.0261536	0.0169338	0.0136076	0.0160777	0.00898005
a21	0.266288	0.358733	0.157056	0.0810774	0.0532884	0.0305555	0.0183273	0.0127002	0.0135492	0.008425
a85	0.176932	0.298555	0.169435	0.123505	0.0933126	0.0587318	0.034282	0.0188835	0.0164372	0.00992533
a6	0.100533	0.169249	0.115846	0.113893	0.119214	0.119397	0.0953346	0.0615046	0.0506325	0.0543957
a37	0.115234	0.182695	0.181878	0.14569	0.141506	0.0823998	0.0511715	0.031415	0.0323888	0.0356212
a92	0.117776	0.187071	0.169538	0.149223	0.144943	0.088353	0.0575017	0.0313312	0.0264581	0.0278049
a98	0.073744	0.141066	0.161333	0.154814	0.155485	0.112177	0.0849186	0.044642	0.0336127	0.0382069
a15	0.0211918	0.0647345	0.123988	0.158544	0.186342	0.149428	0.119097	0.077787	0.0520023	0.0468852
a79	0.0264067	0.0743921	0.128804	0.174507	0.209249	0.131498	0.0911032	0.0508725	0.0437662	0.0694014
a98	0.0159153	0.0570683	0.103346	0.159335	0.20209	0.137661	0.10666	0.0689369	0.0579479	0.09104
a85	0.0120552	0.0446008	0.0904103	0.152696	0.180314	0.120874	0.10797	0.089646	0.0859958	0.115439
a6	0.0105945	0.036644	0.0711108	0.138338	0.17867	0.125535	0.11705	0.0904027	0.0972529	0.134402
a36	0.0175823	0.054895	0.0922125	0.151885	0.177814	0.142521	0.116629	0.0785112	0.0671119	0.100838
a27	0.0110389	0.0204243	0.0421642	0.125347	0.184281	0.149041	0.118132	0.0757014	0.0705122	0.203357
a61	0.0149903	0.015973	0.0321519	0.124614	0.230454	0.188809	0.172239	0.0775609	0.0505125	0.0926951
a75	0.00581137	0.0073234	0.0137006	0.0858149	0.163901	0.16101	0.156078	0.133672	0.113236	0.159454
a92	0.00456416	0.00702376	0.012958	0.049232	0.0794506	0.0848717	0.0875205	0.0895989	0.152471	0.432309
a37	0.0038067	0.00691707	0.012108	0.0438606	0.0673435	0.0776634	0.0844564	0.103898	0.162963	0.436983
a92	0.00398491	0.00527801	0.00900815	0.0361714	0.078512	0.0893421	0.0998357	0.12267	0.174328	0.38087
a37	0.00321814	0.00540547	0.00998278	0.0278697	0.0468418	0.0644402	0.0784363	0.105347	0.175629	0.482831
a75	0.00198674	0.00260861	0.00504486	0.0161527	0.0340419	0.0394726	0.0505066	0.0976834	0.235144	0.517358
a34	0.00167487	0.00263951	0.00535768	0.0198058	0.0361813	0.0494032	0.0642831	0.113093	0.214126	0.493435
a92	0.00124878	0.00151104	0.00296822	0.0106673	0.0203595	0.0252213	0.0340116	0.0755273	0.248258	0.580227
a85	0.000443417	0.000608187	0.00127619	0.00552838	0.0122033	0.0179624	0.0256703	0.0742948	0.260492	0.601521
a6	0.000456244	0.000639836	0.00160032	0.00610964	0.0123885	0.0180087	0.0241776	0.0598061	0.185827	0.690986
a36	0.00064084	0.000831382	0.00208357	0.00796931	0.0150304	0.0175166	0.020698	0.0667503	0.208426	0.660053
a75	0.00302641	0.00177645	0.00249545	0.00394371	0.00756303	0.0115255	0.0148776	0.0501059	0.172144	0.732542
a5	0.000502161	0.000396403	0.000754724	0.00190498	0.00378026	0.00676723	0.0102978	0.0412838	0.175956	0.758356
a36	0.000775897	0.000625387	0.0011856	0.00396405	0.0070929	0.0158484	0.0281327	0.080544	0.2362	0.625631
a27	0.00141298	0.000981222	0.0015387	0.00240871	0.00400173	0.00764845	0.0118872	0.0504421	0.18437	0.735308
a82	0.0130166	0.00843155	0.0125798	0.0145618	0.0170896	0.0236652	0.0342484	0.0965457	0.19039	0.589471
a10	0.0673297	0.0397516	0.0362193	0.0375439	0.0329015	0.0349383	0.0548002	0.0953845	0.186334	0.414797
a97	0.101883	0.0665558	0.0483434	0.050874	0.0449542	0.0549092	0.0859415	0.108667	0.182433	0.255439
a3	0.137708	0.0690534	0.0432263	0.0601535	0.0572168	0.0726993	0.0986188	0.104477	0.14699	0.209857
a97	0.145657	0.07758	0.0496196	0.090189	0.0696869	0.0670141	0.0859544	0.0816952	0.119948	0.212656
a99	0.178852	0.100448	0.0555917	0.0834046	0.0583046	0.0535398	0.0673801	0.0683929	0.113841	0.220245
a87	0.149085	0.075158	0.0413285	0.0695206	0.0507283	0.0494076	0.0586384	0.0687989	0.141137	0.296197
</S>	0.112089	0.0764136	0.0590658	0.0857813	0.0706411	0.0573076	0.0626708	0.0678686	0.120812	0.28735
