 	le	champignon	blanc	isyeeghe	pousse	aussi	bien	dans	la	forêt	que	dans	la	plaine	</S>
a66	0.171664	0.225628	0.171308	0.162596	0.0297715	0.0338688	0.0291461	0.03108	0.0272743	0.0255637	0.0226445	0.0176854	0.0163895	0.0169281	0.0184526
a87	0.190007	0.280117	0.25103	0.184375	0.0315759	0.0160936	0.00822951	0.00523346	0.00447163	0.00429331	0.0040512	0.00339853	0.00434341	0.00578687	0.00699453
a23	0.312374	0.283136	0.191812	0.0908652	0.0350778	0.01444	0.0085281	0.00835891	0.00842663	0.0081374	0.00879016	0.00761982	0.00671823	0.00732803	0.00838746
a83	0.241427	0.346643	0.142045	0.0945762	0.053936	0.02999	0.0210696	0.0106865	0.0103463	0.00912388	0.00824809	0.00660384	0.00678132	0.00806378	0.0104588
a0	0.225739	0.340176	0.121059	0.163985	0.0548605	0.0269637	0.014795	0.0085285	0.00702298	0.00549423	0.00478984	0.00401849	0.00468089	0.00794572	0.00994113
a62	0.172358	0.279036	0.131338	0.212018	0.091943	0.0476941	0.0203115	0.00943689	0.0073805	0.00528626	0.00451642	0.0037075	0.00387439	0.00551464	0.00558448
a21	0.0996216	0.156421	0.202254	0.23072	0.181082	0.0605562	0.0305517	0.0130963	0.00842447	0.00436711	0.00299541	0.00224152	0.00212762	0.00272265	0.00281916
a12	0.0811834	0.115473	0.164799	0.202293	0.237282	0.0905952	0.0509371	0.0221562	0.0134929	0.00644027	0.00397685	0.0025937	0.00219775	0.00310677	0.00347252
a21	0.0827094	0.0774712	0.135963	0.224958	0.222787	0.0968233	0.0679273	0.0289756	0.0205173	0.0116506	0.00771246	0.0055147	0.00456471	0.00575716	0.00666911
a12	0.0565928	0.0560585	0.114492	0.175924	0.226176	0.107814	0.0891872	0.0473475	0.0382158	0.0244404	0.0156955	0.011015	0.00931287	0.0127328	0.0149955
a62	0.0382569	0.0432625	0.097715	0.151538	0.198165	0.119401	0.106104	0.0617143	0.0534208	0.0387424	0.0263899	0.0167175	0.0124596	0.0166479	0.0194647
a88	0.0205012	0.0308796	0.0422975	0.069557	0.143712	0.150553	0.153714	0.108426	0.100036	0.0655875	0.0403526	0.0206596	0.013951	0.0176222	0.0221502
a75	0.00940678	0.0116968	0.0148158	0.0203505	0.0892009	0.150892	0.177817	0.144572	0.138763	0.0909584	0.0542575	0.02517	0.0179811	0.0242821	0.0298362
a25	0.00631571	0.00760735	0.00734152	0.011129	0.0699559	0.108757	0.132361	0.110315	0.117743	0.111068	0.0905589	0.0580533	0.0438213	0.0532748	0.0716971
a98	0.00263149	0.00287535	0.00332262	0.00495185	0.0332067	0.103579	0.141237	0.128712	0.134453	0.122385	0.100765	0.0543885	0.0362794	0.0487878	0.0824254
a79	0.00282707	0.00366686	0.00469754	0.00559164	0.0240968	0.0665916	0.100334	0.126916	0.141094	0.14866	0.128099	0.0691731	0.0433971	0.0546489	0.0802066
a56	0.00256568	0.00303486	0.0045516	0.00551313	0.0212947	0.0552041	0.0862677	0.116541	0.127338	0.142262	0.12358	0.0824906	0.0612285	0.0712311	0.0968965
a75	0.00263003	0.00203154	0.00325569	0.00318207	0.0155437	0.0568875	0.0981726	0.150942	0.147825	0.135441	0.111731	0.0674656	0.0472691	0.0621257	0.0954974
a98	0.000982975	0.00108718	0.00114534	0.00115224	0.00442743	0.0167169	0.0392236	0.0835682	0.0897699	0.103362	0.0960299	0.0983206	0.104506	0.144034	0.215675
a15	0.000802892	0.000778139	0.000883814	0.00103526	0.00547945	0.0265054	0.0488157	0.0962488	0.104762	0.109785	0.103315	0.0847823	0.0835047	0.126832	0.206469
a7	0.00151004	0.00119651	0.00133476	0.00134456	0.00645692	0.024028	0.0415861	0.0919917	0.0984721	0.104256	0.0961766	0.0788603	0.0782007	0.140254	0.234332
a90	0.00325234	0.00293798	0.00267333	0.00169987	0.00516244	0.0207225	0.0386094	0.0776198	0.07052	0.0704626	0.0607663	0.0455992	0.0534388	0.16725	0.379286
a76	0.000884271	0.000948369	0.00117558	0.00111552	0.00325175	0.0114076	0.0240196	0.0690109	0.0722141	0.0890324	0.083123	0.0738944	0.0820509	0.171204	0.316668
