 	cela	a	l'	apparence	d'	un	homme	mais	c'	est	un	esprit	</S>
a79	0.09468	0.0606483	0.0378775	0.0824779	0.0799845	0.0704595	0.0802509	0.11721	0.0806199	0.0760734	0.071259	0.0732331	0.0752267
a41	0.0795303	0.0734004	0.0680978	0.218908	0.17616	0.115733	0.0794772	0.0483574	0.0356396	0.0233348	0.0243912	0.0241978	0.0327732
a32	0.318461	0.207631	0.0774685	0.177483	0.0819695	0.0568358	0.0364668	0.0192329	0.0115123	0.00507111	0.00322252	0.00207628	0.00256943
a71	0.293841	0.201075	0.0724259	0.135426	0.0739434	0.0669995	0.0561575	0.0393645	0.0276244	0.0140081	0.00883175	0.0052192	0.0050839
a26	0.20641	0.158319	0.0831308	0.139002	0.0929156	0.0865408	0.0733905	0.0562932	0.0425821	0.0239347	0.0162993	0.0105567	0.0106256
a35	0.157328	0.128747	0.0715745	0.109937	0.0858127	0.0950703	0.0931344	0.0818102	0.0650175	0.0432564	0.030043	0.0197708	0.0184978
a66	0.137162	0.107284	0.0624705	0.0644128	0.0697862	0.0930791	0.101723	0.109038	0.0997252	0.0686922	0.0433358	0.0246727	0.0186197
a38	0.0789028	0.0630579	0.0507202	0.0625882	0.0748545	0.107155	0.121326	0.129188	0.112315	0.0832017	0.0513806	0.034923	0.0303871
a14	0.0692286	0.0632596	0.0519462	0.0618975	0.0768712	0.110791	0.126416	0.133072	0.115117	0.0805908	0.0479465	0.0334336	0.0294304
a35	0.0968617	0.0940161	0.0688984	0.0641771	0.08286	0.104683	0.113504	0.111572	0.098094	0.0699111	0.0458991	0.0277162	0.021807
a14	0.0414425	0.0452644	0.0482669	0.0598796	0.0974744	0.12639	0.134394	0.133432	0.113598	0.0805152	0.0543278	0.036699	0.0283156
a35	0.0282746	0.0349377	0.0419808	0.0520008	0.096515	0.130864	0.138444	0.136803	0.116191	0.0847183	0.0606498	0.0427431	0.0358789
a4	0.0201474	0.022055	0.0247783	0.0399822	0.0756035	0.113385	0.136034	0.156552	0.128121	0.101596	0.0694163	0.0588736	0.0534563
a13	0.0115447	0.0181815	0.0249993	0.0405514	0.0848954	0.118002	0.128769	0.158722	0.115668	0.0995642	0.0638215	0.0661801	0.0691
a82	0.0126924	0.0192825	0.0256797	0.0470007	0.0891775	0.114484	0.128097	0.146085	0.106437	0.0987846	0.0660667	0.0705677	0.075646
a87	0.0104532	0.0145391	0.0222666	0.057158	0.0908984	0.104237	0.119957	0.122513	0.09056	0.0930485	0.0686977	0.0897392	0.115932
a23	0.0147195	0.0245839	0.0349277	0.128127	0.133539	0.0955534	0.0812158	0.0628175	0.0556798	0.0618478	0.0662463	0.0947893	0.145953
a13	0.0106184	0.0268203	0.054527	0.214337	0.175625	0.0851558	0.0550349	0.0361149	0.0375395	0.0379991	0.0479274	0.0800988	0.138202
a11	0.0137955	0.0270443	0.0588923	0.265118	0.16726	0.110867	0.0624893	0.0401161	0.0367858	0.0281175	0.0282945	0.0518734	0.109346
a24	0.0204211	0.0375536	0.0560625	0.214321	0.11555	0.0948863	0.0733838	0.06529	0.0546255	0.0476327	0.0386905	0.0639059	0.117677
a41	0.0173151	0.031472	0.0408094	0.124073	0.0915254	0.0883563	0.0809719	0.0867269	0.0719464	0.0645291	0.0536007	0.0892134	0.159461
a66	0.00755473	0.0158448	0.0258781	0.100027	0.0980663	0.090819	0.0912603	0.0953048	0.0734841	0.0725281	0.0575559	0.100001	0.171676
a38	0.00783627	0.0124104	0.0164269	0.0751099	0.0764666	0.0727922	0.0805276	0.0818602	0.0655834	0.0816396	0.0754402	0.130365	0.223542
a90	0.0098309	0.0182473	0.0268204	0.125755	0.110191	0.0906708	0.0813564	0.06908	0.0568203	0.0609731	0.0559577	0.100356	0.193941
a9	0.0143417	0.0319097	0.0429726	0.168473	0.119668	0.0878879	0.064776	0.0565486	0.0451424	0.0433148	0.0429243	0.0890356	0.193006
a87	0.0101109	0.0216398	0.0346163	0.137124	0.0898228	0.0585235	0.0476933	0.0480825	0.04485	0.0527389	0.0573748	0.121495	0.275928
a23	0.00635934	0.0176247	0.0291519	0.124104	0.0808444	0.0256047	0.0159451	0.0158994	0.0195105	0.0336789	0.0625761	0.168804	0.399897
a57	0.00713328	0.0178732	0.0274121	0.0917266	0.0725111	0.0308705	0.0193784	0.0197933	0.0293487	0.0519611	0.0986162	0.190738	0.342638
a30	0.00880126	0.017121	0.0220611	0.0833384	0.0706012	0.0422313	0.0331414	0.0319104	0.0441308	0.0725929	0.119875	0.185183	0.269012
a70	0.00830312	0.0141889	0.0183664	0.0608907	0.0592236	0.040294	0.0353856	0.038001	0.0440328	0.0808857	0.12938	0.193153	0.277895
a83	0.0120449	0.0157793	0.0240537	0.0900059	0.0750291	0.0557102	0.0401986	0.0436549	0.0589265	0.074495	0.100802	0.170761	0.238539
a9	0.0101293	0.0207232	0.0317672	0.119682	0.0576392	0.029678	0.0239339	0.0329962	0.0400914	0.0603513	0.0826432	0.184494	0.305871
a57	0.0044866	0.0105005	0.0130521	0.0546532	0.0301288	0.017491	0.0193495	0.0308739	0.0346745	0.0658637	0.0941419	0.23024	0.394545
a99	0.00705988	0.016712	0.0181092	0.054542	0.0256685	0.0121963	0.0117869	0.0187938	0.0243292	0.0490225	0.0873173	0.233396	0.441067
a87	0.00774333	0.0185078	0.0213171	0.0641408	0.0331275	0.0150013	0.0131836	0.0194419	0.0250538	0.0495406	0.0884369	0.224152	0.420353
</S>	0.0288313	0.0522906	0.0589191	0.171748	0.0910649	0.0408562	0.0229997	0.0204097	0.0280635	0.0403054	0.0683997	0.137808	0.238303
