 	les	gens	ne	savent	pas	qui	élire	comme	chef	du	village	</S>
a10	0.194578	0.123672	0.124534	0.120974	0.108382	0.0924435	0.0652209	0.052385	0.0405657	0.0276356	0.0243403	0.0252692
a82	0.122468	0.0984967	0.0871257	0.100791	0.0452125	0.0509374	0.0433487	0.0511888	0.0651604	0.0740234	0.107225	0.154022
a27	0.228908	0.15491	0.120161	0.0846063	0.0373961	0.0274341	0.0263467	0.0331932	0.0468302	0.0532437	0.0716838	0.115287
a26	0.281586	0.15189	0.0984046	0.0556097	0.0323533	0.026703	0.0280815	0.0438129	0.0623557	0.0611613	0.0690074	0.0890351
a83	0.263708	0.143168	0.0834038	0.0405155	0.0266416	0.0244142	0.028652	0.0501054	0.0754131	0.0747049	0.0845496	0.104724
a98	0.178459	0.0959599	0.0620106	0.0304064	0.0304463	0.0300626	0.0280865	0.0452039	0.0692107	0.0848353	0.129823	0.215496
a85	0.347679	0.204494	0.121416	0.0392436	0.0344248	0.0215534	0.0201572	0.0255186	0.0302387	0.0338675	0.047928	0.0734802
a5	0.428849	0.242644	0.139512	0.0489213	0.03286	0.0175963	0.0145302	0.0132682	0.0125931	0.012375	0.0153027	0.0215487
a66	0.405925	0.239325	0.161238	0.0551811	0.0409283	0.0206918	0.015294	0.0128309	0.0112755	0.00992783	0.0114311	0.0159512
a98	0.359272	0.222947	0.173609	0.0705254	0.0487362	0.0227228	0.0167084	0.017158	0.0158545	0.0138714	0.0161576	0.0224374
a85	0.206992	0.199138	0.213942	0.140076	0.0877037	0.0407608	0.0293691	0.0211828	0.0151535	0.0132762	0.0141539	0.0182513
a66	0.175523	0.181355	0.21368	0.141758	0.0904267	0.0526047	0.039888	0.0292104	0.0194705	0.0163596	0.0173544	0.0223707
a75	0.110191	0.132845	0.200268	0.177552	0.137219	0.0684487	0.043729	0.031932	0.0244414	0.0211615	0.023207	0.0290055
a85	0.0749911	0.102701	0.185981	0.17726	0.12886	0.0840376	0.0649684	0.0510384	0.0355015	0.0291073	0.029344	0.0362101
a66	0.0546773	0.0867884	0.175848	0.150032	0.102521	0.084659	0.0880563	0.0670907	0.0513095	0.046967	0.0435766	0.0484737
a75	0.041544	0.0587081	0.119988	0.169649	0.160619	0.112378	0.0853189	0.0631766	0.0461644	0.0382431	0.0440405	0.0601698
a5	0.0322529	0.0423449	0.0996562	0.152455	0.136243	0.114691	0.107275	0.0832322	0.0639025	0.0553397	0.0524091	0.060198
a94	0.0432754	0.0474067	0.0820254	0.148244	0.154964	0.131914	0.110968	0.0782488	0.0565041	0.0437843	0.0446632	0.0580018
a75	0.021568	0.0251103	0.0438472	0.0985624	0.137075	0.153786	0.128673	0.0948111	0.0723293	0.0573038	0.0670777	0.0998563
a85	0.0221122	0.0251769	0.0426198	0.0824008	0.116786	0.133393	0.125832	0.105062	0.0848652	0.0745735	0.0814758	0.105703
a37	0.0192309	0.0245762	0.0513459	0.0881562	0.117542	0.126873	0.149496	0.106465	0.0784501	0.071226	0.0762717	0.090367
a18	0.0149217	0.0163954	0.0240821	0.0446989	0.0743514	0.113354	0.123144	0.113432	0.0970735	0.0861115	0.111282	0.181154
a62	0.0164314	0.0151236	0.0195821	0.0436754	0.0757507	0.140266	0.122505	0.0961355	0.0816103	0.0815106	0.119819	0.187591
a31	0.0143287	0.0163368	0.0261752	0.0541115	0.0898185	0.137732	0.12979	0.109151	0.107106	0.0987191	0.0963912	0.12034
a21	0.011807	0.0140901	0.0228449	0.0449155	0.073754	0.114517	0.114371	0.0960943	0.0994895	0.114109	0.131849	0.162159
a62	0.0130477	0.0162354	0.024943	0.0431083	0.0699582	0.106294	0.115508	0.0961345	0.0929856	0.116969	0.140317	0.1645
a75	0.00347328	0.00436974	0.00801049	0.0176011	0.0310435	0.0673145	0.0750599	0.0646988	0.0752115	0.122058	0.21259	0.31857
a92	0.00471323	0.00712288	0.0138357	0.0228124	0.0389327	0.0762854	0.100747	0.0910887	0.0912855	0.128987	0.182826	0.241364
a56	0.00577858	0.00879184	0.0177391	0.0259584	0.042362	0.0772555	0.0971023	0.0792197	0.0761148	0.117602	0.186684	0.265392
a13	0.00168994	0.00210985	0.00390432	0.0089382	0.0159634	0.0383537	0.0450358	0.0388815	0.0474235	0.103233	0.252239	0.442227
a9	0.00221352	0.00246246	0.00397451	0.00673219	0.00876429	0.0249847	0.0297758	0.0291903	0.0432634	0.10235	0.259305	0.486985
a53	0.0117354	0.00925927	0.0104068	0.0121895	0.0180367	0.0445811	0.0588788	0.0588679	0.0882851	0.136632	0.230048	0.32108
a93	0.000860049	0.000767071	0.00103115	0.0020155	0.0025997	0.00896512	0.0118375	0.0157411	0.0321105	0.10332	0.300638	0.520114
a70	0.000160763	0.000220622	0.000467683	0.0013692	0.00256134	0.00961188	0.0129969	0.0150164	0.0299783	0.0974856	0.279645	0.550486
a75	0.000390193	0.000511958	0.000958665	0.00229756	0.00320316	0.0118771	0.0137358	0.0178247	0.0366121	0.107714	0.286046	0.518828
a44	0.000233822	0.000397302	0.00103451	0.00220182	0.00331508	0.0109621	0.0138636	0.0150725	0.0272036	0.0849697	0.259502	0.581244
a82	0.000242399	0.000330168	0.000710262	0.0015945	0.0025443	0.0104897	0.0131658	0.0170592	0.0344577	0.101246	0.283788	0.534372
