 	le	mois	prochain	j'	irai	à	brazaville	</S>
a66	0.388551	0.19053	0.0831616	0.0906148	0.0871292	0.0795593	0.0463024	0.0341512
a87	0.340898	0.235559	0.0904006	0.0915455	0.116929	0.0682547	0.0332684	0.0231441
a23	0.577919	0.302358	0.0381335	0.0203947	0.0204597	0.0156029	0.0126233	0.0125093
a10	0.449283	0.312365	0.0852361	0.042816	0.0314056	0.0190543	0.0267609	0.0330791
a62	0.367347	0.222459	0.0954286	0.0671957	0.0710208	0.0537405	0.0606319	0.0621771
a12	0.429911	0.218728	0.115986	0.100961	0.0685403	0.0307968	0.0209408	0.0141355
a96	0.336248	0.238406	0.154118	0.133927	0.0828312	0.0299572	0.0154436	0.0090694
a61	0.206667	0.240017	0.217067	0.17741	0.103524	0.0287595	0.0153521	0.0112041
a21	0.151184	0.214835	0.203463	0.200703	0.139286	0.0431188	0.0262381	0.0211724
a6	0.175434	0.207689	0.176201	0.172205	0.133652	0.0634394	0.0427129	0.0286674
a37	0.0704078	0.113146	0.141074	0.185386	0.163573	0.155157	0.107117	0.0641406
a5	0.0904754	0.127982	0.151134	0.227109	0.176675	0.090774	0.0648247	0.0710252
a61	0.105518	0.152069	0.150928	0.204814	0.153602	0.101085	0.0669643	0.0650197
a18	0.0840222	0.110082	0.0935023	0.145363	0.153166	0.174804	0.130303	0.108758
a75	0.0465055	0.0424243	0.048213	0.0731346	0.0940388	0.195178	0.261019	0.239487
a37	0.0164603	0.0249478	0.032878	0.0590201	0.0737936	0.165853	0.278357	0.34869
a70	0.0280475	0.034313	0.044815	0.0663093	0.0756403	0.188992	0.270718	0.291165
a61	0.0158891	0.0125886	0.0161845	0.0237615	0.0330853	0.126654	0.356026	0.415811
a12	0.00664345	0.00629962	0.00770507	0.0131115	0.0233633	0.111484	0.380887	0.450506
a96	0.00314329	0.00277897	0.0033591	0.00617821	0.0132087	0.0776034	0.349146	0.544582
a18	0.00185649	0.00180921	0.00237326	0.00445494	0.00997418	0.0630799	0.304934	0.611518
a25	0.00189076	0.000884415	0.00107622	0.00223647	0.00751793	0.0509681	0.223204	0.712222
a10	0.00631138	0.00262469	0.0034974	0.00593783	0.0131959	0.0499396	0.18595	0.732543
a87	0.108387	0.0589865	0.0480818	0.0453101	0.0458222	0.0847976	0.197333	0.411282
a23	0.277424	0.152166	0.070062	0.0512375	0.0392691	0.0589666	0.126932	0.223943
a87	0.220381	0.201331	0.093068	0.0532726	0.0348116	0.052524	0.10416	0.240451
</S>	0.0397215	0.0459556	0.0372398	0.0259304	0.0207421	0.0554328	0.178383	0.596595
