 	nous	avons	vu	un	singe	vert	qui	traversait	la	route	</S>
a66	0.102448	0.0656598	0.0533514	0.0706932	0.0833858	0.140008	0.287125	0.15133	0.027819	0.0106802	0.00749925
a87	0.276606	0.17383	0.122729	0.0850592	0.0475541	0.0486674	0.0886838	0.110164	0.0270176	0.011259	0.00843066
a23	0.298355	0.221792	0.134734	0.0712255	0.0491282	0.0505557	0.0898594	0.0558633	0.011258	0.00763436	0.00959502
a99	0.378637	0.240383	0.105988	0.0505682	0.0478166	0.0543792	0.0608112	0.0306047	0.00757822	0.00864985	0.0145839
a9	0.392048	0.213928	0.0894467	0.0483138	0.045036	0.0412751	0.0610402	0.0468259	0.0149481	0.0184742	0.0286641
a24	0.309003	0.135523	0.0850282	0.0715357	0.0571375	0.0439928	0.0755949	0.106665	0.0470517	0.0327297	0.0357391
a12	0.201478	0.124687	0.104117	0.0946214	0.0727334	0.0465449	0.059796	0.0911424	0.081138	0.0659634	0.0577791
a18	0.11773	0.127628	0.135149	0.130166	0.108215	0.0639144	0.0507836	0.0680091	0.069665	0.0656108	0.0631288
a21	0.0819901	0.104078	0.101337	0.114943	0.119918	0.075157	0.0570517	0.0788368	0.076267	0.0846453	0.105776
a47	0.0644419	0.0940241	0.108922	0.127279	0.143517	0.112448	0.0885329	0.104101	0.0525306	0.0428881	0.0613157
a88	0.0388576	0.0598142	0.0621249	0.108026	0.162771	0.143153	0.103272	0.102749	0.0597323	0.0685035	0.0909968
a62	0.0281482	0.0382504	0.0387327	0.0880606	0.148499	0.146766	0.116157	0.114684	0.0831052	0.0836839	0.113912
a88	0.0213938	0.0297433	0.0310807	0.0743961	0.139659	0.1504	0.122771	0.145926	0.0982818	0.0843117	0.102036
a61	0.0175673	0.0211172	0.0212139	0.0551163	0.113635	0.151279	0.133911	0.159615	0.123752	0.0979123	0.104881
a62	0.0122424	0.014103	0.0143607	0.0424739	0.0978343	0.146002	0.136048	0.198809	0.125365	0.106353	0.106408
a75	0.00968462	0.011457	0.0115829	0.031069	0.0734668	0.117916	0.114301	0.200198	0.153223	0.146232	0.130868
a6	0.014257	0.0139913	0.014839	0.0378405	0.0662728	0.106006	0.109144	0.145612	0.136291	0.160608	0.195138
a36	0.0111261	0.0123904	0.0126152	0.0322443	0.0592614	0.095318	0.0976854	0.122841	0.119118	0.196965	0.240436
a27	0.013356	0.0163273	0.0143518	0.031278	0.0574209	0.11	0.124278	0.171998	0.108944	0.154296	0.19775
a11	0.017787	0.023104	0.0242453	0.0398397	0.054186	0.111121	0.134536	0.175647	0.102467	0.143807	0.17326
a47	0.00847615	0.00941333	0.00937415	0.0158756	0.0245366	0.0662033	0.094976	0.189319	0.14866	0.186002	0.247163
a62	0.00499559	0.00577349	0.00544319	0.0116808	0.0212898	0.0364126	0.0401664	0.0690293	0.125409	0.288924	0.390876
a75	0.00280548	0.00302268	0.00299364	0.00788069	0.0139631	0.0223247	0.0238283	0.0420246	0.133991	0.323626	0.42354
a6	0.00105065	0.000893534	0.00082635	0.00188303	0.00359281	0.00462131	0.00432309	0.00844149	0.0637848	0.339152	0.571431
a47	0.000663903	0.000661519	0.000648093	0.00148273	0.00280434	0.00394187	0.00386631	0.00630708	0.0448462	0.314439	0.620339
a7	0.000766268	0.000707381	0.000650775	0.0013571	0.00233571	0.00385444	0.00419832	0.00715864	0.0490995	0.268503	0.661369
a4	0.000557439	0.000448079	0.000397709	0.000721579	0.00108017	0.00200779	0.00241721	0.00561128	0.0500859	0.27521	0.661463
a57	0.000786597	0.00067909	0.000576228	0.00101689	0.00138005	0.00181523	0.00163448	0.00469241	0.0580443	0.296595	0.63278
a9	0.0219525	0.0150533	0.0125399	0.0150403	0.0143668	0.0149604	0.016143	0.0348503	0.0896712	0.264812	0.50061
a82	0.0649692	0.0361479	0.02995	0.0300336	0.0255162	0.0297569	0.0421187	0.085135	0.0927415	0.209488	0.354143
a87	0.141995	0.0801578	0.0575691	0.0447094	0.0328745	0.0459543	0.0866149	0.127141	0.0803566	0.11609	0.186538
a23	0.141656	0.10657	0.0765299	0.0567055	0.0434429	0.0598919	0.104559	0.139911	0.0845776	0.0860928	0.100063
a87	0.065052	0.0519098	0.0488969	0.0333277	0.016444	0.0214266	0.0417676	0.0946171	0.146405	0.20307	0.277083
a23	0.024057	0.0189743	0.0167411	0.0127837	0.008632	0.0133824	0.0213223	0.0389989	0.0948238	0.237053	0.513231
a87	0.0559248	0.0492168	0.0442648	0.0330177	0.0205372	0.0325962	0.0525866	0.0799313	0.0996651	0.181489	0.35077
</S>	0.0192454	0.0175075	0.0183668	0.0155206	0.0111743	0.0187376	0.0257711	0.0424426	0.0982166	0.234196	0.498822
