 	il	mérite	d'	être	battu	</S>
a23	0.556332	0.212069	0.0732619	0.0527781	0.0483069	0.057252
a79	0.54684	0.164213	0.0912748	0.0656708	0.0564019	0.0755997
a15	0.333663	0.14397	0.0918676	0.0849679	0.130445	0.215087
a98	0.417866	0.246662	0.104839	0.068612	0.0779219	0.0840987
a47	0.244872	0.279509	0.158589	0.111605	0.102863	0.102562
a73	0.163575	0.205895	0.17011	0.130481	0.140396	0.189542
a2	0.204197	0.227948	0.1783	0.123905	0.117981	0.14767
a53	0.118721	0.133146	0.157773	0.150346	0.188282	0.251732
a90	0.0961668	0.130698	0.132053	0.134705	0.187251	0.319126
a15	0.081182	0.108892	0.161992	0.188152	0.213504	0.246279
a98	0.0500471	0.068469	0.151904	0.222406	0.25013	0.257043
a92	0.034405	0.0430766	0.115124	0.19486	0.281134	0.331401
a44	0.0274971	0.0363411	0.0971734	0.169502	0.289981	0.379505
a93	0.0366908	0.0561392	0.116374	0.170761	0.261175	0.35886
a13	0.0138166	0.0216403	0.0700053	0.12897	0.260807	0.504761
a53	0.0121528	0.0170888	0.0502921	0.101995	0.240811	0.577661
a20	0.0126676	0.0174605	0.0568445	0.113373	0.263168	0.536487
a7	0.00832567	0.0112797	0.0406667	0.0965457	0.281527	0.561656
a2	0.00402195	0.00603464	0.018815	0.0499963	0.201969	0.719163
a57	0.0670311	0.0514504	0.0789206	0.12783	0.231458	0.44331
a87	0.19934	0.155288	0.134513	0.149695	0.168304	0.19286
a23	0.173005	0.137203	0.120257	0.127463	0.183331	0.25874
a87	0.041957	0.07711	0.120593	0.148135	0.260161	0.352043
</S>	0.0317789	0.0410326	0.0703371	0.11306	0.27397	0.469822
