 	leur	père	a	porté	un	cache-sexe	</S>
a66	0.301393	0.326826	0.159679	0.116118	0.0591388	0.0232255	0.0136195
a87	0.270568	0.22738	0.189997	0.13565	0.0926043	0.051637	0.032163
a23	0.392016	0.293859	0.150473	0.0853764	0.0322955	0.0208115	0.0251686
a75	0.300584	0.20466	0.143591	0.116034	0.0980555	0.084295	0.0527818
a47	0.265027	0.284621	0.195493	0.121103	0.0605426	0.0417748	0.0314381
a36	0.131792	0.2285	0.256549	0.223383	0.10422	0.0318485	0.0237069
a47	0.100418	0.167702	0.237276	0.257795	0.18229	0.0384566	0.0160623
a37	0.111291	0.184805	0.303667	0.263516	0.110514	0.0184356	0.00777133
a61	0.188746	0.243856	0.288414	0.196547	0.0573265	0.0143192	0.0107915
a21	0.199316	0.248126	0.248943	0.202266	0.0661903	0.0202635	0.014896
a85	0.155254	0.169286	0.155792	0.190041	0.142286	0.102931	0.0844093
a5	0.0510006	0.0541848	0.0713794	0.120333	0.173038	0.227605	0.302458
a37	0.0368596	0.0377939	0.0519006	0.0983805	0.177565	0.257648	0.339853
a98	0.0101578	0.00900528	0.0128354	0.0315263	0.124796	0.337958	0.473721
a85	0.001079	0.000989337	0.00296932	0.0172567	0.123731	0.368766	0.485209
a37	0.000397769	0.00035881	0.00140873	0.0110223	0.0876559	0.330454	0.568703
a36	0.000284745	0.000230157	0.000651465	0.00297089	0.0273865	0.253552	0.714924
a2	0.00061131	0.000602717	0.00102781	0.00225556	0.0128776	0.169324	0.813301
a30	0.00824113	0.00593718	0.00659417	0.00964343	0.0359151	0.202294	0.731375
a10	0.173146	0.129653	0.0913751	0.0621905	0.0737657	0.171179	0.298691
a87	0.0987447	0.0788784	0.0668772	0.0565251	0.0661566	0.216357	0.416461
a23	0.0698791	0.0626976	0.0510351	0.0470321	0.0556826	0.217012	0.496661
a87	0.0239856	0.0188625	0.0135152	0.0133259	0.0328737	0.199099	0.698338
</S>	0.0165108	0.0143649	0.0127196	0.0153206	0.0430528	0.225008	0.673023
