 	il	y	a	des	grondements	de	tonnerre	qui	accompagnent	la	pluie	</S>
a87	0.202826	0.109347	0.0926433	0.0763388	0.0938838	0.0845118	0.0937522	0.0969636	0.0642254	0.0376887	0.0259046	0.021915
a23	0.100288	0.0719052	0.054283	0.0393976	0.056882	0.0878988	0.108264	0.116123	0.0677536	0.0788594	0.0915603	0.126785
a70	0.101326	0.0894971	0.0874755	0.0580394	0.108456	0.125073	0.125428	0.0797659	0.0485356	0.0416513	0.0548307	0.0799225
a90	0.264374	0.161904	0.119136	0.10505	0.103792	0.07311	0.0517296	0.0366595	0.0298127	0.0242156	0.0168166	0.0133992
a25	0.247936	0.160572	0.126925	0.0862371	0.0854118	0.0638464	0.0652113	0.0600175	0.0492386	0.0238244	0.0156855	0.015094
a44	0.211413	0.125079	0.120361	0.099939	0.115604	0.0846665	0.0750843	0.0642372	0.045314	0.0232873	0.0171943	0.0178197
a75	0.20061	0.128372	0.124408	0.108316	0.104019	0.0813504	0.0777807	0.0569222	0.0451242	0.028188	0.0228871	0.0220221
a85	0.166545	0.116512	0.117042	0.107401	0.0959475	0.0726134	0.0780793	0.0688866	0.0594035	0.0460937	0.0376529	0.0338238
a37	0.0796999	0.071105	0.0861812	0.0951465	0.09181	0.0881103	0.110481	0.107221	0.097281	0.0719836	0.0536941	0.0472866
a93	0.0528244	0.0384625	0.0433129	0.0724812	0.112881	0.152787	0.156316	0.112853	0.101034	0.063875	0.050575	0.0425967
a96	0.0460854	0.0322437	0.0324061	0.0585808	0.106324	0.145538	0.154236	0.111057	0.103028	0.0818336	0.0691279	0.0595391
a94	0.0243584	0.0178866	0.0180811	0.0329179	0.0699694	0.118821	0.133649	0.125686	0.153583	0.121218	0.098677	0.0851523
a90	0.0189653	0.0109654	0.00978282	0.0182981	0.0373312	0.0711782	0.0805557	0.101424	0.190545	0.173043	0.150378	0.137534
a34	0.00780111	0.00431439	0.0037822	0.00951129	0.0277024	0.04384	0.0518286	0.0746001	0.16643	0.200277	0.212415	0.197497
a98	0.0057077	0.00313606	0.00267223	0.0063321	0.0135777	0.0215775	0.024563	0.0440617	0.12703	0.191294	0.262431	0.297617
a47	0.00263265	0.0017711	0.00163326	0.00428009	0.0108947	0.0154272	0.0178467	0.0334416	0.113814	0.178167	0.298234	0.321857
a2	0.00330062	0.0022416	0.0020911	0.00562131	0.0107437	0.0130949	0.0141985	0.0299617	0.116199	0.19552	0.300994	0.306034
a57	0.00206756	0.00148707	0.00169895	0.00408769	0.00784399	0.00853778	0.00997353	0.0199356	0.0396957	0.104941	0.286915	0.512816
a87	0.0188549	0.00941164	0.00784943	0.0134291	0.0251852	0.0286735	0.0276235	0.0425419	0.0528988	0.115652	0.224919	0.432961
a23	0.10815	0.0621781	0.0567359	0.0792246	0.0982798	0.0803853	0.0426969	0.0586232	0.0681728	0.0899515	0.112468	0.143135
a87	0.073672	0.04077	0.0331781	0.0349386	0.0480891	0.0604847	0.0421201	0.0745479	0.124297	0.130561	0.153568	0.183774
a97	0.0348394	0.024708	0.0238764	0.0253787	0.0292163	0.0367282	0.0306698	0.0757827	0.149084	0.158283	0.192322	0.219112
a87	0.0501774	0.0458819	0.0447838	0.0441023	0.076928	0.108936	0.0966985	0.133941	0.100882	0.0824285	0.095245	0.119994
a23	0.0924852	0.0761009	0.0694835	0.0595413	0.0880759	0.103512	0.0772755	0.104771	0.0815671	0.0681349	0.0796929	0.0993595
a9	0.035605	0.0332409	0.0327442	0.0368536	0.0487118	0.0630859	0.0568708	0.102234	0.105981	0.110242	0.161275	0.213155
a87	0.0393453	0.0321506	0.0280023	0.0289163	0.0363644	0.0533842	0.0518221	0.0855933	0.134945	0.132767	0.176353	0.200357
</S>	0.0594534	0.044725	0.0371938	0.0307453	0.0434695	0.0672506	0.0606555	0.0857439	0.11246	0.114308	0.15092	0.193075
