 	ces	femmes	se	sont	disputées	au	sujet	d'	un	mari	</S>
a15	0.205566	0.128	0.118767	0.139291	0.132318	0.0780234	0.049054	0.0388214	0.0346821	0.0382719	0.0372058
a57	0.149619	0.0790053	0.0837143	0.117645	0.103914	0.0945614	0.0840589	0.0765176	0.0671059	0.0719673	0.0718916
a10	0.199218	0.0853716	0.064072	0.0577927	0.0483121	0.0528717	0.0690595	0.0803123	0.0889356	0.118645	0.13541
a40	0.316584	0.103585	0.0721127	0.0575875	0.0517653	0.0454439	0.0531479	0.0603683	0.0655232	0.0839523	0.0899305
a47	0.319395	0.101778	0.0793669	0.084848	0.080411	0.0675047	0.0488526	0.0438077	0.0488113	0.0602592	0.0649658
a85	0.30912	0.172532	0.103117	0.0783165	0.058304	0.0446047	0.0289896	0.0290162	0.0433193	0.0565289	0.0761524
a92	0.281404	0.21412	0.132327	0.0974304	0.081367	0.0465331	0.0252268	0.0212824	0.0246462	0.0310855	0.0445774
a61	0.225991	0.166933	0.133838	0.114177	0.114291	0.0713511	0.0397551	0.0294769	0.0282417	0.0334489	0.0424967
a75	0.313273	0.213944	0.141822	0.0943976	0.0866988	0.0478249	0.0255687	0.0185838	0.0166962	0.0187554	0.0224349
a56	0.113515	0.108136	0.122572	0.12122	0.127921	0.10856	0.0791924	0.0574147	0.0482383	0.0502119	0.063019
a44	0.140471	0.165452	0.180536	0.16996	0.131352	0.0691181	0.0359436	0.025933	0.0231642	0.0253463	0.0327239
a98	0.127202	0.153168	0.17463	0.170208	0.140848	0.0793439	0.0413663	0.0283227	0.0239491	0.0278006	0.0331621
a85	0.0918778	0.094793	0.0933784	0.100669	0.101844	0.10255	0.0946812	0.0816118	0.0728968	0.073912	0.0917858
a66	0.0728329	0.0757207	0.0780099	0.0951602	0.106047	0.100446	0.103497	0.0973732	0.0908852	0.0826987	0.0973291
a70	0.077313	0.083816	0.0973812	0.101551	0.115105	0.121091	0.101653	0.071244	0.0578022	0.078796	0.0942481
a96	0.0419229	0.0521518	0.0646926	0.0809138	0.090302	0.135033	0.13816	0.108577	0.081702	0.0909778	0.115568
a56	0.0322769	0.0392708	0.0487091	0.0596072	0.0619682	0.115489	0.157725	0.131305	0.0957708	0.113465	0.144412
a96	0.0295377	0.0395551	0.0492932	0.0628003	0.0691092	0.110123	0.156935	0.145393	0.105558	0.103451	0.128244
a56	0.0139745	0.0173137	0.024736	0.0385577	0.0451035	0.0891973	0.156121	0.17056	0.134323	0.138675	0.171438
a96	0.0137891	0.0173724	0.0237874	0.0346881	0.0411571	0.0766958	0.143027	0.170838	0.153558	0.155021	0.170065
a90	0.00692647	0.00840505	0.0115792	0.0180317	0.0228936	0.0546552	0.121078	0.161423	0.171418	0.197122	0.226467
a56	0.00409644	0.00522969	0.00720792	0.0118245	0.0181144	0.0399448	0.100222	0.144415	0.177443	0.241718	0.249783
a34	0.00424985	0.00472297	0.00703385	0.0117968	0.0168268	0.0388411	0.0951476	0.141553	0.182001	0.242457	0.25537
a75	0.00276806	0.00271365	0.00371294	0.00587381	0.00872362	0.0237592	0.0629794	0.101874	0.155458	0.282997	0.349141
a70	0.00383366	0.00356174	0.00510002	0.00900096	0.0152643	0.0314571	0.0651381	0.101105	0.157084	0.274524	0.333931
a83	0.000507664	0.000618385	0.000841395	0.00154533	0.00223088	0.00762489	0.0286515	0.0627065	0.133907	0.31362	0.447746
a9	0.000891922	0.000924711	0.00128647	0.00262978	0.00498989	0.0138429	0.0462413	0.0943682	0.164533	0.286061	0.384231
a87	0.0103333	0.00812322	0.00908045	0.0128298	0.0155409	0.0281332	0.0805906	0.127464	0.172509	0.257388	0.278007
a23	0.0777719	0.0487187	0.039897	0.0419091	0.0356246	0.0554303	0.12582	0.147468	0.139186	0.148159	0.140015
a99	0.0446732	0.030452	0.0220416	0.0247821	0.0196499	0.0405241	0.0955003	0.133749	0.167825	0.204732	0.216071
a87	0.0167613	0.0150253	0.0189995	0.0299751	0.0267471	0.0427064	0.0865238	0.12003	0.159176	0.226479	0.257577
</S>	0.00765763	0.00580827	0.00663702	0.0105738	0.0106221	0.0216073	0.0578636	0.0905061	0.151248	0.280988	0.356488
