 	le	féticheur	a	besoin	d'	un	poil	d'	éléphant	</S>
a85	0.351141	0.192012	0.117288	0.103867	0.0851769	0.058793	0.0429333	0.0230649	0.014294	0.0114303
a66	0.301934	0.161258	0.0885355	0.0738874	0.0703039	0.0644585	0.0912958	0.0665748	0.0476262	0.0341259
a87	0.249433	0.15217	0.0878661	0.0705601	0.0548446	0.0446095	0.0543267	0.0561584	0.0905476	0.139484
a97	0.287307	0.17807	0.100511	0.0714321	0.0588652	0.0494743	0.0668676	0.0594574	0.0618932	0.0661219
a87	0.279536	0.19144	0.0980401	0.0660881	0.0535748	0.0436281	0.0639634	0.0659177	0.0696945	0.0681174
a23	0.239933	0.160457	0.0913874	0.0668709	0.059195	0.0498484	0.0765619	0.079217	0.0875114	0.0890174
a83	0.24521	0.153098	0.0927164	0.0628943	0.051072	0.0425682	0.0603825	0.0846683	0.0945066	0.112884
a54	0.228415	0.175317	0.113429	0.0684656	0.0522646	0.0426767	0.0569651	0.0859956	0.0908346	0.0856369
a6	0.229464	0.20728	0.168379	0.1018	0.0610443	0.0413406	0.0415663	0.0527743	0.0538836	0.0424682
a92	0.144777	0.166743	0.178325	0.135433	0.0876551	0.0617957	0.0557135	0.0616909	0.0593608	0.048506
a85	0.15467	0.182433	0.190549	0.145557	0.0885299	0.0581688	0.0458658	0.0427341	0.0449053	0.0465872
a6	0.135445	0.152116	0.158141	0.143678	0.10401	0.0814998	0.0593599	0.0432518	0.0503716	0.0721262
a37	0.12077	0.135035	0.160795	0.171712	0.132025	0.0889598	0.06007	0.0397251	0.0403836	0.0505244
a61	0.13642	0.157108	0.1728	0.166382	0.119996	0.0794704	0.0523953	0.035037	0.0337488	0.0466425
a37	0.0588989	0.0850987	0.121132	0.156161	0.150864	0.124233	0.0897203	0.064355	0.0615584	0.0879776
a75	0.0353488	0.0510379	0.0830731	0.136579	0.154341	0.141295	0.111129	0.0846249	0.0848754	0.117696
a79	0.0108759	0.01715	0.0357621	0.0903243	0.154973	0.175911	0.156929	0.113054	0.104543	0.140478
a98	0.00788584	0.0118492	0.0262576	0.0734887	0.14703	0.194028	0.173646	0.120336	0.101513	0.143966
a79	0.0082008	0.0117848	0.0239805	0.0602951	0.119304	0.168637	0.161051	0.133296	0.120227	0.193225
a92	0.00746681	0.0108121	0.0202078	0.0512956	0.106997	0.163176	0.165432	0.160618	0.134092	0.179903
a61	0.00519203	0.00764929	0.0133666	0.0359101	0.0809297	0.128785	0.144809	0.16959	0.183267	0.230502
a43	0.0036586	0.00466213	0.00774101	0.0185105	0.0442683	0.0859883	0.110434	0.159802	0.214152	0.350783
a31	0.00198217	0.00205596	0.00298506	0.00574914	0.0132315	0.029115	0.0546815	0.109169	0.249134	0.531897
a88	0.00179302	0.00224284	0.00345965	0.00635562	0.0133913	0.0283165	0.0557404	0.117375	0.275603	0.495723
a9	0.000916543	0.00109868	0.00176824	0.00337092	0.00736026	0.0163581	0.0380214	0.0945191	0.297392	0.539194
a10	0.0243026	0.017805	0.0211736	0.027141	0.0378234	0.056419	0.0649524	0.11883	0.207953	0.4236
a87	0.105743	0.0652252	0.056819	0.0606987	0.0675787	0.0783581	0.0859465	0.118993	0.155334	0.205304
a23	0.146288	0.0759784	0.0571223	0.0565669	0.0613877	0.0758508	0.102001	0.140004	0.152499	0.132302
a97	0.0276145	0.0152528	0.0128888	0.0185979	0.0301451	0.052022	0.09741	0.163415	0.266597	0.316057
</S>	0.0176204	0.01485	0.0174935	0.0276361	0.0356797	0.0489689	0.0721523	0.124171	0.237994	0.403434
