 	un	poulet	charnu	est	mangé	à	la	sauvette	pourquoi	pas	aussi	une	alouette	</S>
a66	0.255591	0.235113	0.151027	0.0623922	0.0336926	0.0280781	0.0386404	0.040433	0.0462097	0.0367047	0.0260639	0.019286	0.0144859	0.0122827
a87	0.428651	0.309453	0.102719	0.0473992	0.0267455	0.0148785	0.0114244	0.00995042	0.00617866	0.00477168	0.00555682	0.00913302	0.0105978	0.0125406
a23	0.37402	0.26318	0.12069	0.076817	0.0382321	0.028984	0.0237531	0.0143319	0.00890929	0.00642912	0.00760541	0.0106578	0.0114422	0.0149468
a87	0.30188	0.195403	0.191604	0.103308	0.0390747	0.0317454	0.0239134	0.0161515	0.0127186	0.0116	0.0144526	0.0170169	0.0185697	0.0225624
a23	0.299026	0.213934	0.166757	0.0879456	0.0407429	0.0350132	0.030867	0.0231428	0.0160494	0.0137232	0.0161534	0.0180472	0.0185206	0.0200784
a11	0.228776	0.149999	0.137096	0.0625327	0.0407428	0.0419453	0.0435562	0.03692	0.0323254	0.0288189	0.0342999	0.0477703	0.056445	0.0587736
a56	0.212071	0.147788	0.170025	0.0740869	0.0527468	0.0550537	0.0424511	0.0318343	0.0244395	0.0193737	0.0240954	0.0462725	0.0471183	0.0526439
a43	0.151091	0.139193	0.234988	0.175096	0.119703	0.0791769	0.0347662	0.0192048	0.0091766	0.00536496	0.00548578	0.0101321	0.00871416	0.0079074
a47	0.0579501	0.0725494	0.153212	0.190332	0.174091	0.15537	0.0773115	0.0454354	0.0191298	0.0107887	0.00963807	0.0134183	0.0112867	0.00948727
a62	0.0317966	0.0373073	0.106724	0.19782	0.218933	0.171412	0.0877369	0.0575813	0.0272337	0.0148725	0.0118858	0.0131238	0.013452	0.0101211
a31	0.0235108	0.0330665	0.0742339	0.174491	0.241676	0.196687	0.111361	0.0692923	0.0275996	0.0124139	0.00883617	0.00899039	0.00965965	0.00818159
a62	0.0151774	0.0251936	0.0448506	0.146775	0.247618	0.191919	0.126037	0.0945679	0.0460928	0.0210797	0.0116863	0.00984211	0.0101581	0.00900179
a24	0.0100243	0.020322	0.0318759	0.108202	0.201172	0.193763	0.150337	0.120734	0.0699854	0.0365575	0.018723	0.0132227	0.0131263	0.0119548
a62	0.00465914	0.00920248	0.0141138	0.046237	0.103467	0.163042	0.186353	0.174693	0.121416	0.0736414	0.0357392	0.022535	0.0229488	0.0219525
a75	0.00439145	0.00872459	0.0157256	0.0419274	0.0748545	0.112926	0.164069	0.170031	0.149227	0.107992	0.0560286	0.0329048	0.0304869	0.0307118
a92	0.00813418	0.0142957	0.017262	0.0462179	0.077105	0.0937521	0.147097	0.169115	0.144399	0.103924	0.0657509	0.0428725	0.0363172	0.0337571
a37	0.00867784	0.0131626	0.011671	0.0270076	0.0503715	0.0721268	0.129363	0.163676	0.159951	0.128622	0.0889107	0.0589013	0.0462514	0.0413077
a21	0.00530203	0.00930565	0.00906416	0.0187264	0.0329394	0.0539832	0.109446	0.151368	0.189099	0.170245	0.110933	0.0570295	0.0413587	0.0411993
a61	0.00750506	0.00948898	0.00799371	0.0130648	0.0194	0.0293349	0.0664867	0.112991	0.170879	0.191696	0.157258	0.101011	0.0627403	0.0501512
a75	0.00275923	0.00487239	0.00487901	0.00911106	0.0119989	0.0158101	0.0367817	0.0740422	0.15675	0.211392	0.194031	0.119485	0.082942	0.0751455
a96	0.0023159	0.00324669	0.00251806	0.00470606	0.00856601	0.0166503	0.0376424	0.0619399	0.146268	0.195505	0.166975	0.132816	0.114912	0.105938
a11	0.00146581	0.0024623	0.00237187	0.00533606	0.00911915	0.0121178	0.0227673	0.041455	0.110023	0.1834	0.198743	0.142293	0.123703	0.144742
a93	0.000908816	0.00146255	0.00169483	0.00345788	0.005424	0.00692045	0.0140033	0.0262395	0.0785021	0.146271	0.197405	0.172639	0.164569	0.180503
a70	0.00101489	0.00160576	0.00152797	0.00273496	0.00455773	0.00657105	0.0148696	0.0266095	0.0755208	0.145227	0.19979	0.191663	0.163117	0.165191
a13	0.00035549	0.000573903	0.00050072	0.00120273	0.00240673	0.00315729	0.00639333	0.0115438	0.0339734	0.0838747	0.156542	0.200739	0.245577	0.253159
a70	0.000585781	0.000585591	0.000422163	0.0008225	0.00196948	0.00252123	0.00526314	0.00786777	0.0234909	0.0556921	0.124008	0.145716	0.262926	0.368129
a0	0.000107524	0.000130669	0.000128076	0.000420374	0.00114757	0.00149437	0.00299905	0.00496663	0.0135136	0.0306543	0.0855984	0.150566	0.309437	0.398836
a75	0.00108312	0.000779465	0.000606467	0.00155259	0.00430677	0.00426602	0.00742328	0.00986452	0.0237423	0.0407303	0.0975351	0.138191	0.279406	0.390512
a6	5.45743e-05	6.98197e-05	6.77916e-05	0.000255386	0.000601681	0.000714786	0.00146437	0.0024502	0.00795045	0.0191971	0.0550814	0.158666	0.357837	0.39559
a36	2.61968e-05	3.50481e-05	4.18442e-05	0.000184498	0.000461103	0.000585641	0.00116539	0.00173416	0.00591803	0.0159585	0.0438357	0.117887	0.343672	0.468494
a75	0.000222361	0.000229759	0.000233647	0.000796555	0.00162482	0.00143237	0.00186658	0.00268771	0.00602442	0.0141773	0.0531997	0.119917	0.324933	0.472655
a5	7.19732e-05	8.22418e-05	8.65961e-05	0.000395635	0.000825943	0.000898719	0.00146506	0.00186785	0.00508242	0.0153222	0.0510506	0.129065	0.361949	0.431837
a61	8.05759e-05	8.43887e-05	8.63836e-05	0.000396815	0.000868293	0.000902929	0.00158337	0.00222921	0.00537039	0.0114355	0.0390275	0.11005	0.322234	0.50565
a18	6.97368e-05	6.75709e-05	5.86077e-05	0.000246076	0.00066649	0.000727195	0.00127581	0.00177366	0.00427043	0.00979643	0.0323371	0.0872884	0.310467	0.550956
