 	ma	femme	est	en	train	de	réchauffer	le	repas	</S>
a66	0.206343	0.152207	0.141575	0.146393	0.129747	0.122183	0.0552688	0.019202	0.0141254	0.0129557
a87	0.251039	0.150847	0.12221	0.117528	0.095551	0.0929008	0.0682527	0.036989	0.0316078	0.033075
a23	0.286567	0.174053	0.127268	0.111829	0.0964825	0.104912	0.0525179	0.0157547	0.0143116	0.0163034
a87	0.26802	0.157845	0.115219	0.10418	0.0988943	0.112425	0.0710014	0.0274537	0.0207475	0.0242149
a23	0.202823	0.137	0.112591	0.11582	0.124683	0.150005	0.0845664	0.0310685	0.0199014	0.0215405
a54	0.221174	0.133958	0.104058	0.105648	0.113527	0.123275	0.083291	0.0396353	0.0340511	0.041382
a36	0.358405	0.239401	0.111539	0.0705589	0.0528596	0.0437892	0.0301953	0.0275059	0.0323559	0.0333896
a0	0.213003	0.182926	0.109706	0.083628	0.0777258	0.0812138	0.0978698	0.0526771	0.0526415	0.0486092
a75	0.159253	0.147972	0.107315	0.0880168	0.0838474	0.0892642	0.10419	0.0741357	0.0705986	0.0754067
a37	0.10956	0.119448	0.103329	0.0898783	0.085564	0.0862015	0.094482	0.0867689	0.105021	0.119747
a92	0.0811488	0.0959515	0.0930156	0.0903843	0.100709	0.107964	0.109748	0.0940638	0.102779	0.124236
a79	0.0878706	0.106612	0.111276	0.107953	0.106101	0.102207	0.0816323	0.0765716	0.0968868	0.12289
a56	0.108968	0.121877	0.125814	0.119229	0.103616	0.100354	0.0699636	0.0660201	0.0795886	0.104569
a98	0.0832522	0.0903778	0.107023	0.11406	0.124977	0.130772	0.0873659	0.0769882	0.0804479	0.104736
a47	0.0604701	0.0706624	0.0918585	0.0980513	0.0959976	0.106085	0.0897511	0.100751	0.121717	0.164656
a15	0.0398378	0.0460576	0.0763126	0.0978993	0.111914	0.114127	0.0843597	0.0950883	0.130376	0.204028
a7	0.0227117	0.0262159	0.0503786	0.0771433	0.100043	0.112785	0.087492	0.110469	0.158194	0.254566
a2	0.012455	0.012446	0.0222953	0.0388669	0.0624068	0.0789747	0.0708961	0.13757	0.194172	0.369917
a44	0.0164608	0.0150852	0.0214405	0.0335095	0.0518358	0.0736016	0.0847851	0.154475	0.201344	0.347462
a34	0.00796745	0.00675535	0.0100774	0.0159801	0.026893	0.043305	0.0670353	0.16725	0.225715	0.429021
a75	0.00503741	0.00458823	0.00727968	0.0109535	0.0185913	0.0322134	0.0708607	0.197447	0.256925	0.396104
a47	0.00133958	0.00141272	0.00244236	0.00420592	0.00778392	0.0152225	0.0405412	0.173687	0.282956	0.470409
a36	0.00104653	0.0011496	0.00205355	0.00357343	0.00681219	0.0127251	0.0345903	0.185091	0.299274	0.453685
a2	0.00152917	0.00128525	0.00179214	0.00282524	0.00558773	0.0110246	0.0401143	0.176525	0.24519	0.514127
a26	0.0230254	0.0166468	0.0168428	0.0218946	0.0348644	0.0371244	0.0515812	0.125557	0.233448	0.439015
a70	0.0622855	0.0366079	0.0381816	0.0534981	0.084064	0.108023	0.102553	0.118694	0.159235	0.236859
a66	0.0178048	0.0116019	0.0131292	0.0179237	0.0286427	0.0413474	0.0673072	0.16481	0.24227	0.395164
a9	0.0246654	0.0170265	0.0179017	0.0224517	0.0329715	0.0414501	0.0593367	0.146781	0.23143	0.405986
a99	0.0701497	0.0386859	0.0374469	0.0462388	0.0588812	0.0652703	0.0668879	0.127696	0.188785	0.299958
a87	0.0696572	0.0391341	0.039548	0.0504285	0.0630166	0.0788895	0.0833894	0.13603	0.18767	0.252236
a23	0.0788407	0.046848	0.0492095	0.0630047	0.081238	0.10644	0.115314	0.145167	0.142073	0.171865
a87	0.0616613	0.0301166	0.0255692	0.0284591	0.0355728	0.0547114	0.0670411	0.161942	0.228573	0.306354
</S>	0.0212165	0.0151317	0.0183876	0.0269775	0.0385749	0.0655983	0.0768616	0.150049	0.237819	0.349383
