 	il	coupe	le	bout	du	bâton	</S>
a23	0.304547	0.175652	0.151539	0.126147	0.0922326	0.0746568	0.0752258
a87	0.46813	0.178166	0.122549	0.0871556	0.0525672	0.0413155	0.0501158
a23	0.286863	0.192133	0.125358	0.100116	0.0910398	0.0842824	0.120208
a57	0.346256	0.149493	0.0875074	0.0657787	0.0639261	0.109768	0.177271
a20	0.471589	0.150723	0.0941817	0.0710149	0.0539635	0.0715554	0.0869726
a30	0.491023	0.134543	0.101275	0.0943006	0.0733935	0.0542673	0.0511971
a2	0.390416	0.218687	0.16984	0.107773	0.0582359	0.0282231	0.026824
a38	0.248137	0.202036	0.181478	0.135091	0.0991597	0.0653177	0.0687812
a24	0.250847	0.205005	0.190739	0.127342	0.0950292	0.0670291	0.0640087
a41	0.192216	0.225006	0.239286	0.172749	0.093924	0.0404072	0.036412
a35	0.13551	0.212689	0.265578	0.192884	0.10357	0.0478345	0.0419343
a2	0.103381	0.192165	0.258721	0.206666	0.118714	0.0631189	0.0572349
a11	0.0804748	0.148053	0.2076	0.185448	0.161289	0.107255	0.10988
a75	0.109595	0.143172	0.18314	0.169166	0.15357	0.113491	0.127866
a30	0.0383347	0.0870174	0.161823	0.225694	0.233585	0.146843	0.106703
a14	0.0470883	0.10143	0.166603	0.222598	0.222856	0.136067	0.103358
a41	0.0289527	0.0664305	0.123537	0.189702	0.249153	0.192248	0.149977
a26	0.0232532	0.0497627	0.0938095	0.153901	0.238625	0.240665	0.199983
a66	0.0105877	0.016714	0.0299475	0.0536242	0.120404	0.2932	0.475523
a38	0.00593346	0.00555287	0.00854105	0.0153273	0.0497298	0.274915	0.640001
a94	0.00359198	0.00590459	0.0107149	0.0206571	0.0619486	0.27298	0.624203
a76	0.00302419	0.0062858	0.0101143	0.0185526	0.0511958	0.2465	0.664327
a73	0.00775342	0.0135114	0.0198122	0.0336495	0.0884178	0.293734	0.543121
a84	0.00269184	0.00438087	0.00724415	0.0163968	0.0504184	0.259487	0.659381
a57	0.00287716	0.00329293	0.00444528	0.00802969	0.0340154	0.235199	0.712141
a87	0.00771019	0.00976618	0.0116493	0.0182815	0.0518153	0.221947	0.678831
</S>	0.0111944	0.0183811	0.0230765	0.0301483	0.0737508	0.273139	0.57031
