 	cet	homme-là	conduit	la	piroque	</S>
a10	0.330911	0.161941	0.149993	0.117963	0.133525	0.105667
a83	0.156584	0.137621	0.198923	0.227178	0.185199	0.0944955
a56	0.149158	0.178178	0.266991	0.169739	0.134691	0.101243
a75	0.519339	0.157754	0.133968	0.07274	0.0621419	0.0540575
a56	0.48671	0.174065	0.140616	0.0789226	0.06679	0.0528957
a93	0.474896	0.191794	0.171977	0.0709882	0.0541048	0.0362409
a90	0.273418	0.217111	0.182413	0.112037	0.111622	0.103399
a75	0.238855	0.249635	0.198796	0.106683	0.0996727	0.106358
a85	0.156815	0.183732	0.215042	0.149883	0.146056	0.148472
a37	0.0763142	0.107	0.156577	0.169222	0.227972	0.262915
a90	0.0754011	0.0881049	0.124002	0.155031	0.238104	0.319357
a98	0.0302854	0.0692534	0.114399	0.189729	0.271924	0.32441
a44	0.0208102	0.0617106	0.0853724	0.141644	0.282193	0.408269
a98	0.0123936	0.0373079	0.0604452	0.138092	0.307194	0.444567
a85	0.00527077	0.0193721	0.0348036	0.0881189	0.301656	0.550778
a61	0.00583206	0.0157854	0.0302418	0.0927333	0.331722	0.523685
a88	0.00168775	0.00656806	0.0181021	0.0902795	0.293473	0.58989
a9	0.00135117	0.00469296	0.0178692	0.0962946	0.264809	0.614983
a87	0.0053169	0.0235914	0.072683	0.14454	0.267084	0.486784
a23	0.0509733	0.0712376	0.148534	0.211312	0.246999	0.270945
a99	0.0196805	0.0288715	0.0659543	0.19974	0.32892	0.356833
a97	0.00768323	0.0215973	0.0701394	0.205399	0.323189	0.371992
</S>	0.00551123	0.0172952	0.0538738	0.159512	0.330011	0.433797
