 	il	n'	arrivera	pas	là-bas	avant	la	pluie	</S>
a23	0.381441	0.235523	0.105378	0.0472677	0.0312529	0.0244133	0.033441	0.0480787	0.0932043
a85	0.39873	0.251912	0.088009	0.0449189	0.0302623	0.024569	0.0317515	0.0471112	0.0827366
a87	0.250991	0.195393	0.097647	0.0594217	0.0455623	0.0505327	0.0638959	0.0976278	0.138929
a23	0.291767	0.285889	0.172387	0.0833271	0.0382147	0.0247899	0.0252028	0.0338518	0.0445702
a20	0.203367	0.202249	0.142091	0.067035	0.0297961	0.0308138	0.0486266	0.0880199	0.188002
a73	0.304068	0.222823	0.222298	0.0888283	0.0450008	0.0401614	0.0245725	0.0220294	0.0302192
a26	0.278526	0.190876	0.218349	0.147874	0.0775341	0.0391614	0.0193997	0.0143377	0.0139415
a20	0.229526	0.194677	0.237271	0.168328	0.087555	0.0404593	0.0172549	0.0129587	0.0119706
a58	0.194325	0.192231	0.161264	0.138492	0.103264	0.0837898	0.0514968	0.0394666	0.0356705
a84	0.190767	0.176149	0.18913	0.175727	0.121395	0.0714766	0.035587	0.0225226	0.0172453
a20	0.116964	0.138381	0.147053	0.195706	0.172274	0.107426	0.0526508	0.0361745	0.0333714
a73	0.134983	0.144616	0.14048	0.159425	0.122533	0.102413	0.0746225	0.0635907	0.0573366
a20	0.124408	0.135965	0.132657	0.195154	0.154228	0.0990405	0.0662662	0.0504985	0.0417819
a76	0.102092	0.116433	0.112515	0.173038	0.145245	0.109142	0.0915587	0.0798313	0.0701445
a90	0.0755964	0.0782077	0.0843952	0.154823	0.170893	0.149866	0.112659	0.0910686	0.0824913
a58	0.0623526	0.0639802	0.0719053	0.13448	0.164268	0.169082	0.135994	0.105099	0.0928393
a53	0.0530385	0.0473027	0.0442134	0.0770925	0.114092	0.182161	0.179901	0.142151	0.160048
a90	0.0269566	0.0212434	0.021123	0.0445587	0.0853847	0.179977	0.206219	0.20204	0.212498
a32	0.0146372	0.0113934	0.0105958	0.0279584	0.0620395	0.162526	0.24411	0.239219	0.227521
a76	0.0127685	0.00986624	0.00886541	0.0228471	0.0497526	0.143965	0.235996	0.242861	0.273078
a44	0.0114496	0.00982144	0.00940803	0.0259942	0.0530301	0.13105	0.233155	0.257048	0.269044
a76	0.0106388	0.00827334	0.00648159	0.0164348	0.0317103	0.0888023	0.191068	0.288587	0.358004
a73	0.00912058	0.00782836	0.0085158	0.0252775	0.0494282	0.11577	0.209065	0.259166	0.315829
a94	0.00479991	0.00426948	0.00359114	0.00994754	0.020487	0.0602013	0.164758	0.290208	0.441738
a20	0.006192	0.00472945	0.00288922	0.00749782	0.0162821	0.0555353	0.157812	0.299558	0.449505
a73	0.00290447	0.00236587	0.00226468	0.00751102	0.0156697	0.0437384	0.130755	0.283434	0.511357
a2	0.00237283	0.00242858	0.0018382	0.00483401	0.0107223	0.0327003	0.107235	0.266621	0.571249
a40	0.000644749	0.000616765	0.000451931	0.00098752	0.00199146	0.0102978	0.063761	0.273688	0.647561
a75	0.00228727	0.00169631	0.00114952	0.00366943	0.00818044	0.0266872	0.0936601	0.237927	0.624743
a73	0.0022832	0.00182625	0.00130742	0.00394794	0.00786801	0.0238429	0.0853968	0.245058	0.62847
a2	0.00174012	0.00134464	0.000860669	0.00217545	0.00499553	0.0174602	0.0726223	0.229803	0.668998
a57	0.000956487	0.000675932	0.000441423	0.000611874	0.00105783	0.00655475	0.0549718	0.258189	0.676541
a87	0.00298495	0.00173637	0.00136916	0.00208945	0.00305973	0.011532	0.08502	0.282952	0.609257
</S>	0.00219326	0.00125973	0.00224811	0.00562981	0.00741642	0.0239212	0.118672	0.297021	0.541638
