 	l'	enfant	fait	un	effort	pour	faire	des	selles	</S>
a66	0.178803	0.17075	0.128344	0.197017	0.16211	0.0930726	0.0338143	0.0210647	0.00894241	0.00608332
a87	0.171449	0.112375	0.083848	0.116026	0.14512	0.142028	0.0869326	0.0624854	0.0407386	0.0389977
a23	0.127955	0.112895	0.111942	0.159929	0.255629	0.121712	0.0562623	0.0274741	0.0157514	0.0104507
a87	0.172917	0.140322	0.107783	0.138218	0.308601	0.0911833	0.0211562	0.0084639	0.00624796	0.005106
a79	0.181615	0.151102	0.102302	0.131672	0.283318	0.0980806	0.0245849	0.0108563	0.00854901	0.00791982
a98	0.263836	0.173744	0.134407	0.202909	0.14441	0.0452376	0.0142164	0.0101466	0.00670927	0.00438493
a85	0.239301	0.150696	0.176035	0.206912	0.0991715	0.047881	0.0278884	0.0235549	0.0177789	0.0107816
a5	0.201239	0.148693	0.197404	0.203651	0.0986707	0.0534392	0.0350465	0.0257493	0.0200683	0.016038
a21	0.128056	0.121292	0.167603	0.186996	0.178962	0.113419	0.0501772	0.0253085	0.0159346	0.0122522
a5	0.11005	0.0933316	0.134124	0.149243	0.196685	0.143351	0.0728437	0.0438786	0.0310699	0.0254232
a75	0.0727936	0.0654303	0.0985284	0.105911	0.196089	0.171465	0.102509	0.0687303	0.0571807	0.0613624
a85	0.0514239	0.0527596	0.0721364	0.0720863	0.155117	0.144599	0.118095	0.109988	0.105769	0.118025
a6	0.035289	0.0392661	0.0460411	0.0462358	0.105064	0.131776	0.122241	0.130731	0.144229	0.199127
a36	0.0211343	0.0264157	0.0332784	0.0351994	0.102144	0.169501	0.15142	0.146446	0.136254	0.178206
a12	0.0102608	0.0110909	0.0126327	0.0134825	0.0482358	0.126784	0.149458	0.171423	0.185009	0.271624
a75	0.0075376	0.0059218	0.00716021	0.00760907	0.0196212	0.0860156	0.158617	0.242944	0.223638	0.240935
a85	0.00131357	0.00114812	0.00121263	0.0012518	0.00502498	0.0294289	0.0833658	0.201037	0.276813	0.399404
a6	0.00174551	0.00169602	0.00162454	0.00171035	0.00534713	0.0231324	0.0617656	0.169105	0.287734	0.446139
a36	0.000777107	0.000677263	0.000672695	0.00068468	0.00302932	0.0179335	0.0544472	0.151565	0.290037	0.480176
a37	0.00074138	0.000561694	0.000600222	0.000709856	0.00277454	0.0193086	0.0703448	0.151212	0.280999	0.472747
a26	0.000527054	0.000428619	0.000496048	0.000589067	0.00263623	0.0119616	0.0452139	0.118375	0.275425	0.544347
a57	0.00387683	0.00294995	0.00267718	0.0028832	0.0110264	0.0399858	0.0707607	0.116296	0.234521	0.515023
a9	0.0210787	0.014677	0.011562	0.0121754	0.0390149	0.0856802	0.0954572	0.121885	0.187877	0.410592
a30	0.0502987	0.038368	0.0299475	0.0272788	0.0636009	0.135687	0.147157	0.156124	0.159311	0.192227
a87	0.0837927	0.0443474	0.0326485	0.0322267	0.0567384	0.132806	0.140982	0.149345	0.16451	0.162604
a97	0.0354631	0.0233258	0.0178179	0.0193105	0.0593063	0.173527	0.166723	0.151183	0.171067	0.182277
a82	0.0303275	0.0225088	0.0173677	0.0199234	0.0638431	0.15639	0.14845	0.148824	0.18753	0.204835
a97	0.038707	0.025083	0.0188399	0.0212559	0.0604834	0.127215	0.129616	0.142895	0.200655	0.235249
</S>	0.047599	0.0354584	0.0259105	0.0301946	0.0807142	0.135233	0.121315	0.125642	0.176513	0.22142
