 	cette	femme	a	une	otongá	en	fer	</S>
a66	0.254645	0.258263	0.274252	0.134011	0.0466622	0.0164459	0.00855149	0.00717015
a87	0.530445	0.258082	0.123695	0.0425025	0.017527	0.0114316	0.00817899	0.00813743
a23	0.560461	0.252429	0.118491	0.0317928	0.00864411	0.00706001	0.00915436	0.0119669
a87	0.551418	0.191614	0.0890626	0.0340944	0.0235911	0.0232023	0.0327524	0.0542651
a23	0.572262	0.203113	0.0999365	0.0345639	0.0221176	0.0152912	0.0197034	0.0330123
a13	0.489356	0.156343	0.0834237	0.0430747	0.0417057	0.0393102	0.0561197	0.0906664
a50	0.223886	0.127229	0.11286	0.0921115	0.0892867	0.0966887	0.121097	0.136841
a70	0.236324	0.141365	0.0942289	0.0651859	0.0749531	0.121193	0.14111	0.125641
a4	0.170175	0.11707	0.0950642	0.0744752	0.0890768	0.136472	0.162826	0.154841
a93	0.105558	0.106621	0.12695	0.116936	0.125182	0.127171	0.146654	0.144929
a15	0.0842336	0.0811552	0.0974768	0.088502	0.0950311	0.123774	0.199479	0.230348
a79	0.0696028	0.0810927	0.109438	0.109129	0.103373	0.126605	0.189238	0.211521
a37	0.0918247	0.109951	0.134396	0.12637	0.100287	0.108136	0.151924	0.177111
a70	0.142338	0.179874	0.204533	0.146083	0.0752943	0.0548415	0.0873698	0.109665
a4	0.0701283	0.129155	0.194533	0.179858	0.102748	0.0707193	0.108943	0.143915
a13	0.0555448	0.0986275	0.159352	0.15244	0.107854	0.0923274	0.144966	0.188888
a38	0.0349357	0.061116	0.114236	0.159935	0.139659	0.105966	0.163238	0.220913
a4	0.0301491	0.0477446	0.0903863	0.174208	0.19549	0.101879	0.147083	0.21306
a70	0.0162282	0.0203544	0.0335368	0.064465	0.152237	0.159054	0.226892	0.327233
a44	0.008485	0.010267	0.0159607	0.0312774	0.114202	0.178674	0.264049	0.377085
a25	0.00518258	0.00647848	0.0103467	0.0204424	0.0909083	0.185513	0.270966	0.410163
a79	0.00313567	0.00545674	0.0101211	0.0217007	0.071964	0.158347	0.289462	0.439813
a37	0.00137792	0.0023213	0.00424583	0.00885763	0.040485	0.133639	0.287011	0.522062
a12	0.00106695	0.00141892	0.00195468	0.00312275	0.0215329	0.125151	0.272743	0.57301
a96	0.0008995	0.000971327	0.00140506	0.0021526	0.013738	0.0983626	0.250975	0.631496
a88	0.0010711	0.00126325	0.0018352	0.00280001	0.0148514	0.0973278	0.253987	0.626864
a66	0.0025135	0.0031882	0.00511664	0.00694325	0.0245573	0.110963	0.255156	0.591562
a26	0.00207289	0.00251319	0.00387207	0.00580182	0.0244334	0.117383	0.268872	0.575052
a57	0.0274842	0.0190519	0.0266752	0.0339497	0.0669616	0.150431	0.23881	0.436636
a87	0.187343	0.095677	0.0889529	0.0794442	0.0748153	0.111641	0.140995	0.221132
a23	0.280872	0.18898	0.146115	0.11211	0.0839748	0.0698191	0.0570623	0.0610664
a87	0.167912	0.0925613	0.0552502	0.052696	0.0714915	0.118236	0.18375	0.258103
</S>	0.0460818	0.0378844	0.0333731	0.0435009	0.0609923	0.11906	0.250557	0.40855
