 	il	bat	son	fils	</S>
a79	0.541382	0.143263	0.100668	0.0903563	0.124331
a54	0.310208	0.145303	0.14101	0.173604	0.229876
a47	0.346354	0.177425	0.162907	0.169077	0.144237
a7	0.39994	0.249568	0.163618	0.109035	0.0778386
a21	0.420702	0.260591	0.154041	0.0945512	0.0701149
a92	0.349669	0.20825	0.177468	0.147391	0.117222
a37	0.139702	0.135234	0.217867	0.265027	0.24217
a54	0.123535	0.141561	0.220524	0.261301	0.253078
a37	0.0562172	0.0808599	0.155577	0.28353	0.423816
a26	0.041266	0.0834172	0.184602	0.303797	0.386918
a57	0.0244523	0.0328468	0.0683244	0.227607	0.646769
a10	0.00955382	0.0118469	0.0294213	0.163954	0.785224
a87	0.135312	0.115055	0.148072	0.204514	0.397047
a23	0.217606	0.15597	0.164336	0.187274	0.274813
a87	0.10121	0.0992927	0.169786	0.264381	0.36533
</S>	0.0475487	0.0714366	0.17074	0.310271	0.400004
