 	la	chauve-souris	est	un	mammifère	</S>
a66	0.350842	0.281176	0.21721	0.109896	0.0321397	0.00873595
a87	0.483105	0.235767	0.170622	0.0714386	0.027739	0.0113295
a23	0.40759	0.355985	0.162896	0.0479888	0.0147109	0.0108292
a87	0.502868	0.331295	0.0924298	0.0325394	0.0215988	0.0192689
a23	0.503139	0.336597	0.105755	0.0321352	0.011914	0.0104591
a12	0.509463	0.283405	0.102459	0.0436672	0.0333751	0.02763
a37	0.498708	0.274786	0.162928	0.0328587	0.0189128	0.0118071
a54	0.368632	0.287329	0.236468	0.0575588	0.0328293	0.0171827
a15	0.0951212	0.0884636	0.240039	0.255859	0.239482	0.0810354
a0	0.143448	0.123862	0.256387	0.186192	0.233453	0.0566573
a56	0.197644	0.185069	0.283839	0.18335	0.104319	0.0457799
a96	0.11711	0.167501	0.335676	0.28156	0.0661516	0.0320015
a56	0.0649913	0.108772	0.303928	0.398637	0.0948977	0.0287741
a0	0.0747041	0.104983	0.250437	0.380619	0.132421	0.0568349
a62	0.0615283	0.0718545	0.13199	0.410804	0.218716	0.105106
a75	0.0662544	0.0710144	0.101362	0.285176	0.30045	0.175744
a25	0.016647	0.0168608	0.0297431	0.119405	0.319155	0.498189
a6	0.00846278	0.0076834	0.0144472	0.0634294	0.324139	0.581839
a98	0.0152551	0.0115507	0.0120387	0.0369221	0.291244	0.632989
a92	0.0107858	0.00612813	0.00710536	0.0206787	0.274094	0.681208
a47	0.00261707	0.00178333	0.00229847	0.0104521	0.295605	0.687244
a36	0.00255449	0.000982092	0.00142513	0.0106618	0.470588	0.513788
a21	0.00479809	0.00212716	0.00265535	0.0127522	0.337417	0.64025
a12	0.00173324	0.000837119	0.000926207	0.00611293	0.260993	0.729398
a18	0.00132193	0.000820559	0.000857614	0.00626022	0.293249	0.697491
a25	0.00462354	0.0042446	0.00953205	0.0692509	0.457681	0.454668
a87	0.129455	0.0765391	0.0683639	0.097993	0.31004	0.317608
a23	0.417247	0.27609	0.124667	0.0703609	0.0697667	0.0418679
a87	0.186617	0.111588	0.0734367	0.0742534	0.239404	0.314701
</S>	0.0124839	0.00718421	0.00744289	0.0180401	0.192915	0.761934
