 	c'	est	une	assiette	en	terre	</S>
a23	0.422143	0.175903	0.0930985	0.0955285	0.0760194	0.0704154	0.0668919
a57	0.3399	0.203778	0.147021	0.134493	0.0733397	0.0571481	0.0443205
a87	0.300219	0.233312	0.154439	0.118381	0.073704	0.0645564	0.0553879
a23	0.246997	0.188343	0.158884	0.151549	0.104875	0.0812897	0.0680628
a97	0.301982	0.199121	0.137998	0.132534	0.0867643	0.0761	0.0655012
a38	0.257354	0.188957	0.144737	0.132834	0.094727	0.090539	0.0908523
a26	0.407028	0.264891	0.123074	0.0719213	0.0420423	0.0458612	0.0451819
a0	0.433892	0.304518	0.13357	0.0617366	0.0297263	0.0215059	0.0150518
a43	0.328069	0.289017	0.17869	0.100373	0.0498702	0.0316154	0.0223658
a75	0.211754	0.221757	0.199998	0.159881	0.100381	0.0624329	0.0437955
a30	0.255066	0.254304	0.197934	0.125515	0.0785647	0.0516419	0.0369742
a14	0.209931	0.215264	0.203006	0.156304	0.104879	0.0643058	0.0463095
a37	0.182988	0.198717	0.210949	0.175025	0.113832	0.0688365	0.0496523
a24	0.146028	0.161462	0.185668	0.178688	0.14628	0.102772	0.0791008
a32	0.0911201	0.109679	0.135674	0.155276	0.174442	0.173249	0.160561
a25	0.0536556	0.0672958	0.0959047	0.137859	0.1803	0.221575	0.24341
a2	0.0340329	0.0401494	0.0614157	0.107381	0.163864	0.254013	0.339145
a30	0.0166321	0.0190804	0.0298559	0.0668524	0.135194	0.27791	0.454476
a73	0.0178118	0.0206005	0.0338897	0.0749096	0.142615	0.279791	0.430383
a26	0.008869	0.00747036	0.0105157	0.0277341	0.0817944	0.265129	0.598488
a76	0.0066573	0.00587207	0.00958972	0.0263759	0.0806997	0.267119	0.603687
a94	0.00801854	0.00602874	0.00835454	0.0210333	0.0710452	0.257365	0.628155
a61	0.00623999	0.00526461	0.00799297	0.0198529	0.065613	0.245974	0.649063
a62	0.0120546	0.00971584	0.0130955	0.0260199	0.0713253	0.230912	0.636877
a61	0.0118155	0.010312	0.0151872	0.0289693	0.0755418	0.236227	0.621947
a76	0.0199336	0.0153615	0.0194847	0.0341904	0.0839099	0.231852	0.595268
a90	0.00999745	0.00905369	0.0148641	0.0325209	0.0823006	0.234926	0.616337
a58	0.00968549	0.00941826	0.0141406	0.0276721	0.0681165	0.221299	0.649668
a11	0.0137036	0.012296	0.0182305	0.0369909	0.0875219	0.237682	0.593575
a75	0.0110603	0.0108278	0.0185305	0.0434248	0.107348	0.25081	0.557998
a41	0.00969037	0.010109	0.0190141	0.046226	0.106784	0.243513	0.564663
a12	0.00847107	0.00784117	0.0136196	0.0342415	0.0871912	0.236629	0.612007
a96	0.00845773	0.00778001	0.0134768	0.0294903	0.0776023	0.226437	0.636756
a66	0.0149688	0.0132805	0.0206642	0.0417036	0.0969791	0.234312	0.578092
a18	0.0216289	0.0203561	0.0320463	0.060355	0.122451	0.234528	0.508635
a25	0.0177599	0.0192821	0.0331492	0.0643325	0.130719	0.244069	0.490689
a87	0.0181276	0.0199551	0.0309977	0.0562928	0.110838	0.230332	0.533456
a23	0.0145603	0.0169782	0.0300609	0.0595713	0.132414	0.257023	0.489392
a87	0.045091	0.04391	0.0534081	0.0729575	0.145205	0.245274	0.394155
</S>	0.0192692	0.0207035	0.0307479	0.0658053	0.156525	0.271631	0.435319
