 	son	bonheur	était	d'	avoir	tous	ses	enfants	autour	d'	elle	</S>
a23	0.338115	0.146267	0.053528	0.0446547	0.0446619	0.0468446	0.0463425	0.0491286	0.0594616	0.0512855	0.056413	0.0632977
a79	0.40009	0.134739	0.0621626	0.0539005	0.0493382	0.0466501	0.0425875	0.0340412	0.0382663	0.0335189	0.0402985	0.064407
a13	0.307261	0.121082	0.0537639	0.0398622	0.0351571	0.0475315	0.0651	0.0532616	0.0462593	0.0489125	0.0717077	0.110101
a99	0.521984	0.254116	0.0873005	0.0400207	0.0156097	0.0099049	0.00877809	0.00639901	0.00637559	0.00903483	0.0160824	0.0243943
a53	0.365105	0.274126	0.158508	0.0739827	0.0297994	0.0152047	0.0114065	0.00936778	0.01034	0.0117871	0.0168774	0.0234956
a79	0.146587	0.162929	0.156944	0.113327	0.0740761	0.0550671	0.0464488	0.0401005	0.0351428	0.03715	0.0541792	0.0780481
a70	0.0892654	0.11652	0.133707	0.10656	0.0789282	0.0675946	0.059424	0.0506807	0.0471986	0.0549143	0.0825307	0.112677
a79	0.0779523	0.126949	0.160628	0.130938	0.0866945	0.0631352	0.0523797	0.0446701	0.0426025	0.047474	0.0694323	0.0971445
a69	0.0975783	0.122298	0.131815	0.100976	0.0767606	0.0696288	0.0640266	0.0528845	0.0491514	0.0539116	0.0765548	0.104414
a53	0.0607992	0.0824969	0.116694	0.118966	0.097824	0.0872445	0.076809	0.0599432	0.0518818	0.053455	0.0766563	0.11723
a20	0.042875	0.0662296	0.113791	0.133348	0.115322	0.101104	0.0859999	0.0655134	0.0533479	0.050629	0.0674037	0.104436
a44	0.031619	0.0338459	0.04511	0.0623802	0.0887239	0.11648	0.118279	0.097021	0.0809186	0.0728805	0.101926	0.150816
a38	0.0308416	0.0344783	0.0455508	0.0562642	0.0724022	0.102415	0.114066	0.0998982	0.0861225	0.081313	0.110106	0.166542
a99	0.0233853	0.0234535	0.031709	0.0420711	0.0646208	0.106933	0.123276	0.104728	0.0881731	0.0843551	0.119341	0.187954
a9	0.0323091	0.0282499	0.0405384	0.0617837	0.0990738	0.123094	0.114022	0.0838176	0.0687742	0.0662293	0.0990996	0.183008
a99	0.0203361	0.0175623	0.0316575	0.0686759	0.131554	0.164573	0.134911	0.0902584	0.072514	0.0603511	0.0770498	0.130557
a54	0.0132572	0.0106965	0.0194338	0.0442578	0.101587	0.169356	0.156612	0.102984	0.0774605	0.061089	0.0826377	0.160629
a79	0.00847775	0.00765829	0.0138545	0.0254075	0.0491317	0.106959	0.135374	0.122686	0.114528	0.106187	0.130798	0.178939
a54	0.0144518	0.0136898	0.019558	0.0297743	0.0573351	0.121616	0.155457	0.138833	0.12104	0.0998704	0.104295	0.124079
a44	0.00940516	0.00877805	0.0144095	0.0253851	0.0533183	0.110897	0.140728	0.12399	0.114272	0.104983	0.12613	0.167704
a54	0.00927638	0.00738999	0.0131436	0.0223522	0.0498784	0.131699	0.173684	0.138507	0.107712	0.0803074	0.095909	0.170141
a44	0.0109269	0.00945823	0.0139404	0.0224671	0.0412177	0.0862902	0.114366	0.108118	0.111843	0.11493	0.152581	0.213862
a54	0.00996524	0.0079074	0.0139566	0.0231486	0.0508925	0.129664	0.169923	0.143211	0.118045	0.0871752	0.0945912	0.151521
a44	0.00854053	0.00672823	0.0101529	0.0177265	0.0405941	0.0987292	0.129306	0.118361	0.117768	0.114747	0.144633	0.192714
a54	0.00531723	0.00414251	0.00744522	0.0135055	0.0352741	0.106945	0.160558	0.150901	0.132944	0.107484	0.112219	0.163265
a7	0.00670822	0.00503179	0.00720319	0.012147	0.0283864	0.0740108	0.110966	0.112647	0.116011	0.119164	0.171233	0.236492
a26	0.00204987	0.0017304	0.00398519	0.00922881	0.0288587	0.0878313	0.135326	0.13384	0.124019	0.112762	0.137211	0.223158
a70	0.00169769	0.00110056	0.00155047	0.00329059	0.0104509	0.0343441	0.0607007	0.0727151	0.0916423	0.127896	0.22208	0.372532
a83	0.00195746	0.00117612	0.00188615	0.00354733	0.00921056	0.0283342	0.0508505	0.0624392	0.0777886	0.128664	0.243903	0.390243
a54	0.000789479	0.000511479	0.000817919	0.00179798	0.00520881	0.0193113	0.0416382	0.0578906	0.0802703	0.134378	0.252777	0.404609
a69	0.00126346	0.000714373	0.000985105	0.00212248	0.00638361	0.0198756	0.0353955	0.0440763	0.0629444	0.12112	0.269188	0.435932
a4	0.000949288	0.000657728	0.00133052	0.00335027	0.0117717	0.0370801	0.0597257	0.06682	0.0780931	0.108377	0.22528	0.406565
a82	0.00113771	0.00068766	0.00133606	0.00328365	0.0108231	0.0327261	0.0530281	0.0627499	0.0785088	0.121557	0.244955	0.389207
a87	0.000773452	0.000586617	0.00076081	0.00158516	0.00440512	0.0184524	0.0414458	0.0621778	0.091801	0.151529	0.264489	0.361993
a23	0.073809	0.0372219	0.0231899	0.0220799	0.0258489	0.0459194	0.0679971	0.093095	0.135334	0.14428	0.148621	0.182604
a87	0.0340045	0.0150793	0.00941271	0.00963606	0.0160445	0.0428573	0.0753761	0.108729	0.164996	0.169085	0.174936	0.179843
a97	0.0207958	0.0114068	0.00814776	0.00933865	0.0154559	0.0419516	0.0705921	0.0951358	0.137094	0.151098	0.194723	0.244261
a3	0.0399316	0.0205834	0.0134523	0.0139732	0.024074	0.0492301	0.0755727	0.0968246	0.115868	0.126321	0.177919	0.246249
</S>	0.0894188	0.0446396	0.0282005	0.0271533	0.0336148	0.0452262	0.0645564	0.0770861	0.0952908	0.110344	0.160353	0.224116
