 	l'	enfant	a	grossi	car	il	mange	bien	</S>
a15	0.305235	0.287624	0.145889	0.0623553	0.0592784	0.0505953	0.0415	0.0283513	0.0191721
a66	0.518281	0.255178	0.101163	0.0399967	0.029553	0.018251	0.0160156	0.0118298	0.00973254
a87	0.503128	0.273585	0.107079	0.0451692	0.02172	0.0105823	0.0106731	0.0123463	0.0157172
a23	0.410203	0.296378	0.145899	0.0654435	0.0271524	0.0143734	0.0123024	0.0124441	0.0158037
a44	0.326695	0.223508	0.124354	0.0856896	0.0583327	0.0423304	0.0416985	0.0447192	0.0526731
a98	0.260002	0.228392	0.15932	0.106159	0.0576338	0.0436497	0.0441075	0.0504543	0.0502816
a92	0.172395	0.206577	0.188562	0.182037	0.121609	0.0518745	0.0336079	0.0237874	0.0195499
a85	0.104862	0.151065	0.19943	0.257343	0.171022	0.0536714	0.02963	0.0180924	0.014884
a92	0.103966	0.141813	0.173784	0.219082	0.185158	0.0699897	0.0479292	0.0317068	0.0265713
a37	0.112271	0.127984	0.176213	0.268759	0.189155	0.0548422	0.0319585	0.0207199	0.0180971
a44	0.108451	0.116884	0.156403	0.247509	0.211304	0.0686389	0.0405377	0.026881	0.023392
a93	0.07235	0.0830629	0.150527	0.211254	0.23604	0.103482	0.0636047	0.0429136	0.0367666
a75	0.0825274	0.0869562	0.142035	0.175525	0.203956	0.121876	0.0831207	0.0563291	0.0476746
a41	0.0163249	0.0181027	0.0369691	0.0526121	0.15805	0.180607	0.19604	0.178405	0.16289
a21	0.00912748	0.00818779	0.0161242	0.0226229	0.0837836	0.152966	0.224791	0.244735	0.237662
a12	0.00503391	0.00410515	0.00542552	0.00790448	0.0382827	0.0943687	0.193883	0.292396	0.3586
a62	0.00186694	0.00170877	0.00234984	0.00362837	0.0160084	0.0675024	0.183256	0.328138	0.395541
a61	0.00163185	0.00142479	0.00199335	0.0034457	0.0126565	0.0570981	0.164828	0.324941	0.43198
a75	0.00090661	0.000784136	0.00102288	0.00171626	0.00697698	0.0347747	0.123238	0.30442	0.526161
a25	0.000275142	0.000247182	0.00035222	0.00071378	0.0034831	0.0175101	0.0715767	0.238937	0.666904
a90	6.18762e-05	5.01168e-05	7.22838e-05	0.000205417	0.0016769	0.0115727	0.0585203	0.242278	0.685563
a69	0.000177352	0.00012992	0.000179676	0.000422568	0.00178005	0.0117726	0.055053	0.237936	0.692548
a56	0.000243609	0.000180588	0.000245108	0.000496197	0.00231992	0.0143083	0.0628119	0.24573	0.673664
a12	0.000652238	0.000601293	0.000927582	0.00179258	0.00601937	0.0216584	0.0762812	0.239163	0.652904
a18	0.000369192	0.000269502	0.000470779	0.00105115	0.0049069	0.0204154	0.0719178	0.224848	0.675751
a57	0.00309166	0.00223351	0.00360226	0.00708414	0.0239579	0.0640202	0.131318	0.284273	0.480419
a3	0.0489524	0.0289419	0.0224319	0.0213348	0.0353189	0.0677297	0.125366	0.258798	0.391126
a99	0.310018	0.138199	0.0627868	0.0303977	0.0252442	0.0353301	0.0660898	0.132027	0.199908
a97	0.235911	0.102078	0.0484444	0.0315539	0.0274495	0.0381349	0.0759734	0.155611	0.284844
a87	0.188551	0.105544	0.0616723	0.0348234	0.0267559	0.0401008	0.084723	0.170803	0.287026
a23	0.127348	0.0771761	0.0487243	0.0281797	0.024658	0.0472429	0.103851	0.210136	0.332684
a99	0.0189661	0.011883	0.009041	0.0099518	0.0122645	0.0338751	0.0965612	0.251443	0.556014
a97	0.0159642	0.0104834	0.0102711	0.0132362	0.0226675	0.045357	0.099417	0.230735	0.551868
</S>	0.0165623	0.0114515	0.0123867	0.0166472	0.0252981	0.0462851	0.0976307	0.221138	0.5526
