 	la	manière	dont	elle	m'	a	griffé	était	brusque	</S>
a66	0.124405	0.0941113	0.128225	0.166543	0.202116	0.151319	0.0742193	0.0382243	0.0118141	0.00902322
a87	0.285134	0.213987	0.162766	0.107359	0.0757501	0.0509083	0.030565	0.0328518	0.0224016	0.0182779
a23	0.363467	0.299636	0.167853	0.0747325	0.0443773	0.0213123	0.0055128	0.00633698	0.00753123	0.00924085
a79	0.328493	0.368427	0.146316	0.0570874	0.0353621	0.0206674	0.0107239	0.00798036	0.00910032	0.0158427
a58	0.281693	0.293651	0.13147	0.0670629	0.0459528	0.0342585	0.0175056	0.0212851	0.0403941	0.0667265
a53	0.314283	0.311128	0.152993	0.0611706	0.0430116	0.0236882	0.00926359	0.0138267	0.026212	0.0444228
a54	0.368771	0.248174	0.122826	0.068614	0.0490236	0.0398205	0.0256316	0.0214295	0.0244047	0.0313044
a92	0.153646	0.144246	0.129788	0.108612	0.0682809	0.0693099	0.075225	0.0960457	0.0850948	0.0697523
a37	0.164793	0.209495	0.152652	0.102241	0.0670589	0.05778	0.0696951	0.0662146	0.055051	0.0550185
a96	0.133377	0.204729	0.163094	0.110178	0.0796604	0.0691271	0.0699753	0.0871824	0.046576	0.0361017
a37	0.108434	0.177202	0.161286	0.119608	0.091497	0.0841625	0.0823236	0.10054	0.041872	0.0330765
a56	0.0933804	0.150501	0.164466	0.131312	0.107641	0.0953619	0.0794009	0.0909767	0.04442	0.0425402
a37	0.0803558	0.122382	0.169103	0.14978	0.125091	0.111864	0.096079	0.0809712	0.0315373	0.0328374
a75	0.0504883	0.0772726	0.145601	0.149624	0.130311	0.120522	0.106835	0.111131	0.0494316	0.0587841
a92	0.0222237	0.0348484	0.087016	0.101146	0.0993533	0.105984	0.119117	0.156612	0.124949	0.14875
a79	0.0260973	0.0365041	0.0908371	0.112281	0.116203	0.1253	0.127539	0.131802	0.111256	0.122181
a44	0.0156176	0.0221929	0.073479	0.110046	0.107567	0.132853	0.14814	0.151719	0.116296	0.122088
a56	0.0165175	0.0193203	0.0731055	0.147556	0.146597	0.170637	0.160114	0.132742	0.060055	0.0733557
a37	0.0120365	0.0131521	0.0491695	0.127982	0.16404	0.203964	0.181601	0.1095	0.0599575	0.0785979
a47	0.00645829	0.00709171	0.0255467	0.0853114	0.118385	0.164019	0.191387	0.147163	0.100611	0.154027
a75	0.00597712	0.00677177	0.0256574	0.079705	0.113122	0.152879	0.185849	0.142564	0.115681	0.171794
a92	0.00292889	0.00326008	0.00987837	0.0392799	0.0685016	0.125215	0.169208	0.13353	0.165876	0.282322
a36	0.00281954	0.00304854	0.00930048	0.0350428	0.0651229	0.123361	0.183422	0.14782	0.172098	0.257965
a43	0.00663214	0.00565384	0.0129389	0.0325181	0.0539567	0.0965142	0.197744	0.148133	0.151982	0.293928
a56	0.00652851	0.00557041	0.0113042	0.0278118	0.0428515	0.0783109	0.169423	0.155924	0.166066	0.336211
a43	0.00384614	0.00311571	0.00800203	0.0211665	0.0327473	0.064786	0.159853	0.169954	0.201833	0.334696
a75	0.00421421	0.00380364	0.00816183	0.0196532	0.0270505	0.050146	0.118967	0.157396	0.219601	0.391006
a92	0.00179983	0.0017341	0.00359226	0.00956646	0.0154075	0.0384292	0.096082	0.122526	0.220057	0.490805
a56	0.00120714	0.0010781	0.00262925	0.00870295	0.0159584	0.0403325	0.102256	0.138907	0.237008	0.451921
a92	0.0018259	0.0014097	0.0038729	0.0102669	0.0160495	0.0340474	0.091856	0.113363	0.239882	0.487426
a37	0.00127728	0.00116667	0.00257804	0.00678157	0.00996371	0.02563	0.0706962	0.108655	0.241159	0.532093
a61	0.00181881	0.00157557	0.00292721	0.00629191	0.00833611	0.0192682	0.0531143	0.0799797	0.240237	0.586451
a18	0.0021482	0.00150429	0.0034175	0.00762442	0.00964043	0.0197412	0.0515202	0.0820808	0.257689	0.564633
a9	0.00215526	0.00172416	0.00358348	0.00577815	0.00586222	0.0102097	0.0209017	0.0572624	0.289361	0.603162
a10	0.0112841	0.00866945	0.0129802	0.0174823	0.0213439	0.0357913	0.0611912	0.0899089	0.288281	0.453068
a87	0.0337202	0.0225371	0.0304332	0.0358005	0.0459301	0.0599263	0.0959254	0.147753	0.256713	0.271262
a23	0.0945481	0.0565749	0.0773232	0.0716003	0.0669398	0.0751719	0.127433	0.177017	0.144234	0.109158
a87	0.070757	0.032482	0.0250767	0.0198604	0.0147385	0.026225	0.0590834	0.137355	0.232382	0.38204
a97	0.0272746	0.0120691	0.0129611	0.015028	0.0127493	0.0222712	0.043631	0.0958864	0.234519	0.52361
a99	0.0507323	0.0287942	0.0456107	0.0629153	0.0541733	0.0692556	0.0930179	0.106937	0.155539	0.333025
a87	0.0654558	0.037022	0.0472636	0.0680768	0.0590992	0.0767199	0.0811586	0.120976	0.174057	0.270172
a23	0.0917825	0.0609785	0.0703837	0.0911599	0.089736	0.108419	0.0937773	0.0901784	0.106463	0.197122
a87	0.0750376	0.0459992	0.0451641	0.0543468	0.039818	0.0735809	0.0832354	0.127643	0.173253	0.281922
a23	0.0439349	0.0272014	0.0318346	0.0394507	0.0287573	0.042749	0.0483945	0.0818478	0.192216	0.463614
a87	0.0563892	0.0402436	0.0465345	0.0642116	0.0409475	0.074273	0.0956823	0.13799	0.165236	0.278492
</S>	0.0463277	0.0344895	0.0430309	0.0486256	0.0288346	0.0492315	0.0719874	0.121714	0.191754	0.364005
