 	pourquoi	n'	as-tu	pas	gardé	une	partie	de	la	nourriture	</S>
a66	0.156643	0.10569	0.115981	0.149481	0.153316	0.118394	0.0802811	0.0558375	0.0317895	0.0180013	0.0145858
a87	0.139555	0.12287	0.121586	0.134923	0.117448	0.0899338	0.0722873	0.0657278	0.05175	0.0448049	0.0391148
a23	0.371841	0.156104	0.0991957	0.0677487	0.0664752	0.051972	0.0427881	0.0373137	0.0359721	0.0356125	0.0349774
a10	0.399117	0.238156	0.152309	0.0659726	0.0417718	0.0261731	0.0179044	0.0152496	0.0133355	0.0141488	0.0158622
a83	0.321865	0.198821	0.145235	0.0717804	0.0555894	0.0445702	0.0367853	0.0327943	0.0292069	0.029818	0.0335345
a94	0.284537	0.195098	0.155442	0.0838665	0.0522951	0.0380165	0.0371894	0.043638	0.0392703	0.0349227	0.0357244
a56	0.308238	0.266057	0.194718	0.0665231	0.0323872	0.0232987	0.0221951	0.0237692	0.0230506	0.0201145	0.0196488
a93	0.258889	0.275987	0.226057	0.0725371	0.0369522	0.0255528	0.0207801	0.0208962	0.0228185	0.0195448	0.0199857
a70	0.20422	0.248141	0.248724	0.0903749	0.0488602	0.031892	0.0240799	0.0236888	0.0286997	0.0248655	0.0264548
a34	0.195935	0.243093	0.242116	0.0992069	0.054909	0.0353073	0.0253877	0.0233635	0.0285128	0.0249848	0.0271829
a70	0.211027	0.236366	0.204955	0.101071	0.058856	0.0398525	0.0291599	0.026265	0.0318358	0.0292452	0.0313671
a34	0.177769	0.205658	0.216834	0.125688	0.0802682	0.0528855	0.0340626	0.0273037	0.0291265	0.0243289	0.0260752
a96	0.148995	0.173579	0.187926	0.139325	0.0998585	0.072517	0.0478171	0.0358573	0.03533	0.0290851	0.0297089
a66	0.0976818	0.116587	0.145877	0.150592	0.131107	0.10965	0.0762958	0.0536105	0.0460774	0.0358022	0.0367194
a75	0.0458642	0.0590119	0.109995	0.155703	0.160924	0.145155	0.0973604	0.0698122	0.0567901	0.0457767	0.0536076
a79	0.0200724	0.025811	0.0406445	0.0829242	0.102427	0.116905	0.123112	0.110505	0.118597	0.125631	0.133371
a7	0.0193524	0.0225418	0.0351653	0.0882796	0.122075	0.150879	0.15278	0.123354	0.107661	0.088177	0.089735
a44	0.0145301	0.0161756	0.0322316	0.0817347	0.152149	0.187452	0.152979	0.111907	0.0893285	0.0733183	0.0881933
a70	0.0114779	0.0120336	0.0220469	0.0579979	0.116438	0.16263	0.157007	0.13363	0.117376	0.0965016	0.112859
a93	0.00691247	0.0073156	0.0158368	0.047046	0.105335	0.142729	0.141374	0.121016	0.127262	0.134206	0.150968
a70	0.00612373	0.00638444	0.0130434	0.0383663	0.086307	0.127567	0.138939	0.130734	0.142493	0.143441	0.166601
a83	0.00314295	0.00316374	0.0065377	0.0177838	0.0483358	0.0802658	0.104708	0.111671	0.154087	0.206745	0.263559
a0	0.00200155	0.00216685	0.00513639	0.0150234	0.0399576	0.0635222	0.0851966	0.102439	0.157368	0.229046	0.298142
a38	0.00130623	0.0014558	0.00378994	0.0103132	0.0268485	0.0434367	0.0737034	0.0973255	0.166585	0.251446	0.32379
a40	0.00392486	0.00376839	0.00660946	0.013142	0.0259695	0.0401947	0.0726303	0.0906133	0.152574	0.243732	0.346842
a44	0.000890691	0.000900466	0.00190746	0.00458017	0.009358	0.0158137	0.0334627	0.0553441	0.120941	0.279115	0.477687
a26	0.00206163	0.00202755	0.00360852	0.00706726	0.0130166	0.0217788	0.0452636	0.0644837	0.128353	0.274648	0.437692
a40	0.0423478	0.0287804	0.028037	0.0399439	0.0411501	0.054014	0.0791954	0.080741	0.120438	0.186643	0.298709
a36	0.00851111	0.00717309	0.00913055	0.0178156	0.024265	0.0346579	0.0568382	0.0726598	0.126185	0.24855	0.394214
a2	0.00267181	0.00294604	0.00458422	0.0091956	0.0108238	0.0156118	0.0318177	0.0502973	0.111616	0.289281	0.471155
a30	0.044054	0.0328204	0.0306881	0.0416819	0.0396872	0.0481485	0.0654575	0.0693876	0.113937	0.194035	0.320103
a57	0.119662	0.0572044	0.0383063	0.0446343	0.0560133	0.0615005	0.0744221	0.0753368	0.0998445	0.15419	0.218886
a87	0.1374	0.0588258	0.0384007	0.0466682	0.0620206	0.0622675	0.0691766	0.0709644	0.0937092	0.146691	0.213876
a97	0.0792028	0.0373471	0.0275092	0.041618	0.0472434	0.0465206	0.050048	0.0592134	0.099589	0.195785	0.315923
a87	0.108978	0.0566482	0.0473669	0.0570226	0.0522919	0.0468203	0.0466479	0.0535803	0.0869255	0.166675	0.277044
</S>	0.163956	0.0822149	0.067798	0.0661426	0.0547606	0.050477	0.0487474	0.0500835	0.0775052	0.129436	0.208879
