 	je	prépare	la	viande	à	la	sauce	d'	arachide	</S>
a85	0.147495	0.124152	0.124016	0.153491	0.181824	0.131119	0.0773803	0.0320866	0.0165292	0.0119075
a87	0.162864	0.104876	0.102168	0.11379	0.143587	0.134303	0.0783512	0.0702819	0.0468804	0.0428982
a23	0.179075	0.150843	0.120625	0.106887	0.100014	0.0886047	0.0412395	0.0408226	0.0653562	0.106532
a87	0.20421	0.167021	0.133725	0.0950675	0.0775546	0.0625868	0.0478609	0.0486938	0.0623733	0.100907
a23	0.145268	0.129629	0.119422	0.105835	0.0991982	0.0923833	0.0873665	0.0733055	0.0693389	0.0782533
a10	0.206771	0.132412	0.0892149	0.0730107	0.0713399	0.0704108	0.0871764	0.0903335	0.0805412	0.0987897
a87	0.115918	0.102493	0.0808188	0.0604794	0.0570947	0.0507531	0.0752397	0.119739	0.142615	0.19485
a97	0.128167	0.0980131	0.075023	0.0641057	0.0646036	0.0627303	0.0985881	0.125225	0.128489	0.155055
a83	0.184889	0.1142	0.0762	0.0581161	0.0572388	0.0485814	0.0794527	0.102547	0.127197	0.151578
a70	0.274981	0.186534	0.120257	0.0642055	0.0482143	0.037483	0.0361738	0.0516454	0.0761455	0.104361
a75	0.39621	0.210686	0.140037	0.0809586	0.0560379	0.0349779	0.0228676	0.0170824	0.0191181	0.0220246
a5	0.286207	0.179199	0.144442	0.112123	0.0785095	0.0577282	0.0437142	0.0319488	0.0314961	0.0346305
a61	0.225388	0.179222	0.175004	0.145813	0.105522	0.0716822	0.0389012	0.020689	0.0179015	0.0198768
a75	0.212517	0.168424	0.17342	0.152246	0.116014	0.0787575	0.0397674	0.0206958	0.0181237	0.0200354
a85	0.165641	0.174228	0.185195	0.15832	0.118011	0.0770146	0.0440426	0.0273039	0.0240671	0.026178
a37	0.132245	0.167853	0.172462	0.144347	0.114449	0.0804178	0.0540682	0.0450194	0.0424072	0.046731
a98	0.104891	0.164868	0.197116	0.186541	0.145866	0.0904377	0.0401195	0.02457	0.0218598	0.0237304
a41	0.0796742	0.132186	0.167737	0.167709	0.135565	0.0903945	0.0546651	0.0534239	0.0545329	0.0641129
a61	0.0642449	0.0892233	0.11348	0.121576	0.104402	0.0820625	0.0688689	0.0957235	0.116651	0.143768
a75	0.0910303	0.112988	0.137728	0.173434	0.169283	0.13363	0.0648576	0.0426656	0.0363483	0.0380357
a44	0.0737987	0.0811416	0.0916509	0.0919107	0.0807612	0.0747397	0.0730349	0.118728	0.141479	0.172755
a54	0.059028	0.07958	0.0927066	0.116415	0.112642	0.126678	0.105205	0.0989516	0.0955069	0.113287
a37	0.0439877	0.0528766	0.0643896	0.0734835	0.058545	0.059411	0.0715588	0.141927	0.184058	0.249762
a11	0.0383831	0.0534599	0.064923	0.0883787	0.0778311	0.0945227	0.114439	0.136533	0.143674	0.187855
a75	0.0275551	0.0392107	0.0514726	0.0715454	0.0685596	0.0931802	0.141482	0.1677	0.153301	0.185994
a66	0.0315646	0.0440155	0.0541614	0.063096	0.0498344	0.0537026	0.0619842	0.128818	0.194344	0.318479
a90	0.00934393	0.0151791	0.0211339	0.0335607	0.0299217	0.0464597	0.104518	0.204501	0.224059	0.311322
a57	0.00858071	0.0157484	0.0216637	0.0333399	0.0275947	0.0402622	0.0787012	0.193381	0.245443	0.335285
a53	0.00168172	0.00255421	0.00338575	0.00648501	0.00606018	0.0118435	0.0337609	0.145804	0.264659	0.523766
a4	0.00143157	0.00151103	0.00180321	0.00332342	0.00329747	0.00648225	0.0212462	0.123463	0.26395	0.573492
a57	0.00225808	0.00311458	0.00370349	0.00581028	0.00572764	0.00978809	0.0218156	0.10711	0.25464	0.586033
a82	0.0013088	0.00123864	0.00144072	0.00275503	0.00315216	0.00723852	0.0210595	0.112207	0.268216	0.581384
a97	0.014948	0.00817784	0.00521798	0.00616027	0.0057607	0.00852306	0.0156379	0.115677	0.286908	0.532989
a87	0.124907	0.0795716	0.0541013	0.0595109	0.0589095	0.0633187	0.0656956	0.121447	0.157934	0.214605
a97	0.105648	0.0612966	0.046836	0.0622229	0.0681595	0.0876721	0.0975529	0.140686	0.159894	0.170031
a87	0.0892129	0.0515773	0.0457184	0.0664232	0.0747354	0.0817772	0.0788999	0.111349	0.16749	0.232817
a10	0.0726374	0.0545949	0.0523598	0.0757683	0.0809442	0.079689	0.07321	0.098831	0.15981	0.252155
a38	0.0717214	0.0553054	0.0509989	0.0678199	0.0694239	0.0706801	0.0664117	0.0981864	0.169474	0.279979
a66	0.0632676	0.0487201	0.0417976	0.054889	0.0612303	0.0705027	0.0768497	0.111838	0.175898	0.295007
a9	0.0505204	0.0339038	0.0275364	0.0369775	0.0418263	0.0514301	0.0616155	0.109624	0.198088	0.388477
a99	0.0549609	0.0449024	0.0373155	0.0502634	0.0523187	0.0547804	0.0573252	0.0982847	0.180571	0.369278
a97	0.0531764	0.0425989	0.0333974	0.0424951	0.0455375	0.0504457	0.0551174	0.0977061	0.190792	0.388733
a87	0.0504197	0.0454176	0.0353447	0.0438756	0.0438732	0.045251	0.0493448	0.0889584	0.185171	0.412344
</S>	0.0668318	0.0579926	0.0443771	0.0536813	0.053699	0.0536194	0.0619852	0.0909008	0.168733	0.34818
