 	elle	a	des	cheveux	bouclés	</S>
a23	0.419278	0.311631	0.0922961	0.0514438	0.0646187	0.0607329
a79	0.452983	0.280522	0.125898	0.0542716	0.0436514	0.0426734
a98	0.217828	0.171934	0.115568	0.112158	0.171932	0.210579
a85	0.301672	0.284349	0.209037	0.116949	0.0600287	0.0279638
a36	0.34801	0.319311	0.233442	0.0629216	0.0229162	0.0133999
a61	0.329193	0.281608	0.231722	0.0855244	0.0446164	0.0273355
a75	0.398583	0.333538	0.191978	0.044106	0.0202764	0.0115185
a85	0.376008	0.271023	0.173886	0.0813726	0.0574591	0.0402503
a5	0.230254	0.18488	0.186464	0.144379	0.137946	0.116077
a43	0.377423	0.2104	0.14844	0.113901	0.0834626	0.0663746
a11	0.245429	0.16488	0.184929	0.193128	0.12974	0.0818936
a61	0.15767	0.0966633	0.118453	0.201508	0.217483	0.208223
a21	0.0570766	0.0481537	0.0901336	0.224184	0.307064	0.273388
a61	0.0540855	0.0369829	0.0551626	0.152318	0.335824	0.365627
a31	0.0154313	0.0154077	0.0373143	0.126848	0.30494	0.500059
a61	0.0145749	0.0156953	0.0401818	0.118615	0.287479	0.523454
a75	0.00495272	0.00566835	0.0183232	0.0874433	0.284652	0.598961
a5	0.0144875	0.0190115	0.0531398	0.126134	0.275126	0.512101
a18	0.004855	0.00615547	0.0197202	0.0616696	0.209049	0.698551
a62	0.0026605	0.00463685	0.0155382	0.0482857	0.188281	0.740598
a83	0.00263078	0.00444779	0.0172594	0.0606786	0.218341	0.696642
a61	0.00384278	0.00623409	0.0201277	0.0616882	0.209996	0.698111
a36	0.00323475	0.0056444	0.0194643	0.0666135	0.206797	0.698246
a27	0.00509302	0.0087136	0.0256761	0.0715848	0.207871	0.681062
a57	0.0228524	0.0247277	0.0366183	0.0645671	0.187424	0.66381
a87	0.065729	0.0695491	0.0781182	0.126798	0.284467	0.375338
a23	0.12857	0.0975891	0.0939164	0.127775	0.259765	0.292384
a87	0.0764581	0.0728765	0.0972986	0.142432	0.257958	0.352976
</S>	0.0102937	0.016143	0.0442705	0.122042	0.308839	0.498412
