 	les	jointures	de	doigts	de	cette	femme	se	sont	enflées	</S>
a66	0.110326	0.0752922	0.0671745	0.0674873	0.123001	0.177106	0.177274	0.126016	0.0456047	0.0213378	0.00938081
a87	0.43293	0.197228	0.0912497	0.0575794	0.037957	0.035094	0.0481869	0.042509	0.025209	0.0177642	0.0142936
a23	0.406471	0.210726	0.0810422	0.0598297	0.0495687	0.0492551	0.0489251	0.0459789	0.0241376	0.0136247	0.0104402
a30	0.331424	0.312963	0.0803713	0.0573619	0.0489894	0.0456785	0.035549	0.0243142	0.0212576	0.0193518	0.0227389
a70	0.210928	0.237025	0.10017	0.0842097	0.0928412	0.0874051	0.0677199	0.0446897	0.0290508	0.0254059	0.0205545
a61	0.166808	0.256153	0.125583	0.084045	0.0687872	0.0622867	0.0590983	0.0594838	0.0470199	0.0461845	0.0245495
a96	0.209962	0.213737	0.141438	0.108051	0.0852349	0.0631579	0.0479525	0.0413625	0.0356069	0.03564	0.0178562
a93	0.125061	0.155813	0.162986	0.165961	0.10331	0.0713313	0.046614	0.0392461	0.043388	0.0534966	0.0327937
a90	0.0863914	0.114083	0.155429	0.172718	0.124405	0.096343	0.062086	0.0457362	0.0467009	0.0534308	0.0426769
a20	0.0654927	0.0745533	0.148461	0.16981	0.139778	0.12117	0.0850788	0.0524065	0.0459894	0.0478874	0.0493733
a15	0.0475224	0.0601823	0.11646	0.116099	0.110229	0.109347	0.092731	0.0705409	0.0727834	0.0810076	0.123098
a44	0.0537597	0.0605644	0.105598	0.102053	0.124754	0.138943	0.121055	0.0750777	0.0612813	0.060009	0.0969054
a93	0.0478311	0.0359679	0.0733737	0.0795551	0.119912	0.153447	0.127151	0.0588583	0.0482995	0.0612341	0.194369
a96	0.0786471	0.0399364	0.0778755	0.0778288	0.136527	0.159422	0.125907	0.0642655	0.0506806	0.0549098	0.134001
a12	0.0390334	0.0174299	0.035437	0.0401436	0.104595	0.161172	0.159654	0.0854834	0.0640906	0.0671405	0.225821
a43	0.0269087	0.0108584	0.0199595	0.0242798	0.0680143	0.125863	0.160924	0.127612	0.103368	0.0905227	0.24169
a75	0.0232519	0.0119278	0.0186154	0.015071	0.0372265	0.0870668	0.145817	0.122409	0.129903	0.107776	0.300935
a92	0.00612539	0.00297358	0.00449315	0.00429805	0.0109842	0.0249794	0.0511991	0.0684716	0.124732	0.15906	0.542684
a98	0.00462171	0.00205723	0.00382896	0.00398098	0.0101331	0.0234242	0.050876	0.0790805	0.16435	0.189686	0.467961
a47	0.0044859	0.00223148	0.00412025	0.00375411	0.00912341	0.0205894	0.0405965	0.0602305	0.128006	0.213498	0.513364
a92	0.00277727	0.000872073	0.00120034	0.00109814	0.00281367	0.00679419	0.0170534	0.030929	0.100998	0.245827	0.589637
a37	0.00304181	0.000942435	0.00128222	0.000864886	0.00219298	0.00572877	0.014464	0.0261605	0.0888334	0.197783	0.658706
a44	0.00490949	0.00136688	0.00161893	0.000896632	0.00189422	0.0041613	0.0093661	0.0148538	0.0518372	0.153185	0.755911
a56	0.00673767	0.00281339	0.00258212	0.00129551	0.00232057	0.00476679	0.0119268	0.0235654	0.073598	0.159716	0.710678
a11	0.00547099	0.00162374	0.00163565	0.001041	0.00197611	0.00370103	0.00916567	0.0209658	0.081393	0.178874	0.694153
a43	0.00308542	0.00156884	0.00192732	0.00144452	0.00258642	0.00454489	0.00997168	0.0204321	0.0710619	0.162165	0.721212
a2	0.00324553	0.00176056	0.00236142	0.00190529	0.00341585	0.00624341	0.0136669	0.0254793	0.0721676	0.16036	0.709394
a57	0.0916747	0.0289526	0.0211577	0.0147954	0.0161753	0.0191146	0.0346854	0.0591182	0.0955628	0.178763	0.44
a87	0.360361	0.106054	0.0358468	0.0226491	0.0231837	0.0273905	0.046052	0.0649658	0.0834424	0.0952927	0.134762
a23	0.338931	0.141302	0.057909	0.038375	0.0401763	0.0453239	0.0578608	0.0654336	0.0739271	0.0682774	0.0724836
a87	0.230813	0.0727767	0.0278678	0.0134247	0.00713366	0.0060646	0.00816812	0.0164547	0.0484164	0.0963073	0.472573
a97	0.0511801	0.0181778	0.00720468	0.00370286	0.00304099	0.00420461	0.00819556	0.0135597	0.0395651	0.10651	0.744659
</S>	0.0700478	0.0384141	0.0203071	0.0104329	0.00924427	0.0142944	0.0228692	0.0275777	0.0490707	0.113809	0.623933
