 	le	feu	est	allumé	</S>
a23	0.525386	0.251368	0.100377	0.0579809	0.0648879
a10	0.363063	0.199269	0.128883	0.140006	0.168779
a87	0.409031	0.24578	0.126721	0.109969	0.108499
a23	0.395495	0.290981	0.160821	0.0901003	0.0626028
a83	0.463668	0.259715	0.113292	0.0898552	0.0734688
a35	0.565523	0.249943	0.108532	0.0516203	0.0243821
a26	0.455587	0.276416	0.157656	0.0764809	0.0338595
a41	0.426969	0.279786	0.172304	0.0805013	0.0404398
a30	0.417274	0.292508	0.187868	0.0730275	0.0293221
a2	0.33662	0.276693	0.217274	0.111501	0.0579121
a25	0.136131	0.146396	0.194335	0.255398	0.267739
a10	0.0854216	0.0967856	0.165541	0.312437	0.339815
a26	0.0714145	0.0769344	0.115055	0.26865	0.467946
a83	0.0920983	0.0764213	0.10037	0.273468	0.457642
a24	0.134804	0.110232	0.152579	0.28739	0.314996
a35	0.10181	0.103705	0.145232	0.272773	0.37648
a76	0.0351648	0.0381752	0.0927349	0.304154	0.529771
a20	0.0468437	0.0517787	0.112051	0.314138	0.475189
a84	0.0251545	0.0225684	0.0536648	0.235223	0.663389
a57	0.00782469	0.0104652	0.0359957	0.223974	0.72174
a87	0.0165062	0.0229147	0.0535151	0.186845	0.720219
a23	0.0795248	0.0944504	0.136341	0.249273	0.440411
a87	0.193292	0.178029	0.16589	0.183577	0.279213
</S>	0.0928909	0.0927981	0.124142	0.223893	0.466276
