 	une	veuve	a	des	cheveux	touffus	à	cause	de	sa	tristesse	</S>
a66	0.122271	0.149491	0.225622	0.171833	0.108885	0.0876896	0.0566531	0.0391982	0.0177422	0.00871602	0.00654913	0.00534857
a87	0.217625	0.167841	0.205796	0.123768	0.0693683	0.0313873	0.0274534	0.0253936	0.0271616	0.0316077	0.0377344	0.0348634
a23	0.271663	0.195272	0.124842	0.0681006	0.0480148	0.0481751	0.0469066	0.0375821	0.0378174	0.0363136	0.0455979	0.0397141
a30	0.327904	0.227433	0.062696	0.0379838	0.0265524	0.0368624	0.0409154	0.0363466	0.0406822	0.0475177	0.0567169	0.058389
a93	0.33337	0.256169	0.0949703	0.0517715	0.0306429	0.0418264	0.0377776	0.031724	0.031017	0.0301257	0.0276829	0.0329232
a96	0.292841	0.267922	0.179232	0.0972276	0.0513575	0.0412593	0.022982	0.0143688	0.0117822	0.00936951	0.00642282	0.0052343
a34	0.250235	0.219873	0.193972	0.111122	0.0631303	0.0504149	0.0352121	0.0244384	0.0205977	0.0169689	0.00876389	0.00527117
a93	0.198869	0.19621	0.207277	0.120608	0.0697273	0.0564351	0.0418006	0.03081	0.0266564	0.0250494	0.0168296	0.0097281
a4	0.133039	0.148101	0.167287	0.116298	0.0869092	0.0665368	0.0550174	0.045203	0.0414821	0.048175	0.05397	0.0379817
a13	0.132919	0.160185	0.154889	0.111536	0.0884719	0.0707562	0.058154	0.0469682	0.0377166	0.0410674	0.0516602	0.0456763
a93	0.105185	0.141685	0.125847	0.0953797	0.076185	0.072459	0.0652685	0.0565628	0.0485045	0.054159	0.0755945	0.0831697
a56	0.0899828	0.138882	0.12865	0.0912684	0.0669157	0.0624459	0.0634872	0.0556447	0.0510687	0.0598282	0.0854888	0.106337
a92	0.0998627	0.158395	0.183009	0.141117	0.100871	0.0718743	0.0525023	0.0393102	0.0281003	0.0308141	0.0421615	0.0519822
a5	0.0322233	0.0691301	0.0999095	0.0951834	0.0904015	0.0873825	0.0824554	0.087236	0.0701764	0.0691835	0.0931545	0.123564
a24	0.0344053	0.0672944	0.100453	0.101967	0.0930053	0.0933314	0.0867758	0.0848302	0.0662371	0.0664276	0.0887773	0.116496
a12	0.017927	0.0321581	0.0442034	0.0552725	0.0638569	0.0929106	0.116488	0.130152	0.0959609	0.0908252	0.109571	0.150675
a96	0.0121403	0.0181386	0.0233843	0.0322424	0.0393435	0.0620783	0.0966369	0.140102	0.118149	0.113041	0.14192	0.202823
a93	0.0117563	0.0200642	0.0206725	0.0259969	0.0317144	0.0620439	0.113465	0.157919	0.118692	0.106939	0.134262	0.196475
a75	0.0106228	0.0158442	0.0159041	0.0200483	0.0241719	0.045708	0.0922364	0.155479	0.171397	0.144918	0.133223	0.170448
a41	0.00240125	0.00283256	0.00381853	0.00708269	0.0117974	0.0279257	0.0551363	0.105935	0.131012	0.150201	0.191261	0.310598
a56	0.00257321	0.0026226	0.00270962	0.00516037	0.00938646	0.0257111	0.0516319	0.100794	0.121492	0.145367	0.187318	0.345234
a4	0.00205413	0.00210794	0.00214281	0.00381927	0.00679	0.0147416	0.0331747	0.0718638	0.112075	0.149494	0.218877	0.38286
a13	0.00107486	0.000990491	0.00076756	0.00121614	0.00235493	0.00735265	0.0225391	0.0569518	0.107872	0.181053	0.250417	0.36741
a83	0.000815217	0.000820433	0.000664933	0.000897453	0.00142397	0.00380024	0.00832307	0.0206783	0.0479696	0.119369	0.294951	0.500287
a62	0.000893236	0.00103801	0.00100934	0.00132268	0.00201469	0.00487226	0.0106273	0.0255038	0.0631602	0.149026	0.296579	0.443953
a21	0.000449384	0.000536	0.000766366	0.00110016	0.00159915	0.00308677	0.00724723	0.019262	0.0544313	0.144498	0.306898	0.460126
a12	0.000165975	0.000157461	0.000215671	0.000345659	0.000585958	0.000923736	0.00231715	0.00827948	0.0358636	0.131898	0.332003	0.487245
a96	0.000176488	0.000167311	0.00023598	0.000384632	0.000639754	0.00101404	0.00238368	0.00786399	0.0315994	0.114217	0.311039	0.530279
a62	0.000957391	0.0012946	0.00236788	0.00317978	0.00440325	0.00632686	0.0123743	0.0257887	0.0620858	0.135911	0.268209	0.477102
a96	0.000583003	0.000673378	0.00117947	0.00165224	0.00239353	0.00377871	0.00815742	0.0182268	0.0476436	0.128438	0.28409	0.503184
a88	0.00040223	0.000496917	0.000804809	0.00109751	0.00152755	0.00250141	0.0050675	0.0117224	0.0321387	0.105893	0.291035	0.547313
a18	0.000401824	0.000431796	0.00065963	0.00106823	0.00177065	0.00351058	0.00724753	0.0172528	0.0450335	0.122005	0.278957	0.521662
a36	0.0032911	0.00327821	0.00542576	0.00767843	0.0125986	0.0227514	0.0328033	0.0493413	0.0786876	0.126175	0.208433	0.449536
a27	0.0233842	0.0221616	0.0262578	0.0294998	0.043298	0.0614247	0.0777356	0.090302	0.101488	0.117387	0.141251	0.26581
a57	0.0532397	0.0436569	0.0412179	0.0405878	0.0522071	0.0652999	0.0759547	0.0801751	0.081662	0.0960106	0.125213	0.244775
a87	0.204776	0.135739	0.078086	0.0555009	0.0511651	0.051771	0.0529146	0.0522006	0.0563113	0.0605708	0.0746537	0.126311
a23	0.129158	0.121176	0.0820299	0.0609276	0.0571804	0.070763	0.0736849	0.0773945	0.0842464	0.0751359	0.0785603	0.0897428
a99	0.0236211	0.0137631	0.0102814	0.00849404	0.00924436	0.0110055	0.0252078	0.0420895	0.0964581	0.179791	0.271723	0.308321
a26	0.0186524	0.0118606	0.00869878	0.00831354	0.0107919	0.015814	0.0312391	0.0431193	0.0805201	0.15438	0.276355	0.340255
</S>	0.0119655	0.0117759	0.00973156	0.00843884	0.0103702	0.012968	0.0238357	0.0331772	0.068512	0.142698	0.276322	0.390206
