 	aujourd'	hui	c'	est	le	jour	où	l'	on	adore	le	seigneur	dieu	</S>
a66	0.081919	0.0836165	0.0780352	0.108543	0.150387	0.169405	0.121519	0.11034	0.0469095	0.0294987	0.00779204	0.00451701	0.00380602	0.00371175
a87	0.201304	0.151623	0.115833	0.113644	0.114984	0.0744139	0.0434545	0.0434714	0.02909	0.0162077	0.0283281	0.0177057	0.0235166	0.0264228
a23	0.274202	0.178132	0.122567	0.0886637	0.0786773	0.0501537	0.0350418	0.0457566	0.0352134	0.0234083	0.0218531	0.0100731	0.0160939	0.0201639
a87	0.22869	0.160726	0.118349	0.0932255	0.0806322	0.042502	0.0369068	0.0524912	0.0499954	0.0346626	0.0385822	0.0172215	0.0207537	0.0252621
a23	0.205413	0.145965	0.112721	0.102237	0.0958357	0.0558175	0.0452328	0.063476	0.0556933	0.0340593	0.0375477	0.0147514	0.0149285	0.016322
a99	0.274291	0.161681	0.107941	0.0830786	0.0733423	0.0450171	0.034477	0.04307	0.0395287	0.0306621	0.0387346	0.0187272	0.0217445	0.0277054
a87	0.152364	0.117185	0.0958283	0.0940865	0.100369	0.0843057	0.0584903	0.0576628	0.0374132	0.0402176	0.0475118	0.0285366	0.0384753	0.0475538
a23	0.226733	0.154729	0.114375	0.0988541	0.094004	0.0657926	0.0463988	0.0473957	0.0325862	0.0306627	0.0311885	0.0165785	0.0190716	0.0216299
a99	0.219167	0.144497	0.113496	0.0940045	0.0847382	0.0621298	0.0461869	0.0532216	0.0405474	0.0327685	0.033622	0.0201285	0.0242138	0.0312791
a87	0.176115	0.132539	0.108695	0.0968093	0.0943194	0.0824168	0.0596209	0.0568401	0.0373031	0.0369604	0.0332121	0.0204755	0.0281315	0.0365614
a23	0.222262	0.141019	0.0993856	0.0862502	0.0856907	0.0677749	0.0522995	0.0569295	0.0389964	0.0359939	0.0357348	0.020967	0.0252903	0.0314059
a79	0.19969	0.132829	0.103328	0.0882688	0.0850953	0.0695456	0.0510877	0.0569089	0.040245	0.0376344	0.0406012	0.0242547	0.0304706	0.0400403
a44	0.202544	0.165376	0.152769	0.107189	0.0861098	0.0673841	0.0501562	0.0420458	0.0329468	0.0391148	0.0177859	0.00707973	0.010986	0.0185129
a75	0.145892	0.118978	0.124585	0.0978887	0.091175	0.0770459	0.0699728	0.0644458	0.0607521	0.0807393	0.0322215	0.0112467	0.0106859	0.0143715
a37	0.0611581	0.056416	0.0696505	0.0765431	0.0899821	0.0997235	0.105059	0.105528	0.0951377	0.116873	0.0537007	0.024796	0.0210629	0.0243697
a56	0.0440741	0.0450215	0.0622635	0.072928	0.0896	0.100422	0.104802	0.102586	0.0890044	0.116616	0.0665006	0.0379132	0.0322047	0.0360645
a69	0.0447003	0.0472108	0.064911	0.0750807	0.0859697	0.0929891	0.0965812	0.097952	0.0836124	0.100051	0.0709394	0.0470185	0.0430236	0.0499607
a4	0.0356147	0.0397025	0.0556697	0.0663045	0.0781505	0.0864511	0.0908272	0.0933421	0.0834849	0.0961018	0.0794213	0.0580051	0.0618608	0.0750639
a93	0.0241681	0.0274931	0.0406816	0.0569995	0.0780546	0.0946125	0.103986	0.101966	0.0870243	0.0882341	0.0817108	0.0676721	0.0673801	0.0800173
a96	0.0239879	0.0271108	0.0377079	0.0519187	0.0689944	0.0840553	0.094463	0.0936335	0.0809427	0.0830804	0.0886723	0.0888265	0.0838191	0.0927875
a62	0.0138328	0.0169224	0.0252565	0.03883	0.0543924	0.0696245	0.0806431	0.0825623	0.0756291	0.0723814	0.0930799	0.123558	0.121784	0.131503
a83	0.0110137	0.0131269	0.019003	0.029798	0.0417353	0.0565423	0.0666943	0.0722262	0.0634122	0.0602183	0.0841691	0.146341	0.167482	0.168238
a13	0.00662281	0.00815136	0.0123975	0.0240973	0.0357054	0.0496542	0.0586824	0.0639831	0.0577023	0.0500969	0.0790608	0.139524	0.196557	0.217765
a70	0.00642952	0.00708378	0.00979752	0.0190078	0.0322887	0.0520356	0.0669763	0.0740613	0.0713678	0.0733783	0.0974377	0.133959	0.167008	0.189169
a34	0.00456089	0.00495801	0.00689613	0.0123527	0.022145	0.0376933	0.0491957	0.0546073	0.0585797	0.0646827	0.109531	0.155954	0.196309	0.222535
a56	0.00362029	0.00394788	0.00543051	0.00946116	0.016191	0.0266538	0.0346694	0.039693	0.0434173	0.0509246	0.096719	0.15509	0.230733	0.283449
a93	0.00356824	0.00376977	0.00489448	0.00787815	0.0133759	0.024315	0.0337543	0.0410865	0.0463009	0.0582544	0.10519	0.146163	0.227505	0.283944
a4	0.00193172	0.00207265	0.00282164	0.00509071	0.00961905	0.0190387	0.0277257	0.0337245	0.0408743	0.0459711	0.0922855	0.140149	0.243741	0.334955
a13	0.00330596	0.00333721	0.00424264	0.00675389	0.0123585	0.0249391	0.0382871	0.0444798	0.0572226	0.0709656	0.125677	0.144862	0.204987	0.258581
a4	0.000590495	0.000586613	0.000700677	0.00117502	0.00218869	0.00497912	0.00894269	0.0117447	0.0164019	0.0216364	0.0576838	0.112882	0.289442	0.471045
a70	0.000641677	0.000627829	0.000758142	0.00120784	0.00221119	0.00492716	0.00899254	0.0116132	0.018103	0.0288516	0.0820193	0.139783	0.276024	0.424239
a66	0.000327461	0.000314914	0.000383767	0.000632423	0.00114468	0.0025505	0.00498604	0.00691955	0.0117476	0.016767	0.056412	0.118778	0.301985	0.477051
a83	9.01865e-05	8.72858e-05	9.7884e-05	0.000164502	0.000301869	0.000698823	0.00141015	0.0020269	0.00355935	0.00669568	0.0253995	0.0794912	0.330755	0.549222
a38	0.000137032	0.000132512	0.000138399	0.000197376	0.000298708	0.000591156	0.00117722	0.00187908	0.00347955	0.00823543	0.031464	0.112209	0.35664	0.483421
a37	6.76698e-05	5.89949e-05	5.59306e-05	7.42967e-05	0.00010414	0.000191068	0.00039059	0.000748834	0.00144536	0.00444448	0.0235176	0.10352	0.364406	0.500976
a66	8.14904e-05	6.79256e-05	6.392e-05	7.93179e-05	0.000103872	0.000168282	0.000319144	0.00061498	0.00129257	0.00447653	0.024318	0.10713	0.351416	0.509868
a38	8.4989e-05	6.69802e-05	6.00786e-05	7.01415e-05	9.29478e-05	0.000154347	0.000285393	0.000566666	0.00110281	0.00382551	0.0234171	0.10273	0.342438	0.525105
a66	0.000119519	8.7508e-05	7.46882e-05	8.11764e-05	9.85763e-05	0.000135635	0.000231021	0.000459977	0.000946375	0.00329085	0.0222812	0.107919	0.337852	0.526423
a9	0.00058325	0.000384135	0.00029303	0.000285141	0.000351361	0.000448472	0.000718442	0.00154168	0.00264663	0.00566716	0.0289531	0.11402	0.330583	0.513525
a99	0.0179917	0.0112015	0.00833252	0.00792469	0.00884795	0.00840641	0.0101238	0.0235018	0.0351099	0.0293132	0.0779216	0.141534	0.245168	0.374623
