 	le	sel	se	dissout	dans	l'	eau	</S>
a66	0.44693	0.240823	0.0949556	0.0621722	0.0400653	0.0355468	0.0352007	0.0443065
a87	0.283645	0.19531	0.171616	0.163143	0.0798549	0.0432499	0.0283272	0.0348545
a23	0.413844	0.278017	0.133345	0.081239	0.0314911	0.0195553	0.0168457	0.0256628
a58	0.311614	0.213782	0.136463	0.107911	0.0381893	0.0444769	0.0534549	0.0941089
a20	0.317611	0.207155	0.114468	0.12499	0.0502114	0.054549	0.048253	0.0827631
a7	0.334647	0.315362	0.164092	0.103436	0.0353133	0.018874	0.0147166	0.0135594
a90	0.160519	0.254464	0.215212	0.185048	0.0781192	0.0481562	0.0342917	0.0241897
a79	0.130699	0.230343	0.219263	0.193957	0.105051	0.0530686	0.0393903	0.0282278
a32	0.13391	0.207021	0.210756	0.195213	0.132468	0.0566157	0.036557	0.0274603
a75	0.0797611	0.118994	0.135469	0.180225	0.176211	0.115406	0.101115	0.0928184
a12	0.0333746	0.0521061	0.0874613	0.139051	0.221479	0.188063	0.149784	0.128681
a61	0.0206963	0.0242929	0.0395645	0.0704208	0.16465	0.2108	0.230213	0.239362
a21	0.0108668	0.0118624	0.0185957	0.0353551	0.124135	0.248716	0.27948	0.27099
a5	0.00533924	0.00570809	0.0088762	0.0198567	0.0852626	0.230605	0.313433	0.330919
a43	0.00424885	0.00527325	0.00989641	0.0244653	0.0811048	0.188141	0.28358	0.403291
a75	0.00330558	0.00436997	0.00832472	0.0185651	0.0617639	0.164735	0.310005	0.428931
a6	0.00114561	0.00166974	0.00338323	0.00855498	0.0388876	0.152901	0.280917	0.512541
a37	0.000424626	0.000614376	0.00145725	0.00399497	0.0208718	0.096717	0.262153	0.613768
a54	0.00106628	0.00172987	0.00329516	0.00696512	0.0305688	0.106364	0.300443	0.549569
a36	0.00165749	0.00271209	0.00419191	0.00658051	0.034014	0.126091	0.292473	0.532279
a2	0.0137529	0.0184387	0.0199695	0.0281508	0.0576086	0.123878	0.267184	0.471018
a57	0.122109	0.0991837	0.0760325	0.0641565	0.0687121	0.07997	0.178439	0.311397
a87	0.327927	0.20289	0.118453	0.0930251	0.0693636	0.0551491	0.0578531	0.0753394
a23	0.327059	0.233859	0.132168	0.105977	0.0702647	0.0475972	0.0369895	0.0460858
a10	0.115785	0.106333	0.095994	0.110134	0.127376	0.158282	0.155725	0.130371
a87	0.0316172	0.0352298	0.038034	0.0563872	0.0987072	0.176516	0.255099	0.30841
</S>	0.0198278	0.0220164	0.0227378	0.0349343	0.0739316	0.161111	0.282038	0.383403
