 	les	ouvrières	des	termites	sont	sur	le	bois	mort	</S>
a66	0.381034	0.454181	0.0904431	0.0186158	0.00765419	0.00917082	0.0118026	0.0104944	0.00933706	0.00726655
a87	0.547053	0.208554	0.111954	0.049784	0.0271281	0.0176444	0.0101875	0.00617974	0.00946555	0.0120495
a23	0.401007	0.427133	0.0888814	0.0233916	0.00963025	0.00846287	0.00781518	0.00659387	0.0124974	0.0145875
a40	0.166718	0.19629	0.185539	0.12873	0.0819627	0.0579481	0.0419089	0.0348852	0.0480192	0.0579986
a6	0.406785	0.343507	0.142879	0.0287327	0.0127283	0.00833236	0.00782239	0.0137767	0.0163467	0.0190902
a36	0.245377	0.211973	0.307452	0.125034	0.0598018	0.0195916	0.00936499	0.00708943	0.00638061	0.00793524
a11	0.0986852	0.120471	0.418234	0.180426	0.0997384	0.0375236	0.019518	0.0105727	0.00692491	0.00790656
a21	0.0466431	0.0534102	0.271868	0.237372	0.179834	0.0910003	0.0543486	0.0282316	0.0198621	0.0174297
a85	0.0559413	0.0432064	0.149927	0.174071	0.164372	0.139016	0.111176	0.0721367	0.0539549	0.0361999
a5	0.0184997	0.019914	0.0721811	0.111029	0.164907	0.168359	0.143757	0.115159	0.101134	0.0850593
a37	0.0188941	0.0106554	0.0221439	0.0461868	0.0986426	0.168347	0.216289	0.179496	0.139803	0.0995413
a75	0.00234683	0.00231219	0.00640288	0.0135762	0.0434523	0.115438	0.197636	0.254231	0.214473	0.150132
a5	0.000659408	0.000662015	0.00195416	0.00622273	0.0217621	0.0780471	0.166922	0.261752	0.251005	0.211014
a37	0.000595477	0.000728783	0.00123684	0.00293551	0.0111145	0.0500899	0.135951	0.281941	0.287648	0.227759
a53	0.000193503	0.000288708	0.000460963	0.00145378	0.00609901	0.0260087	0.0897217	0.240916	0.326287	0.308571
a93	0.000105584	0.00017664	0.000196381	0.000556483	0.0028193	0.0138011	0.0532151	0.20174	0.33098	0.396409
a44	0.000134212	0.000197624	0.000308006	0.000922476	0.00305864	0.0129055	0.0485543	0.200054	0.34165	0.392215
a13	0.000165232	0.000202692	0.000280726	0.000808856	0.00275362	0.0124411	0.0447564	0.178516	0.326263	0.433812
a3	0.00035895	0.000263269	0.000378565	0.000992258	0.00367065	0.0143996	0.0397389	0.127572	0.320202	0.492424
a97	0.00790338	0.00431194	0.00274257	0.00328932	0.00812022	0.0233278	0.0511563	0.158875	0.319514	0.42076
a99	0.0787989	0.0514199	0.0264331	0.0214765	0.0284105	0.0666773	0.116293	0.161575	0.213858	0.235058
a97	0.0449647	0.0280454	0.0174967	0.0149748	0.0215904	0.053562	0.104616	0.153426	0.234897	0.326427
a99	0.0683304	0.0495456	0.0314833	0.0228843	0.0270589	0.0585576	0.111759	0.169261	0.227613	0.233506
a97	0.00994958	0.0102039	0.012697	0.0113993	0.0170944	0.0369582	0.0934427	0.193048	0.28869	0.326517
</S>	0.00561143	0.00640087	0.0109656	0.0115704	0.0164305	0.0337202	0.0855073	0.172487	0.288012	0.369295
