 	j'	entretiens	de	bonnes	relations	avec	le	notable	okoumou	</S>
a66	0.216064	0.251096	0.20464	0.160548	0.0683352	0.0357793	0.0269111	0.0140489	0.0137938	0.00878264
a87	0.331954	0.196824	0.116563	0.0911338	0.0424435	0.0343917	0.0353189	0.0393976	0.0676421	0.0443305
a97	0.207917	0.190271	0.118547	0.0995096	0.0899156	0.0600697	0.0604191	0.053286	0.0635424	0.0565223
a99	0.171843	0.200615	0.112045	0.0959354	0.123623	0.081947	0.0768359	0.0579384	0.0486459	0.0305711
a13	0.242892	0.252304	0.130921	0.100243	0.0701318	0.0500951	0.0498068	0.0376256	0.0402985	0.0256822
a62	0.3237	0.277153	0.130119	0.084546	0.0235443	0.0187061	0.027869	0.0266082	0.0498897	0.0378645
a12	0.30893	0.194593	0.135062	0.124479	0.0597287	0.0453264	0.0496041	0.0278668	0.0316223	0.0227886
a47	0.156187	0.134319	0.126774	0.147121	0.146356	0.0934396	0.085457	0.0497788	0.0346036	0.0259649
a12	0.103972	0.0910191	0.0905474	0.107384	0.162687	0.111005	0.110806	0.0791119	0.0783508	0.0651159
a62	0.0799701	0.0920374	0.103814	0.136525	0.208134	0.11582	0.0952392	0.0689524	0.0523872	0.0471213
a12	0.0780482	0.0979639	0.0986607	0.120994	0.211979	0.115288	0.0896011	0.0693694	0.0561712	0.0619255
a47	0.0447871	0.0646182	0.0790655	0.104749	0.201742	0.132324	0.108299	0.0960169	0.07994	0.0884574
a21	0.035998	0.065359	0.0868416	0.109092	0.192893	0.145384	0.119249	0.0885147	0.0829576	0.073711
a92	0.0139184	0.0311858	0.0528478	0.0706211	0.132342	0.137505	0.132538	0.150233	0.143181	0.135627
a37	0.00605138	0.0159857	0.0307862	0.0450225	0.100592	0.137426	0.149909	0.176383	0.17659	0.161253
a56	0.00709566	0.0154405	0.0323833	0.0458574	0.0881148	0.125109	0.14489	0.171399	0.202279	0.167431
a93	0.00359326	0.00776941	0.0196813	0.0288208	0.0563487	0.0905659	0.116223	0.18337	0.239671	0.253957
a4	0.00168617	0.0036594	0.0103516	0.0155312	0.0317479	0.0603006	0.0836587	0.165448	0.252667	0.374949
a70	0.000653568	0.00129836	0.00460243	0.00712118	0.0172016	0.0402492	0.0629277	0.147084	0.265473	0.453389
a94	0.000257114	0.000422502	0.0012986	0.00183101	0.00415418	0.0122583	0.0282444	0.0979417	0.281627	0.571965
a70	0.000185256	0.000304356	0.000955309	0.00130377	0.00229638	0.0100872	0.0291509	0.11611	0.285645	0.553963
a13	0.000299082	0.000429522	0.00147687	0.00192478	0.00256891	0.0109277	0.0312787	0.114867	0.288085	0.548142
a3	0.00159242	0.00282976	0.0069181	0.00904176	0.0113566	0.034653	0.0668197	0.191494	0.287208	0.388086
a97	0.0330164	0.039707	0.039949	0.0454369	0.0517523	0.0721987	0.0883729	0.199771	0.194044	0.235751
a3	0.0463353	0.0518252	0.0431581	0.0452489	0.0514879	0.0707139	0.0854386	0.174643	0.206128	0.225021
a97	0.0231298	0.0280986	0.0280866	0.0322997	0.0414179	0.0612573	0.0824618	0.161241	0.24815	0.293857
a99	0.0109413	0.0140651	0.016967	0.0208278	0.030657	0.0486872	0.0721929	0.158081	0.278357	0.349224
a27	0.00459263	0.00582796	0.0100105	0.0155519	0.0232174	0.0535575	0.084698	0.183189	0.240937	0.378418
</S>	0.00619873	0.00905154	0.0137921	0.019192	0.0212332	0.0484	0.0767639	0.166211	0.228179	0.410979
