 	est-ce	vraiment	toi	qui	renonce	mon	manioc	</S>
a15	0.297271	0.193616	0.165166	0.0967364	0.119243	0.0747838	0.0289183	0.0242656
a66	0.322027	0.213735	0.173902	0.105123	0.0784812	0.0509999	0.0265642	0.0291678
a87	0.571502	0.226291	0.0848824	0.03581	0.018112	0.0154238	0.018732	0.0292465
a23	0.480485	0.275662	0.13089	0.0524498	0.0203767	0.0137839	0.010926	0.0154271
a87	0.399605	0.25134	0.145794	0.0788788	0.0349513	0.0310293	0.0248075	0.0335935
a23	0.410023	0.242331	0.138379	0.0722823	0.0387114	0.0354592	0.0266943	0.0361197
a87	0.266812	0.205862	0.145786	0.105443	0.0616917	0.0803035	0.051576	0.0825246
a23	0.314787	0.234276	0.160203	0.113374	0.0568487	0.051496	0.0276808	0.0413335
a53	0.256102	0.202218	0.14741	0.122398	0.0702365	0.0810348	0.0449266	0.0756741
a4	0.268185	0.207516	0.179226	0.162981	0.0780587	0.0560391	0.0244492	0.0235446
a94	0.204531	0.215203	0.203531	0.217459	0.0705005	0.0411142	0.0240257	0.023636
a43	0.135937	0.160062	0.187368	0.246032	0.11066	0.0662653	0.0445246	0.0491507
a31	0.119738	0.154729	0.185059	0.234483	0.122876	0.0699513	0.0518265	0.0613376
a47	0.124146	0.142778	0.173214	0.237503	0.142505	0.0703927	0.0504848	0.0589759
a94	0.144651	0.172651	0.188542	0.20975	0.123307	0.054325	0.0461725	0.0606019
a90	0.0899405	0.11997	0.165934	0.222771	0.166016	0.0781882	0.0692437	0.0879369
a25	0.0581026	0.0861913	0.137183	0.197274	0.181096	0.128406	0.104809	0.106937
a73	0.0387037	0.0623691	0.0986571	0.134622	0.15931	0.161241	0.168355	0.176742
a47	0.0400591	0.0625195	0.096716	0.135908	0.204388	0.139112	0.131187	0.190111
a54	0.0215697	0.0332454	0.0521253	0.0651357	0.140558	0.147324	0.189264	0.350778
a47	0.0227725	0.0319591	0.0509606	0.0756815	0.171291	0.185409	0.178621	0.283305
a6	0.0143679	0.0194069	0.0284166	0.0357083	0.107581	0.138515	0.19156	0.464444
a54	0.016581	0.0200466	0.0263635	0.0359515	0.122834	0.186595	0.210706	0.380922
a79	0.00993962	0.0107219	0.0117106	0.0150564	0.0474552	0.119539	0.228595	0.556982
a56	0.011204	0.0129342	0.014739	0.0184815	0.0715445	0.166099	0.251898	0.4531
a98	0.0107892	0.0106492	0.0106767	0.0140143	0.052585	0.163289	0.266536	0.47146
a79	0.00429756	0.00475489	0.00501731	0.00760632	0.0313125	0.117556	0.266612	0.562844
a15	0.00181178	0.00205371	0.00212843	0.00332123	0.0146595	0.0657341	0.261119	0.649173
a36	0.0045885	0.00402656	0.00355539	0.00449514	0.0151006	0.0756748	0.260385	0.632174
a2	0.0123874	0.00839802	0.00584163	0.00694165	0.0168161	0.0645193	0.236868	0.648228
a57	0.0685433	0.045067	0.0376649	0.0407659	0.0448447	0.0774388	0.200622	0.485054
a10	0.181557	0.0847932	0.0671803	0.0761256	0.0918501	0.103093	0.149355	0.246046
a87	0.252355	0.119149	0.0775248	0.0651526	0.0659351	0.100767	0.137903	0.181214
a23	0.236489	0.133514	0.0777903	0.0640205	0.0660387	0.121979	0.138418	0.161751
a99	0.0511047	0.0243526	0.0174285	0.0175401	0.031556	0.148002	0.309596	0.40042
a97	0.0275679	0.0133343	0.0118637	0.0172632	0.0347793	0.135791	0.330543	0.428858
</S>	0.0333448	0.0183315	0.0176086	0.0257313	0.0432485	0.105009	0.292371	0.464355
