 	nous	avons	attaché	le	cabri	sous	le	manguier	avec	une	corde	</S>
a66	0.25661	0.150102	0.112644	0.121404	0.083097	0.0581172	0.0645	0.0589044	0.0404813	0.0226792	0.0166559	0.0148049
a87	0.365813	0.168951	0.0807087	0.0512178	0.0407293	0.0375653	0.045439	0.0465268	0.0425231	0.0349472	0.040344	0.0452344
a23	0.269442	0.196796	0.096242	0.0903494	0.0735555	0.0641914	0.0528148	0.0386101	0.0322986	0.0262187	0.0253151	0.0341667
a83	0.256852	0.189651	0.0806047	0.0903823	0.0947509	0.100351	0.0602091	0.0253833	0.0202455	0.0195752	0.024469	0.037526
a24	0.24993	0.147793	0.0829734	0.0991314	0.094338	0.0929343	0.071772	0.0408699	0.0294747	0.0260588	0.0289484	0.0357759
a62	0.194832	0.160966	0.112988	0.142175	0.133641	0.116166	0.0644619	0.0212295	0.0126741	0.0125966	0.0140484	0.0142227
a21	0.1135	0.14225	0.136717	0.159666	0.167792	0.148723	0.0808203	0.0211737	0.00880831	0.00633971	0.00651944	0.00768994
a12	0.129038	0.160822	0.135319	0.158511	0.154118	0.133497	0.0780553	0.018899	0.0080161	0.00633882	0.00732409	0.0100622
a43	0.0688258	0.0982703	0.103869	0.12632	0.166778	0.201548	0.14499	0.0359968	0.013583	0.00989895	0.0118909	0.0180289
a62	0.0379348	0.0661152	0.0825585	0.101958	0.148959	0.209608	0.184329	0.061707	0.027725	0.0200017	0.0231144	0.0359888
a96	0.0361771	0.0565272	0.0962818	0.112121	0.159623	0.192902	0.165234	0.0737309	0.0331964	0.0213811	0.0210984	0.0317274
a93	0.0342603	0.0569049	0.0889546	0.107068	0.152683	0.1902	0.167902	0.0814304	0.0385528	0.0239262	0.0236938	0.0344251
a56	0.0218996	0.040402	0.065921	0.0849871	0.127232	0.178215	0.181103	0.104017	0.0583409	0.0400697	0.0423979	0.0554141
a0	0.031427	0.0428742	0.0730356	0.0905715	0.115098	0.120991	0.139612	0.122305	0.0858384	0.0583905	0.05597	0.0638869
a88	0.0185086	0.0226658	0.0464058	0.059406	0.0880239	0.106949	0.166429	0.158136	0.105383	0.0723804	0.0690659	0.0866454
a71	0.0106217	0.0121407	0.022304	0.0253239	0.0381473	0.0496744	0.109931	0.187492	0.182377	0.132619	0.113456	0.115912
a0	0.0147053	0.0142939	0.024381	0.0296465	0.0352289	0.0380403	0.0531421	0.0855065	0.107292	0.144108	0.194222	0.259433
a56	0.0129999	0.0130843	0.0209268	0.0248578	0.0296717	0.0325469	0.0429366	0.0779819	0.116743	0.15993	0.203695	0.264627
a44	0.00471444	0.00405021	0.00653169	0.00667707	0.0099956	0.013893	0.0287241	0.0717747	0.137555	0.204682	0.242501	0.268901
a43	0.00197774	0.00161861	0.00289583	0.00281861	0.00426184	0.00664077	0.0146744	0.0396161	0.0945133	0.177026	0.280176	0.373781
a21	0.00119035	0.000875628	0.00146891	0.00137989	0.0017953	0.00267178	0.00531694	0.0154342	0.0443559	0.113469	0.297193	0.514849
a25	0.000402651	0.000341489	0.000529579	0.000506567	0.000685398	0.0011108	0.0034632	0.0145344	0.0555815	0.174409	0.311938	0.436497
a94	0.000103131	7.33274e-05	0.000137736	0.000130866	0.000205297	0.000362309	0.00121554	0.00601422	0.0286245	0.11181	0.298521	0.552801
a98	0.000443687	0.00028312	0.000521189	0.00047976	0.000521426	0.000621803	0.00157072	0.00965462	0.0457459	0.137647	0.30984	0.49267
a92	0.000187802	0.000113235	0.000223945	0.000165387	0.000222628	0.000335249	0.000974606	0.00583635	0.0290181	0.111879	0.303282	0.547762
a37	6.63139e-05	4.03551e-05	8.41916e-05	6.36919e-05	9.82585e-05	0.000213044	0.00111774	0.00766568	0.0327783	0.121074	0.315825	0.520974
a26	0.000604258	0.000509299	0.000872709	0.000799271	0.00106706	0.00143753	0.00413131	0.0200788	0.0654492	0.156135	0.292498	0.456418
a82	0.0808111	0.0512995	0.0657645	0.0461792	0.0349269	0.0217217	0.024883	0.0427815	0.0630045	0.0912514	0.18395	0.293427
a87	0.317369	0.186485	0.138744	0.081166	0.0483475	0.0233845	0.0199431	0.0251019	0.029103	0.0313909	0.0433062	0.0556587
a23	0.237874	0.145927	0.111725	0.0802711	0.0586556	0.0331322	0.024045	0.0311226	0.0408026	0.0580213	0.0820531	0.0963697
a99	0.0305933	0.0166233	0.011568	0.00514277	0.00353858	0.00215783	0.0030364	0.0107594	0.0365028	0.109161	0.337027	0.43389
a97	0.0193151	0.0120913	0.00749335	0.00395275	0.00323088	0.0027298	0.00561946	0.0194444	0.0530799	0.124466	0.309317	0.43926
</S>	0.0123607	0.0096285	0.0063102	0.00396574	0.00422374	0.0047079	0.00924582	0.0227408	0.0515227	0.108205	0.291256	0.475833
