 	maintenant	il	a	un	métier	</S>
a10	0.448167	0.206416	0.127597	0.0828688	0.0625664	0.0723852
a87	0.261462	0.139642	0.155664	0.133728	0.151828	0.157676
a79	0.28975	0.147944	0.13235	0.120793	0.14985	0.159314
a73	0.493958	0.135302	0.0982893	0.0854814	0.0999598	0.0870094
a41	0.590096	0.181633	0.0840477	0.0576413	0.0515758	0.0350061
a44	0.555028	0.262279	0.097899	0.0413953	0.0270099	0.0163894
a58	0.463366	0.277941	0.11634	0.0590334	0.0474485	0.0358717
a38	0.388228	0.291422	0.134399	0.0712021	0.0580238	0.0567252
a24	0.376894	0.296658	0.137281	0.0723484	0.0585978	0.0582209
a76	0.248651	0.220951	0.17818	0.132082	0.118178	0.101958
a73	0.249905	0.212255	0.174466	0.12569	0.121165	0.116518
a84	0.149152	0.14381	0.157601	0.145762	0.192302	0.211373
a87	0.0518507	0.0677366	0.119998	0.174173	0.258771	0.32747
a23	0.0469429	0.0675273	0.13674	0.221057	0.252955	0.274777
a79	0.0163588	0.0200844	0.0788368	0.211751	0.298511	0.374458
a76	0.0281063	0.0321923	0.0794665	0.195634	0.276361	0.38824
a94	0.0228661	0.0272185	0.0681879	0.191212	0.309319	0.381197
a24	0.00725135	0.00694291	0.0214127	0.0938613	0.283807	0.586725
a31	0.00377261	0.00333399	0.0130111	0.066602	0.254088	0.659192
a24	0.00645615	0.00493391	0.0169233	0.0731203	0.257353	0.641213
a32	0.00599535	0.00414803	0.0133665	0.0532626	0.22973	0.693497
a75	0.00738947	0.00531014	0.0166344	0.0603912	0.245288	0.664987
a41	0.00424142	0.00306573	0.0105336	0.0484473	0.193037	0.740675
a76	0.00351212	0.00266537	0.010813	0.0548176	0.218526	0.709666
a73	0.00609223	0.00658477	0.0278929	0.0965671	0.27073	0.592134
a84	0.00322652	0.00263145	0.0109568	0.054636	0.249533	0.679016
a57	0.00433907	0.00433895	0.0136647	0.0545403	0.203063	0.720054
a87	0.0259745	0.0248753	0.0426612	0.0850875	0.200663	0.620738
</S>	0.0260191	0.0303946	0.0550011	0.106219	0.219962	0.562404
