 	j'	ai	attrapé	un	grillon	oeuvé	</S>
a66	0.319736	0.166979	0.106792	0.095786	0.108242	0.104377	0.0980886
a87	0.446185	0.22003	0.107356	0.0722298	0.0673432	0.0588292	0.028027
a97	0.444208	0.326089	0.137353	0.0362041	0.0222442	0.0199714	0.0139308
a87	0.403583	0.32176	0.166694	0.0435743	0.0246391	0.0242186	0.0155311
a97	0.411792	0.299103	0.155633	0.0440639	0.0309377	0.0357873	0.022684
a3	0.47961	0.250676	0.122889	0.0442496	0.0335876	0.0395518	0.0294358
a99	0.569201	0.234556	0.0824455	0.0265545	0.0243251	0.0321399	0.0307783
a18	0.511121	0.200719	0.0843718	0.0418159	0.0413746	0.0628313	0.0577669
a50	0.30707	0.197746	0.116503	0.0785222	0.0844535	0.113101	0.102604
a98	0.229345	0.216897	0.174891	0.118846	0.0935671	0.0865128	0.0799413
a71	0.293317	0.313479	0.212962	0.0872649	0.0454668	0.0272801	0.0202306
a38	0.16948	0.234802	0.253748	0.152978	0.0876628	0.0557186	0.0456106
a50	0.146229	0.20284	0.245955	0.166734	0.10009	0.0764615	0.061691
a83	0.09967	0.132584	0.229652	0.204391	0.128373	0.103187	0.102143
a99	0.0989674	0.117148	0.210756	0.20259	0.134779	0.123386	0.112373
a93	0.0757618	0.0920782	0.181265	0.217261	0.148258	0.138638	0.146739
a4	0.0957306	0.107312	0.184133	0.237326	0.156041	0.11967	0.0997876
a70	0.0647366	0.0894561	0.180819	0.250994	0.176286	0.138009	0.0996989
a56	0.0322584	0.0390614	0.0956881	0.209903	0.219945	0.207628	0.195516
a40	0.0373474	0.0437049	0.0961634	0.19488	0.216695	0.215323	0.195886
a35	0.0488997	0.0495717	0.078342	0.163516	0.198044	0.219417	0.242209
a26	0.0440896	0.0385688	0.0481965	0.10044	0.183454	0.237094	0.348158
a38	0.00729012	0.00635035	0.00981131	0.0309161	0.101081	0.230164	0.614387
a24	0.00473626	0.00410007	0.00564486	0.0179479	0.0751831	0.21384	0.678548
a71	0.00437224	0.00371426	0.00454926	0.014281	0.0635309	0.197239	0.712313
a9	0.00887452	0.00800469	0.00904702	0.0187094	0.0670736	0.222085	0.666205
a3	0.0295604	0.0249672	0.0261132	0.0368059	0.0815115	0.221475	0.579567
a97	0.131739	0.0874317	0.0665998	0.0655286	0.114445	0.205381	0.328875
a3	0.279151	0.164414	0.0903356	0.0601991	0.0962568	0.139883	0.169761
a97	0.331751	0.211818	0.103445	0.0568848	0.0884674	0.101826	0.105809
a3	0.273396	0.197591	0.111933	0.0821908	0.11855	0.112508	0.103832
a97	0.27176	0.21758	0.142245	0.0968655	0.109202	0.088202	0.0741457
a3	0.302904	0.240107	0.146101	0.0900317	0.0866366	0.065393	0.0688272
</S>	0.26914	0.227626	0.152286	0.0932739	0.0930764	0.0774259	0.087173
