 	le	beau-frère	m'	a	apporté	du	vin	de	palme	</S>
a87	0.194734	0.164153	0.231001	0.178201	0.116188	0.0564591	0.0258004	0.0129691	0.0105464	0.00994819
a23	0.235327	0.198599	0.197737	0.136968	0.0970574	0.0483224	0.0288716	0.0189951	0.0180425	0.0200806
a99	0.198346	0.274609	0.165617	0.104148	0.0710752	0.0298981	0.0242062	0.0270162	0.0404433	0.0646411
a38	0.307863	0.280389	0.149129	0.0918995	0.0479475	0.0229949	0.0179383	0.0195198	0.0254316	0.0368865
a56	0.457063	0.209163	0.131095	0.0951901	0.0394494	0.0153532	0.0105486	0.0115987	0.0140972	0.0164409
a93	0.412676	0.27046	0.120636	0.0844332	0.0431973	0.0133566	0.00987471	0.0115758	0.0157294	0.0180612
a13	0.334066	0.287969	0.107115	0.0834395	0.052904	0.0246406	0.0205365	0.0224412	0.0292764	0.0376117
a75	0.242058	0.283521	0.120794	0.0861629	0.0624733	0.0396065	0.0358773	0.0370843	0.0428362	0.0495875
a21	0.210287	0.246536	0.141631	0.0966788	0.0599595	0.0316887	0.0289004	0.0381463	0.0578635	0.0883098
a61	0.224984	0.294338	0.163541	0.103815	0.0650512	0.02841	0.0220532	0.0238353	0.0309663	0.0430064
a12	0.182956	0.265943	0.162451	0.103878	0.0705436	0.0369989	0.0313173	0.0357996	0.0459859	0.0641277
a96	0.148484	0.272535	0.182791	0.122571	0.084514	0.0391751	0.0279085	0.0305821	0.0382759	0.0531639
a75	0.105747	0.239903	0.184914	0.128417	0.0914265	0.0486574	0.0358646	0.0400453	0.0505522	0.0744731
a85	0.104987	0.183847	0.145374	0.115668	0.0968637	0.0633899	0.0499611	0.0570138	0.0715603	0.111335
a37	0.0794962	0.120108	0.110398	0.0943104	0.0951358	0.0795924	0.0758211	0.0888444	0.106435	0.149859
a75	0.0873198	0.143045	0.146905	0.141936	0.123193	0.0888467	0.0584301	0.0549688	0.0619604	0.0933953
a92	0.0826741	0.0871482	0.0715898	0.0702244	0.0673308	0.0650342	0.0691111	0.110332	0.139166	0.23739
a37	0.077089	0.0716458	0.0587028	0.0598417	0.0611867	0.0618348	0.0687376	0.118697	0.154868	0.267396
a76	0.0659838	0.0834302	0.0768104	0.0817199	0.0818431	0.0806043	0.07634	0.0977207	0.127218	0.22833
a25	0.0661609	0.0574196	0.0568687	0.0626239	0.0590776	0.0589605	0.06203	0.114544	0.165484	0.29683
a92	0.0653825	0.0610039	0.0533377	0.0598012	0.0586282	0.0705501	0.0759346	0.111341	0.150094	0.293927
a34	0.0838601	0.0551605	0.0447353	0.0470387	0.0420463	0.0455537	0.053619	0.105158	0.171179	0.351649
a21	0.0366927	0.0346516	0.0282284	0.0323814	0.0352876	0.0490385	0.0739764	0.152177	0.208376	0.34919
a12	0.0929614	0.0779939	0.0593663	0.0559325	0.047583	0.0501906	0.0669158	0.123581	0.176204	0.249271
a96	0.0343116	0.0357749	0.0271875	0.0271449	0.0295671	0.0364406	0.0595421	0.132367	0.224209	0.393454
a61	0.0107735	0.0112691	0.0101252	0.011422	0.013588	0.0207009	0.0397183	0.115095	0.260451	0.506857
a21	0.0127958	0.0122045	0.00944516	0.0105612	0.0132551	0.0208897	0.0412729	0.124214	0.263153	0.492209
a12	0.017097	0.0149512	0.0118268	0.0122443	0.0135737	0.0203603	0.0394356	0.114876	0.258257	0.497378
a25	0.00752871	0.00726038	0.00544123	0.00603033	0.00749707	0.013028	0.0291764	0.0995525	0.260211	0.564274
a87	0.0021021	0.00239174	0.00299016	0.00349782	0.0043691	0.00912794	0.0219562	0.0874393	0.257959	0.608167
a23	0.0164356	0.0132528	0.0114405	0.0164145	0.0204059	0.0445236	0.0765397	0.148212	0.227917	0.424859
a87	0.00399214	0.00466404	0.00684516	0.0103745	0.0179699	0.0409286	0.0808966	0.170417	0.27753	0.386382
</S>	0.00594755	0.00722699	0.0128984	0.0188614	0.029584	0.0602013	0.104973	0.16141	0.233314	0.365584
