 	il	s'	est	blessé	à	la	jambe	</S>
a85	0.314587	0.235628	0.136068	0.0946339	0.0849744	0.0699817	0.038693	0.0254333
a87	0.263221	0.197621	0.185724	0.142003	0.0887531	0.0554562	0.0380834	0.0291378
a23	0.174007	0.134989	0.146223	0.144567	0.107171	0.070839	0.103811	0.118393
a13	0.170003	0.139114	0.151151	0.117748	0.0923446	0.0712153	0.115829	0.142594
a9	0.340702	0.321832	0.168525	0.0630589	0.0326017	0.0264516	0.0234038	0.0234252
a38	0.324138	0.305373	0.182872	0.0785984	0.0429836	0.0259566	0.0224446	0.0176336
a76	0.253337	0.238066	0.174374	0.10721	0.0744172	0.0560024	0.0530117	0.0435823
a56	0.164401	0.184189	0.190881	0.149137	0.11795	0.0862433	0.0600127	0.0471858
a24	0.19803	0.228136	0.214976	0.140401	0.0939733	0.0552222	0.0370952	0.0321664
a18	0.166198	0.20426	0.204816	0.153686	0.114237	0.0683353	0.0467142	0.0417534
a25	0.123135	0.149005	0.194189	0.184184	0.143132	0.0902507	0.0607891	0.0553165
a40	0.0703359	0.0867013	0.14604	0.186211	0.172023	0.135612	0.10341	0.0996666
a30	0.138193	0.150535	0.173493	0.146463	0.125229	0.102469	0.0834394	0.0801778
a41	0.166127	0.167535	0.175362	0.13542	0.122407	0.0975206	0.0718819	0.0637462
a94	0.0780241	0.0829374	0.112353	0.136648	0.164751	0.169641	0.133631	0.122015
a24	0.0593419	0.0668484	0.083483	0.111782	0.165019	0.193419	0.170329	0.149778
a32	0.0218699	0.0247668	0.0359376	0.064654	0.12214	0.19795	0.261456	0.271225
a25	0.0274875	0.0267359	0.0300605	0.044163	0.0909069	0.176384	0.282605	0.321657
a76	0.0128884	0.0123891	0.0168469	0.0280941	0.0602206	0.147815	0.308654	0.413091
a32	0.022823	0.0196524	0.0178647	0.0217492	0.0480912	0.134009	0.291085	0.444726
a56	0.0119389	0.0112048	0.0122593	0.0192644	0.0484987	0.131888	0.300024	0.464922
a41	0.019272	0.016837	0.0151077	0.0185976	0.0374263	0.102715	0.264296	0.525748
a27	0.00553346	0.00495687	0.00598689	0.0107287	0.0291679	0.0990992	0.314731	0.529796
a58	0.00757936	0.00541433	0.00513822	0.00660131	0.0135791	0.0502457	0.230856	0.680586
a53	0.00448942	0.00300429	0.00317971	0.00449919	0.00939884	0.0364963	0.223138	0.715794
a4	0.00513656	0.003973	0.00491681	0.0082193	0.0214831	0.0713043	0.287537	0.59743
a57	0.00303027	0.00251717	0.00346741	0.00579994	0.0131352	0.0424156	0.229858	0.699777
a3	0.00558502	0.00460771	0.00606188	0.00985752	0.0220623	0.0581473	0.244539	0.64914
a87	0.00657545	0.0052495	0.00671942	0.0121982	0.0306173	0.0743759	0.269884	0.59438
</S>	0.0135647	0.0113328	0.0122673	0.0152019	0.0300776	0.0654175	0.275491	0.576647
