 	j'	adresse	mes	regrets	au	sorcier	qui	a	fait	de	moi	un	orphelin	</S>
a66	0.187881	0.125595	0.077871	0.0544941	0.0645678	0.0707174	0.0690895	0.0758518	0.0841034	0.0733691	0.0474355	0.0266129	0.020769	0.0216425
a87	0.422052	0.315827	0.106903	0.0243304	0.00957508	0.00882258	0.00833398	0.0116298	0.0160107	0.015131	0.0128444	0.0123944	0.0150741	0.0210726
a23	0.517389	0.302149	0.0798733	0.0262182	0.00865895	0.0071235	0.00621055	0.00700453	0.00735786	0.00654231	0.00561819	0.00574715	0.00774689	0.0123601
a83	0.495684	0.263789	0.0806462	0.0379065	0.0107918	0.00914605	0.0082766	0.00972988	0.00978728	0.00914756	0.00953432	0.0116923	0.0158742	0.0279942
a54	0.346913	0.161156	0.056938	0.031876	0.0284684	0.0341397	0.0354038	0.0393322	0.0305496	0.0288976	0.0321786	0.0417757	0.0520413	0.0803302
a41	0.115664	0.1342	0.116652	0.0833275	0.051238	0.0623204	0.05337	0.0628428	0.0491871	0.0416377	0.0455289	0.0501002	0.0545321	0.0793989
a5	0.103307	0.123467	0.113147	0.107586	0.0862716	0.0855741	0.0564859	0.0570351	0.0434847	0.0311534	0.0338711	0.0379525	0.0465363	0.0741278
a18	0.217328	0.20198	0.121596	0.117717	0.0681611	0.0650294	0.0370103	0.0305479	0.0209464	0.0146195	0.0179793	0.0187104	0.0256001	0.0427755
a36	0.0648976	0.0640228	0.0848718	0.12212	0.164898	0.163609	0.104367	0.0652704	0.0347538	0.0218222	0.0213154	0.020146	0.0262	0.0417061
a85	0.0439335	0.0412892	0.0615057	0.0978092	0.167929	0.154435	0.0954428	0.0653822	0.0441329	0.0342762	0.0344763	0.0349494	0.0467839	0.077655
a6	0.0218529	0.0182097	0.030027	0.0716017	0.123522	0.153623	0.121364	0.0918007	0.0592973	0.0383471	0.0410289	0.0467466	0.0752017	0.107378
a79	0.018368	0.014065	0.0188844	0.0460255	0.105157	0.144478	0.123521	0.1063	0.0782937	0.052336	0.0500085	0.0539378	0.0793547	0.109271
a37	0.00868916	0.00677251	0.0104251	0.030447	0.103308	0.151546	0.144943	0.126769	0.0963835	0.0603721	0.0487685	0.0487236	0.068651	0.094202
a21	0.00798828	0.00478759	0.00690113	0.0177371	0.0886857	0.135571	0.154916	0.145334	0.123236	0.0732732	0.0504404	0.0470739	0.0617995	0.0822563
a92	0.0127733	0.00869716	0.0101067	0.0162012	0.0516888	0.0789381	0.115147	0.136848	0.162063	0.117203	0.075182	0.0598357	0.0701557	0.0851598
a25	0.00465688	0.00230537	0.00285745	0.00538551	0.0188573	0.0387977	0.0735807	0.120855	0.17546	0.153789	0.111706	0.0868872	0.092553	0.11231
a92	0.00219037	0.00120412	0.00163166	0.00446096	0.0165692	0.0311743	0.0651911	0.10467	0.163443	0.148579	0.101222	0.0846079	0.115946	0.159109
a25	0.00158603	0.00085988	0.00109285	0.00244038	0.0106565	0.0236727	0.0482722	0.0812643	0.135106	0.160003	0.146103	0.118905	0.127631	0.142408
a56	0.00167138	0.000956853	0.0011266	0.0025764	0.0108742	0.0216696	0.0482728	0.0761449	0.122683	0.141021	0.133286	0.122435	0.141975	0.175307
a21	0.00257103	0.00144459	0.00111767	0.00163027	0.0054021	0.0120052	0.0286592	0.0472642	0.0903232	0.119811	0.123608	0.133188	0.184846	0.248128
a47	0.00263519	0.00172061	0.00182567	0.00227553	0.00434133	0.00845432	0.0179327	0.0316463	0.0730807	0.117028	0.157748	0.182759	0.198731	0.199822
a31	0.00390623	0.00248863	0.00228801	0.00313384	0.0072185	0.0129967	0.0288639	0.04254	0.068923	0.0860884	0.0962419	0.13003	0.219291	0.29599
a47	0.00434361	0.00250832	0.00252567	0.00298164	0.00562836	0.00988133	0.0238255	0.0371628	0.0626375	0.0845789	0.109229	0.156387	0.235607	0.262703
a75	0.00335383	0.00189822	0.00213114	0.00310713	0.0061077	0.00994887	0.0223641	0.0313828	0.0483286	0.0623474	0.086185	0.150795	0.262769	0.309281
a5	0.000617877	0.000310848	0.000292495	0.000518711	0.00123669	0.00312848	0.00908023	0.0172702	0.036216	0.054762	0.0868222	0.160358	0.294543	0.334844
a41	0.00174491	0.000973191	0.000653999	0.000812014	0.00186561	0.00345883	0.00874122	0.015524	0.0311383	0.0426531	0.0636887	0.13675	0.294045	0.397952
a75	0.000991759	0.000621639	0.000393109	0.00050816	0.00110503	0.00221199	0.00599568	0.0117077	0.02387	0.0352648	0.0586084	0.136808	0.302372	0.419542
a85	0.000938681	0.000563279	0.00041106	0.000513999	0.0009765	0.00206743	0.00577618	0.0111793	0.0231449	0.0365118	0.064755	0.138377	0.318465	0.39632
a6	0.000793029	0.000474915	0.000351839	0.000438064	0.000829795	0.00184239	0.00453452	0.0084967	0.0182326	0.0294407	0.0535325	0.122029	0.326206	0.432798
a36	0.000773133	0.000460955	0.000352562	0.000423479	0.000890211	0.00162737	0.00389805	0.00665167	0.0134153	0.0234506	0.0469358	0.116755	0.333819	0.450546
a26	0.00185195	0.00111854	0.000837277	0.000716009	0.00155441	0.00267805	0.00528476	0.00815311	0.0135926	0.021438	0.0423697	0.121442	0.314258	0.464705
a57	0.0736932	0.037979	0.0268415	0.0170646	0.0178603	0.021778	0.0252905	0.0263449	0.0326971	0.0443318	0.0727702	0.117132	0.215199	0.271018
a87	0.193505	0.0963041	0.0530444	0.029416	0.0243674	0.0292339	0.0326706	0.0290371	0.0317936	0.0415542	0.0602027	0.0807127	0.125152	0.173006
a23	0.344559	0.214245	0.0652388	0.0297408	0.0218146	0.0212501	0.0195631	0.0174854	0.018954	0.0237583	0.0351456	0.0455869	0.0635685	0.0790904
a99	0.125287	0.0778063	0.0187826	0.00760504	0.00762899	0.00835262	0.00784305	0.00910779	0.0166563	0.0326994	0.0732216	0.141925	0.233542	0.239542
a87	0.0921337	0.0525474	0.0191042	0.013021	0.0185831	0.019842	0.0189411	0.0211879	0.0310658	0.0409631	0.0632722	0.11318	0.221026	0.275132
a97	0.0312281	0.0211451	0.00554402	0.003058	0.0038042	0.00514321	0.00591389	0.0087511	0.0161454	0.0238711	0.0415243	0.0958936	0.269925	0.468054
</S>	0.0897906	0.0658032	0.0157786	0.00960598	0.016054	0.0198386	0.0210855	0.0242057	0.0330209	0.036216	0.0475415	0.0850184	0.197565	0.338476
