 	vous	avez	refusé	de	venir	pourquoi	</S>
a87	0.294487	0.141913	0.111361	0.169951	0.143506	0.0756165	0.0631657
a10	0.248945	0.184446	0.0958609	0.102317	0.108187	0.121313	0.138931
a87	0.364552	0.232203	0.151243	0.100001	0.0510473	0.0436064	0.0573482
a23	0.416366	0.224811	0.129221	0.0843214	0.0504968	0.0426617	0.0521232
a62	0.348162	0.306467	0.131644	0.0664622	0.0345531	0.0431485	0.0695632
a12	0.482608	0.315986	0.111682	0.0477344	0.0145938	0.012368	0.0150281
a21	0.455489	0.330382	0.125986	0.0480298	0.015432	0.0112943	0.0133878
a12	0.413657	0.333264	0.158181	0.0565174	0.0161961	0.0107472	0.0114377
a18	0.319294	0.290669	0.216336	0.103513	0.0339593	0.0187152	0.0175134
a61	0.101548	0.130519	0.305171	0.261276	0.0974222	0.0534893	0.0505748
a75	0.0910795	0.106886	0.304242	0.290732	0.109973	0.0505768	0.0465114
a21	0.0717317	0.0630449	0.16501	0.246743	0.18882	0.126145	0.138505
a85	0.130921	0.0931985	0.140112	0.220952	0.218556	0.110171	0.0860893
a47	0.0521001	0.0340214	0.0506336	0.0935019	0.190638	0.237413	0.341692
a37	0.0273933	0.0190693	0.0369033	0.0855569	0.21432	0.261784	0.354973
a21	0.0263352	0.0181855	0.040188	0.0801012	0.1492	0.262337	0.423652
a5	0.0260594	0.0228341	0.0402936	0.0713025	0.172292	0.296391	0.370827
a18	0.00960931	0.00940194	0.0239703	0.0495965	0.139336	0.304067	0.464019
a25	0.00383144	0.00349827	0.0140829	0.0357772	0.0938271	0.237322	0.611661
a3	0.00286295	0.00272495	0.0054202	0.0133411	0.0639467	0.242664	0.66904
a87	0.0178154	0.0134388	0.0168273	0.037532	0.147487	0.292149	0.474751
a23	0.195244	0.103524	0.0663187	0.0872662	0.156773	0.186529	0.204346
a82	0.0379606	0.0178108	0.0250875	0.0540537	0.177948	0.32763	0.359509
a3	0.0205785	0.0147909	0.02605	0.0468821	0.137047	0.282069	0.472582
a99	0.0443551	0.0318563	0.0331475	0.048885	0.118067	0.258383	0.465306
a97	0.0515324	0.0413807	0.0411083	0.0557588	0.118488	0.253493	0.438239
a87	0.0623813	0.0463791	0.0431101	0.0517768	0.103486	0.23419	0.458676
</S>	0.118588	0.0710282	0.0495773	0.0507124	0.0852518	0.199082	0.425761
