 	cette	jeune	fille	a	des	cheveux	touffus	</S>
a66	0.257185	0.155983	0.161655	0.171137	0.151382	0.0569367	0.0267298	0.0189916
a87	0.48226	0.197738	0.0659305	0.0462775	0.0428711	0.0524584	0.0468562	0.0656088
a23	0.429741	0.194145	0.103787	0.0685059	0.0592032	0.0487295	0.0394831	0.0564059
a54	0.393812	0.189436	0.122172	0.0871741	0.0561701	0.0473546	0.0504574	0.0534238
a79	0.227442	0.158225	0.104625	0.0938803	0.102762	0.0892075	0.106684	0.117175
a56	0.182788	0.156928	0.133808	0.147096	0.168069	0.0964283	0.0597458	0.0551364
a47	0.166019	0.169781	0.168937	0.190698	0.181633	0.0644412	0.0327833	0.0257076
a93	0.142778	0.128713	0.173888	0.205972	0.182667	0.079775	0.05055	0.0356567
a90	0.120069	0.141587	0.184834	0.229315	0.189927	0.0615839	0.0350867	0.037598
a92	0.10295	0.146615	0.173029	0.213552	0.188925	0.0700681	0.0467963	0.0580652
a21	0.125736	0.168535	0.18807	0.20505	0.167475	0.0582426	0.0379891	0.0489018
a5	0.0716924	0.11914	0.179729	0.2197	0.197217	0.086069	0.0583907	0.0680626
a43	0.0420476	0.0755715	0.151217	0.212241	0.205002	0.108185	0.0900681	0.115667
a62	0.0361511	0.0513623	0.113687	0.17789	0.194387	0.132375	0.118705	0.175441
a47	0.0196267	0.0230713	0.0517053	0.110564	0.166638	0.209171	0.197222	0.222002
a96	0.0285419	0.0318292	0.0675381	0.125635	0.156123	0.194284	0.193015	0.203033
a66	0.0155107	0.0157829	0.0314668	0.0672557	0.112994	0.202215	0.273105	0.281671
a75	0.00701593	0.00596643	0.0144459	0.0290232	0.0459528	0.110626	0.289994	0.496976
a85	0.00173741	0.0016885	0.00460212	0.0139436	0.0327039	0.100678	0.3086	0.536047
a0	0.000614191	0.000609529	0.00173413	0.00547847	0.0155477	0.0660636	0.298522	0.61143
a56	0.00160453	0.00127203	0.00251509	0.00574757	0.0148563	0.0647918	0.232711	0.676502
a93	0.00274129	0.00220383	0.00374761	0.00731891	0.0173648	0.0721782	0.24886	0.645585
a4	0.00230408	0.00207754	0.00316494	0.00623557	0.0160611	0.0767421	0.26362	0.629795
a13	0.0016081	0.00150218	0.00244041	0.00449625	0.0110144	0.0540682	0.228525	0.696345
a3	0.00263486	0.00250822	0.00549154	0.0100586	0.0276626	0.100961	0.286061	0.564622
a87	0.0379389	0.0247999	0.0294623	0.0438119	0.0695497	0.138952	0.287856	0.36763
a23	0.265686	0.156066	0.0888153	0.0721652	0.0704704	0.0955675	0.122134	0.129096
a87	0.115216	0.036945	0.0134961	0.0121745	0.0147987	0.0439993	0.153859	0.609511
a97	0.0289633	0.0114769	0.00612251	0.00775419	0.0145348	0.0477479	0.167613	0.715787
</S>	0.0432783	0.0248889	0.0203476	0.0285017	0.0416186	0.0862331	0.190603	0.564528
