 	les	chiots	gémissent	dans	leur	cage	</S>
a66	0.435991	0.330256	0.134187	0.0477043	0.0227981	0.0159441	0.01312
a10	0.496032	0.179579	0.0845577	0.057869	0.0484766	0.0613197	0.0721664
a87	0.670532	0.193405	0.0270463	0.0142559	0.0165978	0.0249342	0.053229
a23	0.609252	0.248986	0.0349679	0.0176676	0.0175457	0.0237369	0.0478438
a87	0.639204	0.178738	0.047186	0.0272133	0.0215375	0.030738	0.0553833
a10	0.5787	0.172474	0.049063	0.0356266	0.0332193	0.0457953	0.0851218
a99	0.554369	0.126034	0.0486574	0.0416075	0.0441303	0.0673422	0.11786
a54	0.464942	0.129087	0.0717461	0.0607022	0.0592382	0.0850088	0.129276
a6	0.424507	0.138434	0.0643861	0.062319	0.0714796	0.115941	0.122933
a37	0.248636	0.138282	0.146583	0.126008	0.102161	0.116434	0.121895
a47	0.261904	0.179864	0.1857	0.124347	0.0844201	0.0773761	0.086388
a7	0.196584	0.175761	0.180479	0.133117	0.10219	0.099441	0.112427
a54	0.18655	0.195642	0.212515	0.125368	0.0935302	0.0899515	0.0964435
a6	0.103217	0.165291	0.265096	0.140952	0.104636	0.108154	0.112656
a37	0.11144	0.158977	0.217019	0.148539	0.11932	0.11994	0.124765
a53	0.124973	0.228425	0.253736	0.122618	0.0869085	0.0841359	0.0992037
a4	0.109544	0.229126	0.246448	0.147041	0.100249	0.0816554	0.0859371
a15	0.0655094	0.190392	0.234235	0.169764	0.123329	0.101726	0.115045
a47	0.0257495	0.0898789	0.137567	0.174611	0.178166	0.184566	0.209461
a36	0.0309591	0.1352	0.175854	0.13976	0.123338	0.164553	0.230336
a0	0.0245529	0.0834673	0.217023	0.145571	0.12159	0.16302	0.244777
a12	0.0196636	0.0548991	0.152017	0.169483	0.151673	0.183897	0.268368
a96	0.0192742	0.0449667	0.130735	0.192438	0.182742	0.186153	0.24369
a62	0.0100472	0.0207212	0.0629737	0.156703	0.209021	0.240674	0.299861
a61	0.00839016	0.0166622	0.0481914	0.131634	0.203096	0.265877	0.32615
a0	0.00259403	0.00508421	0.0162245	0.070478	0.159471	0.311624	0.434524
a54	0.00194074	0.00341427	0.00687118	0.0423817	0.137536	0.305586	0.50227
a36	0.000681721	0.00146649	0.00536541	0.0330428	0.111066	0.292128	0.55625
a37	0.00300135	0.00312565	0.00453818	0.0220216	0.0853515	0.260044	0.621918
a61	0.00422283	0.00430349	0.0100574	0.0453213	0.140087	0.256218	0.53979
a5	0.00114961	0.00155898	0.00530002	0.0398817	0.138118	0.291387	0.522605
a36	0.000907576	0.00140526	0.00335856	0.026611	0.113547	0.301683	0.552487
a54	0.00167929	0.00211778	0.00724314	0.0440661	0.14498	0.269466	0.530448
a36	0.000594715	0.000872066	0.00386408	0.0375434	0.143539	0.287754	0.525832
a2	0.00206882	0.00197261	0.0055438	0.0339923	0.130312	0.286667	0.539443
a57	0.0294717	0.0252579	0.0418926	0.0858337	0.174583	0.253286	0.389675
a10	0.237187	0.117686	0.0549138	0.0631887	0.105907	0.145535	0.275582
a87	0.26943	0.148207	0.0604147	0.0578562	0.0937557	0.127105	0.243232
a82	0.17652	0.152526	0.0917943	0.079109	0.108976	0.139838	0.251236
a10	0.113456	0.102509	0.10883	0.0906318	0.101881	0.161947	0.320746
a87	0.0701829	0.10408	0.116327	0.0879335	0.104827	0.163858	0.352792
a23	0.0509649	0.0683094	0.0903538	0.0840001	0.118985	0.195354	0.392033
a87	0.0649555	0.0623034	0.0595514	0.073767	0.13892	0.22905	0.371453
</S>	0.0275011	0.0406439	0.0391635	0.0549214	0.113573	0.239118	0.485079
