 	lui	aussi	est	malade	</S>
a23	0.340408	0.233206	0.183114	0.133309	0.109963
a30	0.433796	0.226317	0.137166	0.102134	0.100587
a53	0.384933	0.191892	0.124812	0.13488	0.163484
a90	0.547482	0.215336	0.101152	0.0674401	0.0685902
a15	0.605793	0.187691	0.078766	0.058324	0.0694265
a44	0.505839	0.211159	0.112517	0.0842876	0.0861971
a98	0.425199	0.222822	0.120437	0.104842	0.1267
a85	0.2763	0.207278	0.163478	0.167254	0.185692
a5	0.211837	0.180411	0.173283	0.205385	0.229083
a18	0.265904	0.221389	0.175654	0.165403	0.171649
a47	0.204577	0.253153	0.208338	0.172113	0.161819
a61	0.145683	0.21558	0.237244	0.217405	0.184088
a0	0.0980399	0.183843	0.274117	0.256396	0.187603
a75	0.0547068	0.110096	0.243684	0.312567	0.278945
a56	0.0584365	0.0969882	0.187688	0.320889	0.335998
a92	0.0331359	0.0708577	0.179126	0.345554	0.371326
a75	0.0299309	0.0491056	0.11616	0.314452	0.490351
a85	0.0336546	0.048461	0.10725	0.299429	0.511205
a79	0.019682	0.0288519	0.0832766	0.284591	0.583598
a44	0.022858	0.0424357	0.10213	0.294435	0.538141
a90	0.0135083	0.0322897	0.0934311	0.299995	0.560776
a76	0.00857943	0.0217706	0.074605	0.292538	0.602507
a7	0.0120948	0.0245842	0.08764	0.323643	0.552038
a84	0.00601792	0.0163336	0.0557767	0.251097	0.670775
a57	0.017805	0.0249794	0.0631658	0.237067	0.656983
a87	0.0918168	0.109808	0.178684	0.271689	0.348002
a23	0.185231	0.158491	0.200747	0.229708	0.225823
a87	0.0799257	0.0796983	0.180304	0.328262	0.33181
a23	0.0201698	0.0421933	0.147244	0.338967	0.451426
</S>	0.0261973	0.0485165	0.16421	0.347273	0.413804
