 	sa	femme	et	lui	ont	la	même	pointure	</S>
a66	0.201377	0.175318	0.183151	0.146872	0.119692	0.0948311	0.0442977	0.0192992	0.015163
a87	0.262621	0.142529	0.0835857	0.0773507	0.0915544	0.128328	0.106277	0.0612484	0.0465055
a23	0.27551	0.185218	0.107091	0.0713405	0.0567535	0.0627599	0.073967	0.0746529	0.0927079
a79	0.251198	0.167906	0.106414	0.0776214	0.0730781	0.07977	0.0851001	0.0781965	0.0807161
a20	0.240956	0.156774	0.116851	0.0826406	0.0840373	0.0869885	0.0812869	0.0700521	0.0804142
a15	0.294388	0.20554	0.126288	0.0689365	0.0653407	0.0686464	0.062039	0.0518745	0.0569468
a47	0.217438	0.173618	0.144124	0.102955	0.0929412	0.0868719	0.0704951	0.0580044	0.0535523
a85	0.269875	0.213382	0.166623	0.0893394	0.0651233	0.0554033	0.0443059	0.0447989	0.0511492
a47	0.275555	0.216945	0.174425	0.102168	0.0693581	0.0492783	0.0315428	0.0347193	0.0460081
a92	0.230267	0.214836	0.202001	0.112822	0.0727345	0.0495014	0.0330693	0.0353408	0.0494279
a98	0.21221	0.163678	0.155266	0.118818	0.0965557	0.073318	0.0503148	0.0547621	0.0750773
a47	0.148651	0.153515	0.179189	0.13599	0.100742	0.0699825	0.0510593	0.0643582	0.0965125
a0	0.0860583	0.112577	0.164769	0.141601	0.104283	0.0760763	0.0695913	0.0980606	0.146983
a11	0.0870679	0.12272	0.177827	0.141201	0.0992607	0.0746755	0.0626896	0.0900986	0.14446
a98	0.0635059	0.102242	0.18798	0.17932	0.124485	0.0868021	0.0660275	0.0779595	0.111677
a47	0.0434073	0.0580873	0.0987275	0.111606	0.098016	0.0937831	0.106997	0.161603	0.227773
a85	0.0257488	0.0388085	0.0808784	0.116062	0.0991427	0.0807824	0.0835748	0.152299	0.322703
a5	0.0285759	0.0417642	0.0830227	0.10886	0.093835	0.086905	0.102455	0.178035	0.276547
a18	0.0298541	0.0340576	0.0633069	0.116155	0.121189	0.119973	0.11673	0.150832	0.247903
a75	0.0159052	0.0192097	0.0327812	0.0633047	0.086516	0.115914	0.147521	0.182619	0.33623
a85	0.0117598	0.0144478	0.0258993	0.0472656	0.0621023	0.0816311	0.120268	0.220378	0.416248
a92	0.0160299	0.0169426	0.0251822	0.0406003	0.0542779	0.077405	0.127798	0.232937	0.408827
a37	0.00821734	0.00933903	0.0171865	0.035021	0.052593	0.0771265	0.134254	0.236039	0.430224
a12	0.0051366	0.0055212	0.00979884	0.0210735	0.0340069	0.0590313	0.137934	0.26641	0.461088
a61	0.00325888	0.00341577	0.00564582	0.0123909	0.0212939	0.0437167	0.120491	0.289325	0.500462
a88	0.00375061	0.00379787	0.00577385	0.0113381	0.018949	0.0387611	0.109783	0.281603	0.526244
a90	0.00132589	0.0014786	0.00232664	0.00483098	0.00904771	0.0215466	0.0858815	0.279018	0.594544
a69	0.000576106	0.000672287	0.00120847	0.00297112	0.00604021	0.0146758	0.0646275	0.276256	0.632973
a4	0.000542973	0.000505673	0.000754707	0.00186329	0.00386015	0.00874713	0.0418354	0.233189	0.708701
a57	0.000876996	0.000837219	0.00126683	0.00281911	0.00537291	0.0117575	0.0525053	0.260494	0.66407
a82	0.00418566	0.0036046	0.0043873	0.00854118	0.015301	0.029817	0.0834995	0.283022	0.567641
a87	0.0331921	0.0217999	0.0203056	0.0273272	0.0391588	0.0614755	0.118084	0.266434	0.412222
a23	0.0990021	0.0628161	0.0484619	0.0589124	0.0716558	0.109641	0.157436	0.207475	0.1846
a99	0.0594614	0.0319962	0.0182546	0.0233566	0.0312474	0.0604486	0.149283	0.288727	0.337225
a87	0.0468787	0.0277002	0.0234112	0.0381815	0.0478321	0.0690409	0.13625	0.246782	0.363923
a97	0.0222083	0.0133706	0.0113973	0.0209959	0.0273103	0.0437485	0.10504	0.252849	0.50308
</S>	0.0552703	0.0436017	0.0440839	0.0675286	0.0732239	0.0872939	0.122142	0.189494	0.317362
