 	nous	sommes	en	train	de	marcher	dans	la	forêt	</S>
a23	0.351754	0.115257	0.0863215	0.0655207	0.0580037	0.0529181	0.0638254	0.0956033	0.0743914	0.0364045
a83	0.346278	0.152784	0.0578453	0.0457437	0.0492068	0.0842765	0.125052	0.0791514	0.0323006	0.0273614
a0	0.32169	0.213462	0.136895	0.0795186	0.0552544	0.0543208	0.0575799	0.0332007	0.0267913	0.0212875
a83	0.200344	0.195094	0.206046	0.149953	0.0838907	0.0635614	0.0551778	0.0222886	0.0145212	0.00912397
a90	0.128762	0.151932	0.149322	0.118384	0.108687	0.112959	0.113323	0.0666639	0.0295545	0.0204112
a56	0.0874415	0.0853928	0.111245	0.113145	0.130626	0.129801	0.125466	0.0869785	0.0716001	0.0583047
a75	0.083049	0.0746055	0.104973	0.117225	0.140579	0.133903	0.129506	0.0971447	0.0701462	0.04887
a34	0.0593039	0.0377112	0.0672488	0.108913	0.139942	0.12343	0.122318	0.110276	0.128981	0.101875
a66	0.0142828	0.0109486	0.0313201	0.0582309	0.101986	0.121264	0.162134	0.204999	0.187546	0.107289
a54	0.00337383	0.00295987	0.0088132	0.0172347	0.0438638	0.0735669	0.13288	0.224214	0.2443	0.248794
a85	0.00167755	0.001855	0.00666768	0.0184519	0.0406677	0.053054	0.107849	0.215852	0.292583	0.261342
a43	0.00182818	0.00281956	0.00971163	0.0237458	0.0336475	0.036441	0.0674146	0.183508	0.349849	0.291034
a11	0.00105023	0.00131652	0.00353085	0.00755691	0.0146501	0.0220153	0.0472182	0.142743	0.367622	0.392297
a75	0.000602488	0.000795105	0.00216178	0.00496876	0.00982939	0.0181178	0.0481863	0.131642	0.311047	0.472649
a79	0.000811557	0.00157608	0.00496074	0.00936852	0.0106456	0.0123295	0.0243726	0.0880293	0.333685	0.514221
a26	0.000159451	0.00030104	0.00126156	0.00338903	0.00624932	0.00894077	0.0176936	0.0660527	0.301702	0.59425
a90	0.000378535	0.000393157	0.00121177	0.00340701	0.00617834	0.0118862	0.0297106	0.0923484	0.265772	0.588714
a58	0.000164187	0.000250588	0.000766331	0.00188898	0.00343125	0.00667699	0.0188679	0.074224	0.269334	0.624396
a82	0.000179693	0.000245955	0.000621423	0.0015978	0.00238411	0.0043955	0.011331	0.0463061	0.224267	0.708671
a87	0.0117317	0.0143727	0.0203312	0.0388057	0.0444751	0.0641122	0.0791172	0.118568	0.192486	0.415999
a97	0.0282003	0.0311937	0.0448297	0.0816218	0.092115	0.11293	0.130739	0.144756	0.156643	0.176971
a87	0.0202134	0.0233314	0.0254523	0.0398794	0.0453724	0.0521918	0.0811997	0.160006	0.243847	0.308506
a3	0.0142629	0.013588	0.0162044	0.0351104	0.0458289	0.0560289	0.0892211	0.180347	0.237925	0.311483
a87	0.016385	0.0157306	0.0186615	0.0387867	0.0500134	0.0619724	0.0982349	0.159964	0.212191	0.328061
</S>	0.0261254	0.0243302	0.0248578	0.0431266	0.049424	0.0622641	0.0939208	0.149642	0.199024	0.327285
