 	le	safoutier	sur	lequel	tu	as	grimpé	était	celui-ci	</S>
a87	0.0901586	0.0768154	0.119124	0.220988	0.223041	0.1757	0.038157	0.0297814	0.016959	0.00927508
a79	0.0934315	0.0441251	0.0536706	0.0720448	0.157635	0.22132	0.0676334	0.107722	0.0903908	0.0920264
a15	0.125634	0.0778204	0.0770591	0.105608	0.132611	0.154135	0.0701303	0.098852	0.0850957	0.0730549
a25	0.227297	0.192373	0.125466	0.0939944	0.0735986	0.0713589	0.0482967	0.0592543	0.0568173	0.0515439
a44	0.312701	0.235621	0.145117	0.108295	0.071974	0.0515695	0.0242429	0.0182045	0.0147415	0.0175342
a11	0.254845	0.220665	0.181628	0.163014	0.0825502	0.0459209	0.0186508	0.0125292	0.00947684	0.0107204
a75	0.234384	0.216672	0.186526	0.165164	0.0839838	0.0507897	0.0218119	0.014378	0.0123771	0.0139133
a47	0.200505	0.196855	0.200366	0.183573	0.103625	0.0491594	0.0212172	0.0151493	0.0128052	0.0167453
a73	0.167126	0.187699	0.212239	0.20286	0.0984241	0.0476837	0.0222539	0.0171196	0.0181635	0.0264317
a44	0.090573	0.129502	0.191155	0.253755	0.14873	0.0793285	0.0323707	0.0208377	0.0222766	0.0314714
a90	0.106627	0.140243	0.187188	0.22565	0.128309	0.067124	0.0358425	0.0271034	0.031881	0.0500314
a25	0.0865102	0.12111	0.160644	0.217503	0.131416	0.0716218	0.0495111	0.0398624	0.0465646	0.0752581
a56	0.0492815	0.0671352	0.0902922	0.157622	0.113796	0.0845908	0.100535	0.0790019	0.0960906	0.161655
a35	0.0622546	0.100066	0.121339	0.176299	0.127035	0.0814374	0.0839095	0.0665326	0.0704769	0.11065
a61	0.0611976	0.0876854	0.0973321	0.130394	0.118082	0.101709	0.121827	0.0849435	0.0797107	0.11712
a21	0.0563636	0.0793635	0.0846584	0.11393	0.1169	0.116282	0.162382	0.101638	0.0758493	0.0926334
a88	0.0497438	0.0813897	0.0823451	0.106671	0.0980501	0.0929923	0.169002	0.115716	0.0929561	0.111133
a61	0.0169374	0.0227778	0.0249171	0.0365755	0.0426299	0.0593819	0.230253	0.186616	0.168968	0.210943
a56	0.0138883	0.0218346	0.023397	0.0349368	0.0433537	0.056455	0.230022	0.213897	0.177434	0.184781
a66	0.0178419	0.0296155	0.0287817	0.0384639	0.0424447	0.0488761	0.194314	0.188313	0.194814	0.216534
a38	0.00209662	0.00329886	0.00425078	0.00715302	0.00855153	0.0124909	0.132969	0.190698	0.275606	0.362885
a62	0.00128793	0.00203235	0.00269197	0.00470701	0.00618297	0.00942988	0.108815	0.203974	0.297928	0.36295
a13	0.00133416	0.00190327	0.00274209	0.00503787	0.00709195	0.0102741	0.0983111	0.176204	0.293873	0.403228
a38	0.00103567	0.00146687	0.0021267	0.00388438	0.00568901	0.0104697	0.128491	0.182278	0.276905	0.387654
a11	0.000400362	0.000553788	0.000775625	0.00130429	0.00232217	0.00479611	0.0701174	0.160612	0.297919	0.4612
a13	0.000751426	0.00100467	0.00120267	0.00174206	0.00298238	0.00559982	0.0772687	0.170175	0.302347	0.436926
a57	0.00158191	0.00179623	0.00187106	0.00206654	0.00357773	0.00581605	0.0578298	0.151839	0.300638	0.472984
a87	0.00780043	0.00714207	0.00749682	0.00842169	0.0215047	0.03375	0.10208	0.208965	0.272917	0.329922
a23	0.0347043	0.0273067	0.0334567	0.0395145	0.0782181	0.0961639	0.153415	0.199461	0.190814	0.146946
a87	0.0252772	0.01442	0.0113161	0.0097288	0.020456	0.0293068	0.0973292	0.214013	0.263278	0.314875
a97	0.00467179	0.00346786	0.00377551	0.00536815	0.0116379	0.0188588	0.0606015	0.195883	0.301467	0.394268
a87	0.0174498	0.0115222	0.0153662	0.0241267	0.0504287	0.0617102	0.081055	0.168062	0.242916	0.327364
a97	0.0228634	0.0144376	0.0182228	0.0274386	0.0537298	0.0683505	0.0943321	0.167202	0.225962	0.307462
a23	0.0325911	0.0193131	0.0285291	0.0543779	0.113723	0.125059	0.126119	0.155645	0.167647	0.176996
a99	0.0127528	0.00840713	0.00772851	0.00800467	0.0146919	0.021877	0.0572992	0.156878	0.267559	0.444801
a87	0.0194995	0.0138015	0.0132187	0.0157868	0.0250524	0.0378138	0.0656884	0.15367	0.230644	0.424825
a97	0.0218815	0.014208	0.0114888	0.0119429	0.0180807	0.026762	0.0474416	0.122513	0.221226	0.504456
</S>	0.0362549	0.0227322	0.0251799	0.0353	0.064507	0.0844776	0.0875261	0.149293	0.193176	0.301553
