 	quand	nous	étions	au	ruisseau	vouma	nous	avons	vu	de	petits	enfants	pêcher	à	la	ligne	dans	un	étang	où	des	femmes	avaient	déjà	péché	à	l'	écope	</S>
a66	0.0947868	0.0593031	0.0316195	0.0224392	0.0252855	0.0287218	0.0406463	0.0552821	0.0483947	0.037589	0.0306075	0.0280442	0.0280613	0.0327005	0.0286241	0.0446653	0.0432004	0.0448373	0.0454044	0.0394359	0.0318324	0.0266281	0.0223945	0.0264327	0.0347342	0.019335	0.0117999	0.00911219	0.00808218
a87	0.178714	0.13325	0.067211	0.0535139	0.0437345	0.0360491	0.0435195	0.048897	0.0315835	0.0201716	0.0187586	0.0215606	0.023618	0.0253024	0.0214873	0.0245635	0.0200326	0.0165649	0.0150097	0.0120946	0.00873018	0.00715754	0.00885506	0.0194162	0.0310912	0.0242322	0.0186806	0.0154193	0.0107813
a23	0.153883	0.133038	0.0860189	0.0512405	0.0363391	0.0310856	0.0389411	0.0404013	0.0271005	0.014895	0.0116451	0.015861	0.019171	0.0218605	0.0248228	0.0506443	0.0352763	0.0310647	0.0247219	0.0208933	0.0142222	0.0104594	0.0106734	0.0182063	0.0254329	0.0178368	0.0129965	0.0118673	0.00940145
a12	0.116845	0.108477	0.155475	0.0789368	0.0544556	0.0334597	0.0433825	0.0372067	0.0186559	0.00995997	0.00932996	0.0138022	0.0175037	0.0209349	0.0232805	0.034178	0.022722	0.0199682	0.0201481	0.0159488	0.0141985	0.0131407	0.0151921	0.0215426	0.0240659	0.0169666	0.0134028	0.0130519	0.0137676
a18	0.109435	0.0874994	0.109731	0.0571188	0.0574437	0.0404671	0.0483239	0.0523594	0.0370237	0.0264591	0.0213448	0.0228623	0.0257376	0.0273541	0.0259848	0.031635	0.0241763	0.019296	0.0182584	0.0151156	0.0131364	0.0110062	0.0117464	0.0193928	0.0162912	0.0151439	0.015391	0.0182375	0.022029
a31	0.12278	0.138523	0.179722	0.133846	0.137802	0.0570361	0.0404081	0.0370757	0.022191	0.0127337	0.00978758	0.0103106	0.010088	0.0100065	0.00844517	0.00611168	0.00514199	0.00427365	0.0038664	0.00361965	0.00312296	0.0028068	0.00278498	0.00498352	0.00548345	0.00605176	0.00593684	0.00727659	0.00778432
a88	0.0796857	0.11127	0.180663	0.150806	0.129143	0.0649648	0.0407325	0.033115	0.0218386	0.0132077	0.0101529	0.00994821	0.0102967	0.0122067	0.0122049	0.0110707	0.0106375	0.00989392	0.00900439	0.00803708	0.00680606	0.00588992	0.00508113	0.00762306	0.00826779	0.00784739	0.00875185	0.0105585	0.0102964
a31	0.043489	0.0673756	0.123994	0.137059	0.125182	0.0812007	0.0523224	0.0369617	0.0221697	0.0144136	0.012324	0.0130506	0.0127236	0.0156088	0.0158585	0.0143951	0.0148752	0.0144744	0.0163844	0.0133162	0.0133343	0.0127564	0.013904	0.0186882	0.018707	0.0144409	0.0172251	0.021325	0.0224403
a43	0.0379601	0.0573326	0.0961025	0.11681	0.110321	0.0801469	0.0548534	0.0375754	0.0238646	0.0165619	0.0144379	0.0143489	0.0140371	0.0164835	0.0171446	0.0162618	0.0171211	0.017423	0.0213098	0.0168386	0.0177541	0.0175952	0.0196469	0.0236881	0.0227441	0.0190021	0.0229901	0.0287903	0.0308548
a75	0.03678	0.0565436	0.0752321	0.113369	0.109435	0.0845386	0.0578405	0.0397662	0.025116	0.0164691	0.013764	0.0131855	0.0138343	0.0174338	0.0190119	0.0184906	0.0204842	0.0206841	0.0241351	0.0203783	0.0201839	0.0172767	0.0178254	0.0190392	0.0211385	0.0181058	0.0226904	0.0314783	0.0357702
a90	0.0262912	0.0455996	0.0512402	0.099929	0.111019	0.0884578	0.0688884	0.0542405	0.0370301	0.0288264	0.0231229	0.0198125	0.0174624	0.0198123	0.0186633	0.0216545	0.0217335	0.0236566	0.0262174	0.0194259	0.0174408	0.0168846	0.0192098	0.0236044	0.0214781	0.0135152	0.0135294	0.0205976	0.030657
a69	0.0201994	0.0354399	0.0307882	0.076888	0.095822	0.102917	0.0914924	0.0670964	0.0441929	0.0321854	0.0255157	0.0222344	0.0183852	0.0199345	0.0184116	0.019927	0.0215146	0.0234786	0.0284179	0.0212687	0.0197606	0.0191011	0.0227155	0.0264813	0.0250944	0.0162268	0.0140063	0.0176567	0.0228475
a90	0.0137239	0.0203822	0.0167407	0.0364363	0.0538336	0.0819333	0.0796861	0.0600853	0.0469396	0.0379823	0.0320736	0.0281801	0.0241311	0.025287	0.0232461	0.0277103	0.0310233	0.0324994	0.0368921	0.027674	0.0251422	0.0248849	0.0281926	0.0307872	0.0268656	0.0206628	0.0212874	0.0345095	0.0512074
a56	0.0105355	0.0138141	0.0122918	0.0221612	0.0314805	0.0541146	0.059585	0.0511736	0.0504876	0.0501312	0.0461644	0.041478	0.0340675	0.0322924	0.0285268	0.0326277	0.0344167	0.0356066	0.0401156	0.0299601	0.0282808	0.0319054	0.0341423	0.0347735	0.0274869	0.0207235	0.021174	0.0345469	0.0559359
